"rep_cv","method","input_type","disease","auroc","partial_auroc_0.9","partial_auroc_0.95","auprc","top_20_hits","top_100_hits"
"Rep01","raw","drugs","Alzheimers disease",0.934083504386249,0.0607802599119464,0.0226321102324872,0.244228703500088,8,16.3333333333333
"Rep01","raw","drugs","asthma",0.923147709380117,0.0600144682541233,0.0202790650668263,0.129925769170105,3.66666666666667,10.3333333333333
"Rep01","raw","drugs","chronic obstructive pulmonary disease",0.921897098261033,0.0652287890374021,0.0265525453852154,0.435371164212773,15.3333333333333,20
"Rep01","raw","drugs","rheumatoid arthritis",0.892093515356009,0.047029953987047,0.0185109523537561,0.121492287774778,4.66666666666667,12
"Rep01","raw","genetic","Alzheimers disease",0.81158668260604,0.0235870141192,0.00653221249054719,0.035994772445867,1.33333333333333,4.66666666666667
"Rep01","raw","genetic","asthma",0.808419332259296,0.0125722543428864,0.00236829892645418,0.0235190504692415,0.666666666666667,1.33333333333333
"Rep01","raw","genetic","chronic obstructive pulmonary disease",0.565842477029578,0.00775214161209102,0.00279969540425072,0.0171067252853362,1,2.33333333333333
"Rep01","raw","genetic","rheumatoid arthritis",0.747076577995981,0.0139452046843288,0.00269057337175401,0.0198135428175646,0.333333333333333,1.33333333333333
"Rep01","gm","drugs","Alzheimers disease",0.52920244239311,0.0195508852780937,0.0095127456104499,0.115563371663966,6,6.66666666666667
"Rep01","gm","drugs","asthma",0.446787199893613,0.00719054789637236,0.0035361467419712,0.0185813343556547,2,2
"Rep01","gm","drugs","chronic obstructive pulmonary disease",0.6592418680189,0.0418350151248525,0.0205660757309131,0.323048865554133,15.3333333333333,16
"Rep01","gm","drugs","rheumatoid arthritis",0.471358483859111,0.00274424638681888,0.000959665314081193,0.00941834522161256,0.666666666666667,0.666666666666667
"Rep01","gm","genetic","Alzheimers disease",0.435463151325298,0,0,0.00707626472844802,0,0
"Rep01","gm","genetic","asthma",0.327646403229574,0,0,0.00461613821973132,0,0
"Rep01","gm","genetic","chronic obstructive pulmonary disease",0.254816620614206,0.00162745857256586,0.000710123711932031,0.00754994829793913,0.666666666666667,0.666666666666667
