"disease","STRING_id"
"allergy","9606.ENSP00000170630"
"allergy","9606.ENSP00000219833"
"allergy","9606.ENSP00000228534"
"allergy","9606.ENSP00000231228"
"allergy","9606.ENSP00000231509"
"allergy","9606.ENSP00000236826"
"allergy","9606.ENSP00000254066"
"allergy","9606.ENSP00000255380"
"allergy","9606.ENSP00000256906"
"allergy","9606.ENSP00000260227"
"allergy","9606.ENSP00000260302"
"allergy","9606.ENSP00000261707"
"allergy","9606.ENSP00000262623"
"allergy","9606.ENSP00000264818"
"allergy","9606.ENSP00000270474"
"allergy","9606.ENSP00000280155"
"allergy","9606.ENSP00000303231"
"allergy","9606.ENSP00000303522"
"allergy","9606.ENSP00000304915"
"allergy","9606.ENSP00000305372"
"allergy","9606.ENSP00000306490"
"allergy","9606.ENSP00000306662"
"allergy","9606.ENSP00000319984"
"allergy","9606.ENSP00000322788"
"allergy","9606.ENSP00000332116"
"allergy","9606.ENSP00000332296"
"allergy","9606.ENSP00000332812"
"allergy","9606.ENSP00000334216"
"allergy","9606.ENSP00000342560"
"allergy","9606.ENSP00000343204"
"allergy","9606.ENSP00000343782"
"allergy","9606.ENSP00000344192"
"allergy","9606.ENSP00000345502"
"allergy","9606.ENSP00000347689"
"allergy","9606.ENSP00000352121"
"allergy","9606.ENSP00000352900"
"allergy","9606.ENSP00000354612"
"allergy","9606.ENSP00000356438"
"allergy","9606.ENSP00000358301"
"allergy","9606.ENSP00000358490"
"allergy","9606.ENSP00000362401"
"allergy","9606.ENSP00000363812"
"allergy","9606.ENSP00000366563"
"allergy","9606.ENSP00000368766"
"allergy","9606.ENSP00000369960"
"allergy","9606.ENSP00000371067"
"allergy","9606.ENSP00000371138"
"allergy","9606.ENSP00000377947"
"allergy","9606.ENSP00000380247"
"allergy","9606.ENSP00000382659"
"allergy","9606.ENSP00000386069"
"allergy","9606.ENSP00000391676"
"allergy","9606.ENSP00000396308"
"allergy","9606.ENSP00000419425"
"allergy","9606.ENSP00000419692"
"allergy","9606.ENSP00000431418"
"allergy","9606.ENSP00000447173"
"Alzheimers disease","9606.ENSP00000023897"
"Alzheimers disease","9606.ENSP00000176183"
"Alzheimers disease","9606.ENSP00000206249"
"Alzheimers disease","9606.ENSP00000219833"
"Alzheimers disease","9606.ENSP00000222266"
"Alzheimers disease","9606.ENSP00000223095"
"Alzheimers disease","9606.ENSP00000229794"
"Alzheimers disease","9606.ENSP00000234389"
"Alzheimers disease","9606.ENSP00000236826"
"Alzheimers disease","9606.ENSP00000254066"
"Alzheimers disease","9606.ENSP00000257290"
"Alzheimers disease","9606.ENSP00000260227"
"Alzheimers disease","9606.ENSP00000260302"
"Alzheimers disease","9606.ENSP00000261707"
"Alzheimers disease","9606.ENSP00000261799"
"Alzheimers disease","9606.ENSP00000261879"
"Alzheimers disease","9606.ENSP00000262735"
"Alzheimers disease","9606.ENSP00000263269"
"Alzheimers disease","9606.ENSP00000264318"
"Alzheimers disease","9606.ENSP00000264357"
"Alzheimers disease","9606.ENSP00000264381"
"Alzheimers disease","9606.ENSP00000264426"
"Alzheimers disease","9606.ENSP00000265294"
"Alzheimers disease","9606.ENSP00000270139"
"Alzheimers disease","9606.ENSP00000270349"
"Alzheimers disease","9606.ENSP00000273430"
"Alzheimers disease","9606.ENSP00000274545"
"Alzheimers disease","9606.ENSP00000274547"
"Alzheimers disease","9606.ENSP00000274793"
