"complex_id","n_before","n_after","proportion_mapping","n_disease","n_drug_genes","n_diff","n_nodrug"
"100267",3,1,0.333333333333333,0,0,2,1
"104282",10,4,0.4,3,4,6,0
"104283",3,2,0.666666666666667,9,2,1,0
"104285",4,2,0.5,9,2,2,0
"104288",5,2,0.4,5,2,3,0
"104291",13,2,0.153846153846154,13,2,11,0
"104292",4,1,0.25,4,1,3,0
"104293",5,2,0.4,4,2,3,0
"104294",3,2,0.666666666666667,0,0,1,2
"104295",2,2,1,0,0,0,2
"104296",5,2,0.4,0,0,3,2
"104297",7,1,0.142857142857143,10,1,6,0
"104298",9,2,0.222222222222222,10,2,7,0
"104299",4,2,0.5,0,0,2,2
"104685",2,1,0.5,1,1,1,0
"104688",44,13,0.295454545454545,13,13,31,0
"104690",2,2,1,0,0,0,2
"104702",12,2,0.166666666666667,13,2,10,0
"104703",18,3,0.166666666666667,13,3,15,0
"104704",13,3,0.230769230769231,13,3,10,0
"104706",14,6,0.428571428571429,10,6,8,0
"104708",6,3,0.5,0,0,3,3
"104709",11,3,0.272727272727273,0,0,8,3
"104710",8,3,0.375,0,0,5,3
"104712",14,3,0.214285714285714,13,3,11,0
"104714",16,0,0,0,0,16,0
"104717",18,5,0.277777777777778,1,5,13,0
"104730",9,3,0.333333333333333,0,0,6,3
"104737",8,4,0.5,5,4,4,0
"104749",3,2,0.666666666666667,0,0,1,2
"104753",3,3,1,0,0,0,3
"104757",16,3,0.1875,13,3,13,0
"104758",2,2,1,9,2,0,0
"104759",5,2,0.4,0,0,3,2
"104766",28,13,0.464285714285714,6,12,15,1
"104768",5,2,0.4,4,2,3,0
"104770",17,8,0.470588235294118,5,8,9,0
"104773",4,2,0.5,8,2,2,0
"104774",11,3,0.272727272727273,13,3,8,0
"104775",25,2,0.08,0,0,23,2
"104778",4,2,0.5,0,0,2,2
"104782",4,2,0.5,5,2,2,0
"104786",8,2,0.25,0,0,6,2
"104791",9,3,0.333333333333333,1,3,6,0
"104798",4,2,0.5,3,1,2,1
"104808",9,4,0.444444444444444,0,0,5,4
"104816",8,3,0.375,2,2,5,1
"104825",17,3,0.176470588235294,7,3,14,0
"104830",4,2,0.5,4,1,2,1
"104844",15,7,0.466666666666667,0,0,8,7
"104852",5,2,0.4,5,2,3,0
"104871",4,3,0.75,0,0,1,3
"104888",6,3,0.5,4,3,3,0
"104890",4,2,0.5,1,2,2,0
