cv_scheme = classic, disease = allergy:
 method                                                 prob           SE df    asymp.LCL   asymp.UCL
 pr                                              0.015830803 0.0010189953 NA 0.0139527412 0.017957051
 randomraw                                       0.012439398 0.0008973653 NA 0.0107979752 0.014326722
 random                                          0.007608383 0.0006949656 NA 0.0063605038 0.009098845
 EGAD                                            0.075994018 0.0024275469 NA 0.0713707096 0.080890731
 association_score.datatypes.affected_pathway    0.006310520 0.0006312003 NA 0.0051865108 0.007676243
 association_score.datatypes.animal_model        0.018324133 0.0011014408 NA 0.0162856324 0.020612450
 association_score.datatypes.genetic_association 0.015934676 0.0010225345 NA 0.0140497277 0.018067880
 association_score.datatypes.literature          0.043613378 0.0017700540 NA 0.0402728641 0.047217346
 association_score.datatypes.rna_expression      0.007552260 0.0006923168 NA 0.0063095282 0.009037536
 association_score.datatypes.somatic_mutation    0.006310520 0.0006312003 NA 0.0051865108 0.007676243
 ppr                                             0.107588382 0.0029642590 NA 0.1019149881 0.113537675
 raw                                             0.119143511 0.0031419685 NA 0.1131216684 0.125440575
 gm                                              0.059840011 0.0021170402 NA 0.0558229181 0.064126547
 mc                                              0.057362111 0.0020666385 NA 0.0534433454 0.061549538
 z                                               0.114747708 0.0030754090 NA 0.1088564230 0.120914567
 knn                                             0.088422130 0.0026484660 NA 0.0833669700 0.093752471
 wsld                                            0.088450421 0.0026489534 NA 0.0833943075 0.093781718
 COSNet                                          0.084237070 0.0025756202 NA 0.0793243630 0.089424478
 bagsvm                                          0.117156724 0.0031120406 NA 0.1111935932 0.123395250
 rf                                              0.155213958 0.0036442374 NA 0.1482047595 0.162491413
 svm                                             0.102387507 0.0028812865 NA 0.0968766642 0.108174287

cv_scheme = blocked_cv, disease = allergy:
 method                                                 prob           SE df    asymp.LCL   asymp.UCL
 pr                                              0.004318147 0.0002949728 NA 0.0037769013 0.004936571
 randomraw                                       0.003384596 0.0002561514 NA 0.0029179049 0.003925636
 random                                          0.002062795 0.0001942527 NA 0.0017150802 0.002480831
 EGAD                                            0.021693186 0.0008487716 NA 0.0200905328 0.023420630
 association_score.datatypes.affected_pathway    0.001709288 0.0001753955 NA 0.0013978370 0.002089987
 association_score.datatypes.animal_model        0.005007475 0.0003220251 NA 0.0044143047 0.005679897
 association_score.datatypes.genetic_association 0.004346814 0.0002961216 NA 0.0038033627 0.004967530
 association_score.datatypes.literature          0.012145706 0.0005650944 NA 0.0110865898 0.013304640
 association_score.datatypes.rna_expression      0.002047495 0.0001934635 NA 0.0017012972 0.002463967
 association_score.datatypes.somatic_mutation    0.001709288 0.0001753955 NA 0.0013978370 0.002089987
 ppr                                             0.031481241 0.0011183661 NA 0.0293615903 0.033748590
 raw                                             0.035184638 0.0012165263 NA 0.0328765911 0.037648409
 gm                                              0.016871123 0.0007089281 NA 0.0155364475 0.018318322
 mc                                              0.016141962 0.0006872429 NA 0.0148488329 0.017545698
 z                                               0.033767750 0.0011791895 NA 0.0315313739 0.036156821
 knn                                             0.025485842 0.0009551926 NA 0.0236791765 0.027426480
 wsld                                            0.025494560 0.0009554341 NA 0.0236874308 0.027435681
 COSNet                                          0.024200505 0.0009194330 NA 0.0224624002 0.026069514
 bagsvm                                          0.034543010 0.0011996513 NA 0.0322673575 0.036973020
 rf                                              0.047198699 0.0015234430 NA 0.0443009872 0.050275978
 svm                                             0.029836418 0.0010741540 NA 0.0278015944 0.032015269

cv_scheme = pick_one, disease = allergy:
 method                                                 prob           SE df    asymp.LCL   asymp.UCL
 pr                                              0.002975277 0.0001974850 NA 0.0026122703 0.003388556
 randomraw                                       0.002331365 0.0001723740 NA 0.0020168092 0.002694848
 random                                          0.001420301 0.0001317612 NA 0.0011841447 0.001703474
 EGAD                                            0.015028532 0.0005373952 NA 0.0140108061 0.016118977
 association_score.datatypes.affected_pathway    0.001176769 0.0001192413 NA 0.0009647842 0.001435266
 association_score.datatypes.animal_model        0.003450979 0.0002148323 NA 0.0030545135 0.003898703
 association_score.datatypes.genetic_association 0.002995056 0.0001982241 NA 0.0026306233 0.003409802
 association_score.datatypes.literature          0.008389109 0.0003664292 NA 0.0077005716 0.009138643
 association_score.datatypes.rna_expression      0.001409759 0.0001312387 NA 0.0011746120 0.001691901
 association_score.datatypes.somatic_mutation    0.001176769 0.0001192413 NA 0.0009647842 0.001435266
 ppr                                             0.021876712 0.0006968446 NA 0.0205518046 0.023285002
 raw                                             0.024478806 0.0007544574 NA 0.0230428394 0.026001877
 gm                                              0.011670248 0.0004536640 NA 0.0108137498 0.012593720
 mc                                              0.011163313 0.0004405943 NA 0.0103319793 0.012060722
 z                                               0.023482550 0.0007325651 NA 0.0220887894 0.024962010
 knn                                             0.017677050 0.0006005925 NA 0.0165376025 0.018893497
 wsld                                            0.017683145 0.0006007355 NA 0.0165434219 0.018899877
 COSNet                                          0.016778755 0.0005793997 NA 0.0156801303 0.017952952
 bagsvm                                          0.024027548 0.0007445659 NA 0.0226106519 0.025530915
