complex_id	STRING_id
100267	9606.ENSP00000347717
104282	9606.ENSP00000261007
104282	9606.ENSP00000374145
104282	9606.ENSP00000304290
104282	9606.ENSP00000258385
104283	9606.ENSP00000357461
104283	9606.ENSP00000359285
104285	9606.ENSP00000261751
104285	9606.ENSP00000359285
104288	9606.ENSP00000261751
104288	9606.ENSP00000315602
104291	9606.ENSP00000023897
104291	9606.ENSP00000274547
104292	9606.ENSP00000261023
104293	9606.ENSP00000303351
104293	9606.ENSP00000380227
104294	9606.ENSP00000419782
104294	9606.ENSP00000318486
104295	9606.ENSP00000257904
104295	9606.ENSP00000227507
104296	9606.ENSP00000378699
104296	9606.ENSP00000256442
104297	9606.ENSP00000360608
104298	9606.ENSP00000360608
104298	9606.ENSP00000332549
104299	9606.ENSP00000262643
104299	9606.ENSP00000266970
104685	9606.ENSP00000262407
104688	9606.ENSP00000265294
104688	9606.ENSP00000367848
104688	9606.ENSP00000023897
104688	9606.ENSP00000295454
104688	9606.ENSP00000410732
104688	9606.ENSP00000299267
104688	9606.ENSP00000335592
104688	9606.ENSP00000348897
104688	9606.ENSP00000274547
104688	9606.ENSP00000264318
104688	9606.ENSP00000359353
104688	9606.ENSP00000274545
104688	9606.ENSP00000295452
104690	9606.ENSP00000303423
104690	9606.ENSP00000246166
104702	9606.ENSP00000410732
104702	9606.ENSP00000299267
104703	9606.ENSP00000023897
104703	9606.ENSP00000410732
104703	9606.ENSP00000299267
104704	9606.ENSP00000410732
104704	9606.ENSP00000299267
104704	9606.ENSP00000335592
104706	9606.ENSP00000263269
104706	9606.ENSP00000234389
104706	9606.ENSP00000360608
104706	9606.ENSP00000332549
104706	9606.ENSP00000293190
104706	9606.ENSP00000355155
104708	9606.ENSP00000309181
104708	9606.ENSP00000262643
104708	9606.ENSP00000266970
104709	9606.ENSP00000288207
104709	9606.ENSP00000378699
104709	9606.ENSP00000256442
104710	9606.ENSP00000274026
104710	9606.ENSP00000266970
104710	9606.ENSP00000255465
104712	9606.ENSP00000410732
104712	9606.ENSP00000299267
104712	9606.ENSP00000348897
104717	9606.ENSP00000326366
104717	9606.ENSP00000355747
104717	9606.ENSP00000261879
104717	9606.ENSP00000294785
104717	9606.ENSP00000222266
104730	9606.ENSP00000226574
104730	9606.ENSP00000358983
104730	9606.ENSP00000384273
104737	9606.ENSP00000261200
104737	9606.ENSP00000374467
104737	9606.ENSP00000345708
104737	9606.ENSP00000240662
104749	9606.ENSP00000303423
104749	9606.ENSP00000404676
104753	9606.ENSP00000333994
104753	9606.ENSP00000251595
104753	9606.ENSP00000322421
104757	9606.ENSP00000023897
104757	9606.ENSP00000410732
104757	9606.ENSP00000274547
104758	9606.ENSP00000262623
104758	9606.ENSP00000334216
104759	9606.ENSP00000270225
104759	9606.ENSP00000246548
104766	9606.ENSP00000264071
104766	9606.ENSP00000336799
104766	9606.ENSP00000248437
104766	9606.ENSP00000341289
104766	9606.ENSP00000326042
104766	9606.ENSP00000382982
104766	9606.ENSP00000369703
104766	9606.ENSP00000318197
104766	9606.ENSP00000301071
104766	9606.ENSP00000301072
104766	9606.ENSP00000318697
104766	9606.ENSP00000259818
104766	9606.ENSP00000217133
104768	9606.ENSP00000380227
104768	9606.ENSP00000267082
104770	9606.ENSP00000295598
104770	9606.ENSP00000356789
104770	9606.ENSP00000302397
104770	9606.ENSP00000250111
104770	9606.ENSP00000354490
104770	9606.ENSP00000286371
104770	9606.ENSP00000292079
104770	9606.ENSP00000357060
104773	9606.ENSP00000261799
104773	9606.ENSP00000257290
104774	9606.ENSP00000410732
104774	9606.ENSP00000299267
104774	9606.ENSP00000274545
104775	9606.ENSP00000262506
104775	9606.ENSP00000217244
104778	9606.ENSP00000364731
104778	9606.ENSP00000334145
104782	9606.ENSP00000261200
104782	9606.ENSP00000345708
104786	9606.ENSP00000341838
104786	9606.ENSP00000232975
104791	9606.ENSP00000300738
104791	9606.ENSP00000353770
104791	9606.ENSP00000251810
104798	9606.ENSP00000303351
104798	9606.ENSP00000293379
104808	9606.ENSP00000257904
104808	9606.ENSP00000227507
104808	9606.ENSP00000261254
104808	9606.ENSP00000362082
104816	9606.ENSP00000303242
104816	9606.ENSP00000264832
104816	9606.ENSP00000349252
104825	9606.ENSP00000285900
104825	9606.ENSP00000264426
104825	9606.ENSP00000282499
104830	9606.ENSP00000261023
104830	9606.ENSP00000296181
104844	9606.ENSP00000254101
104844	9606.ENSP00000323867
104844	9606.ENSP00000360290
104844	9606.ENSP00000346148
104844	9606.ENSP00000233944
104844	9606.ENSP00000287878
104844	9606.ENSP00000229328
104852	9606.ENSP00000374467
104852	9606.ENSP00000345708
104871	9606.ENSP00000303423
104871	9606.ENSP00000246166
104871	9606.ENSP00000404676
104888	9606.ENSP00000353292
104888	9606.ENSP00000345751
104888	9606.ENSP00000300061
104890	9606.ENSP00000254661
104890	9606.ENSP00000376177
104891	9606.ENSP00000261751
104891	9606.ENSP00000385026
104893	9606.ENSP00000253796
104893	9606.ENSP00000376177
104894	9606.ENSP00000357461
104894	9606.ENSP00000315602
104894	9606.ENSP00000289957
104894	9606.ENSP00000276410
104895	9606.ENSP00000357461
104895	9606.ENSP00000315602
104897	9606.ENSP00000357461
104897	9606.ENSP00000385026
104898	9606.ENSP00000357461
104898	9606.ENSP00000276410
104902	9606.ENSP00000382791
104902	9606.ENSP00000397026
104902	9606.ENSP00000362183
104902	9606.ENSP00000404063
104902	9606.ENSP00000262895
104904	9606.ENSP00000023897
104904	9606.ENSP00000410732
104904	9606.ENSP00000335592
104904	9606.ENSP00000348897
104904	9606.ENSP00000264318
104904	9606.ENSP00000274545
104904	9606.ENSP00000295452
104905	9606.ENSP00000023897
104905	9606.ENSP00000295454
104905	9606.ENSP00000299267
104905	9606.ENSP00000335592
104905	9606.ENSP00000348897
104905	9606.ENSP00000274547
104905	9606.ENSP00000264318
104905	9606.ENSP00000274545
104908	9606.ENSP00000254661
104909	9606.ENSP00000242249
104910	9606.ENSP00000242249
104910	9606.ENSP00000376177
104911	9606.ENSP00000256443
104911	9606.ENSP00000256897
104921	9606.ENSP00000410732
104921	9606.ENSP00000348897
104921	9606.ENSP00000274547
104924	9606.ENSP00000261023
104924	9606.ENSP00000283249
104930	9606.ENSP00000306245
104930	9606.ENSP00000360266
104936	9606.ENSP00000303351
104936	9606.ENSP00000261023
104936	9606.ENSP00000293379
104943	9606.ENSP00000366563
104961	9606.ENSP00000309181
104961	9606.ENSP00000262643
104961	9606.ENSP00000400088
104965	9606.ENSP00000362082
104965	9606.ENSP00000265734
104969	9606.ENSP00000364709
104969	9606.ENSP00000356671
104977	9606.ENSP00000227507
104977	9606.ENSP00000265734
104981	9606.ENSP00000317985
104981	9606.ENSP00000382697
104985	9606.ENSP00000296585
104987	9606.ENSP00000264637
104987	9606.ENSP00000348827
104988	9606.ENSP00000259455
104988	9606.ENSP00000366233
105018	9606.ENSP00000455607
105018	9606.ENSP00000369274
105018	9606.ENSP00000362643
105018	9606.ENSP00000297373
105018	9606.ENSP00000313504
105023	9606.ENSP00000430684
105023	9606.ENSP00000359424
105025	9606.ENSP00000225577
105025	9606.ENSP00000308413
105038	9606.ENSP00000410732
105038	9606.ENSP00000274547
105044	9606.ENSP00000323867
105044	9606.ENSP00000346148
105044	9606.ENSP00000229328
105048	9606.ENSP00000431245
105048	9606.ENSP00000296518
105048	9606.ENSP00000264424
105055	9606.ENSP00000263967
105059	9606.ENSP00000410732
105059	9606.ENSP00000274547
105059	9606.ENSP00000274545
105067	9606.ENSP00000234626
105067	9606.ENSP00000265728
105076	9606.ENSP00000304290
105076	9606.ENSP00000357461
105076	9606.ENSP00000261751
105076	9606.ENSP00000315602
105076	9606.ENSP00000289957
105079	9606.ENSP00000296930
105079	9606.ENSP00000373700
105083	9606.ENSP00000261900
105083	9606.ENSP00000362361
105087	9606.ENSP00000023897
105087	9606.ENSP00000295454
105087	9606.ENSP00000410732
105089	9606.ENSP00000419692
105089	9606.ENSP00000287820
105097	9606.ENSP00000363512
105097	9606.ENSP00000369858
105103	9606.ENSP00000303351
105103	9606.ENSP00000261023
105111	9606.ENSP00000246533
105111	9606.ENSP00000279247
105116	9606.ENSP00000303242
105116	9606.ENSP00000441691
105117	9606.ENSP00000302967
105121	9606.ENSP00000410732
105121	9606.ENSP00000299267
105121	9606.ENSP00000264318
105503	9606.ENSP00000354558
105503	9606.ENSP00000371138
105504	9606.ENSP00000357204
105504	9606.ENSP00000227758
105508	9606.ENSP00000357461
105508	9606.ENSP00000299565
105508	9606.ENSP00000261751
105508	9606.ENSP00000315602
105509	9606.ENSP00000337255
105509	9606.ENSP00000155840
105510	9606.ENSP00000373648
105510	9606.ENSP00000352035
105709	9606.ENSP00000261007
105709	9606.ENSP00000374145
105709	9606.ENSP00000304290
105709	9606.ENSP00000293780
105709	9606.ENSP00000258385
105734	9606.ENSP00000438949
105734	9606.ENSP00000353362
105734	9606.ENSP00000352011
105734	9606.ENSP00000005284
105734	9606.ENSP00000365441
105734	9606.ENSP00000334198
105734	9606.ENSP00000301050
105734	9606.ENSP00000349320
105734	9606.ENSP00000222212
105734	9606.ENSP00000288139
105734	9606.ENSP00000377840
105734	9606.ENSP00000226021
105734	9606.ENSP00000320025
105734	9606.ENSP00000355192
105734	9606.ENSP00000266376
105734	9606.ENSP00000356545
105734	9606.ENSP00000372169
105734	9606.ENSP00000419101
105734	9606.ENSP00000252729
105734	9606.ENSP00000418081
105734	9606.ENSP00000385019
105734	9606.ENSP00000262138
105734	9606.ENSP00000303092
105734	9606.ENSP00000300105
105739	9606.ENSP00000306606
105739	9606.ENSP00000209668
105747	9606.ENSP00000411593
105747	9606.ENSP00000264428
105760	9606.ENSP00000315774
105760	9606.ENSP00000339720
105760	9606.ENSP00000007516
105760	9606.ENSP00000360492
105760	9606.ENSP00000296684
105760	9606.ENSP00000259037
105760	9606.ENSP00000237889
105760	9606.ENSP00000252102
105760	9606.ENSP00000362058
105760	9606.ENSP00000233627
105760	9606.ENSP00000356972
105760	9606.ENSP00000274137
105760	9606.ENSP00000330787
105760	9606.ENSP00000263774
105760	9606.ENSP00000369176
105760	9606.ENSP00000184266
105760	9606.ENSP00000299166
105760	9606.ENSP00000247866
105760	9606.ENSP00000301457
105760	9606.ENSP00000281031
105760	9606.ENSP00000252711
105760	9606.ENSP00000268668
105760	9606.ENSP00000354687
105760	9606.ENSP00000355046
105760	9606.ENSP00000355206
105760	9606.ENSP00000354728
105760	9606.ENSP00000354961
105760	9606.ENSP00000354813
105760	9606.ENSP00000354665
105760	9606.ENSP00000215565
105760	9606.ENSP00000327268
105760	9606.ENSP00000392709
105760	9606.ENSP00000322450
105760	9606.ENSP00000362873
105760	9606.ENSP00000346196
105760	9606.ENSP00000418842
105760	9606.ENSP00000347988
105760	9606.ENSP00000266544
105760	9606.ENSP00000389160
105760	9606.ENSP00000296597
105760	9606.ENSP00000323076
105760	9606.ENSP00000276062
105760	9606.ENSP00000358272
105760	9606.ENSP00000423673
105760	9606.ENSP00000330737
105760	9606.ENSP00000260361
105760	9606.ENSP00000276689
105767	9606.ENSP00000254066
105767	9606.ENSP00000352900
106132	9606.ENSP00000303231
106132	9606.ENSP00000231228
106133	9606.ENSP00000231228
106133	9606.ENSP00000228534
106146	9606.ENSP00000369293
106146	9606.ENSP00000216223
106146	9606.ENSP00000363318
106147	9606.ENSP00000300692
106147	9606.ENSP00000354566
106147	9606.ENSP00000431445
106148	9606.ENSP00000394227
106148	9606.ENSP00000384053
106149	9606.ENSP00000270139
106149	9606.ENSP00000343957
106150	9606.ENSP00000356713
106150	9606.ENSP00000290219
106151	9606.ENSP00000303242
106151	9606.ENSP00000349252
106152	9606.ENSP00000253796
106166	9606.ENSP00000205386
106166	9606.ENSP00000252999
106166	9606.ENSP00000222399
106166	9606.ENSP00000258341
106166	9606.ENSP00000400365
106166	9606.ENSP00000374309
106166	9606.ENSP00000307156
106166	9606.ENSP00000348384
106166	9606.ENSP00000264144
106166	9606.ENSP00000324532
106166	9606.ENSP00000354360
106167	9606.ENSP00000351310
106167	9606.ENSP00000225964
106167	9606.ENSP00000369889
106167	9606.ENSP00000304408
106167	9606.ENSP00000364979
106167	9606.ENSP00000364000
106167	9606.ENSP00000297268
106167	9606.ENSP00000353654
106167	9606.ENSP00000359114
106167	9606.ENSP00000355180
106167	9606.ENSP00000300527
106167	9606.ENSP00000295550
106167	9606.ENSP00000360882
106167	9606.ENSP00000264828
106167	9606.ENSP00000331902
106167	9606.ENSP00000364140
106167	9606.ENSP00000347665
106167	9606.ENSP00000379866
106167	9606.ENSP00000379823
106167	9606.ENSP00000361290
106167	9606.ENSP00000359603
106167	9606.ENSP00000382356
106167	9606.ENSP00000348385
106181	9606.ENSP00000327801
106181	9606.ENSP00000265517
106197	9606.ENSP00000386212
106197	9606.ENSP00000261712
106197	9606.ENSP00000348442
106197	9606.ENSP00000386541
106197	9606.ENSP00000359910
106197	9606.ENSP00000264639
106197	9606.ENSP00000298852
106197	9606.ENSP00000262193
106197	9606.ENSP00000414359
106197	9606.ENSP00000223321
106197	9606.ENSP00000216455
106197	9606.ENSP00000044462
106197	9606.ENSP00000363993
106197	9606.ENSP00000271308
106197	9606.ENSP00000290541
106197	9606.ENSP00000270586
106197	9606.ENSP00000355325
106197	9606.ENSP00000292644
106197	9606.ENSP00000351314
106197	9606.ENSP00000157812
106197	9606.ENSP00000215071
106197	9606.ENSP00000362334
106197	9606.ENSP00000219313
106197	9606.ENSP00000357879
106197	9606.ENSP00000248566
106197	9606.ENSP00000261479
106197	9606.ENSP00000261303
106197	9606.ENSP00000310572
106197	9606.ENSP00000310129
106197	9606.ENSP00000295901
106197	9606.ENSP00000253003
106197	9606.ENSP00000311121
106197	9606.ENSP00000259457
106197	9606.ENSP00000309474
106197	9606.ENSP00000396937
107877	9606.ENSP00000346148
107877	9606.ENSP00000287878
107877	9606.ENSP00000229328
107878	9606.ENSP00000346148
107878	9606.ENSP00000233944
107878	9606.ENSP00000229328
107879	9606.ENSP00000254101
107879	9606.ENSP00000323867
107879	9606.ENSP00000346148
107880	9606.ENSP00000360290
107880	9606.ENSP00000346148
107881	9606.ENSP00000323867
107881	9606.ENSP00000360290
107881	9606.ENSP00000229328
107882	9606.ENSP00000254101
107882	9606.ENSP00000323867
107882	9606.ENSP00000360290
107883	9606.ENSP00000254101
107883	9606.ENSP00000360290
107883	9606.ENSP00000233944
107884	9606.ENSP00000261007
107884	9606.ENSP00000357461
107885	9606.ENSP00000261007
107885	9606.ENSP00000261751
107887	9606.ENSP00000357461
107887	9606.ENSP00000299565
107887	9606.ENSP00000359285
107889	9606.ENSP00000270202
107889	9606.ENSP00000244741
107890	9606.ENSP00000262320
107890	9606.ENSP00000344456
107893	9606.ENSP00000378699
107893	9606.ENSP00000274026
107894	9606.ENSP00000378699
107894	9606.ENSP00000262643
107895	9606.ENSP00000274026
107895	9606.ENSP00000266970
107896	9606.ENSP00000266970
107896	9606.ENSP00000255465
107897	9606.ENSP00000262643
107897	9606.ENSP00000400088
107898	9606.ENSP00000257904
107898	9606.ENSP00000362082
107899	9606.ENSP00000256443
107899	9606.ENSP00000256897
107899	9606.ENSP00000261245
107900	9606.ENSP00000428982
107900	9606.ENSP00000370938
107901	9606.ENSP00000374529
107901	9606.ENSP00000362361
107903	9606.ENSP00000217244
107904	9606.ENSP00000354859
107904	9606.ENSP00000359532
107906	9606.ENSP00000397026
107906	9606.ENSP00000262895
107910	9606.ENSP00000302967
107910	9606.ENSP00000268712
107912	9606.ENSP00000329967
107914	9606.ENSP00000339960
107914	9606.ENSP00000295101
107915	9606.ENSP00000295101
107916	9606.ENSP00000357067
107917	9606.ENSP00000343204
107917	9606.ENSP00000391676
107918	9606.ENSP00000371067
107918	9606.ENSP00000343204
107919	9606.ENSP00000421689
107920	9606.ENSP00000324464
107920	9606.ENSP00000352929
107921	9606.ENSP00000274629
107925	9606.ENSP00000358335
107925	9606.ENSP00000216160
107930	9606.ENSP00000360608
107930	9606.ENSP00000293190
107931	9606.ENSP00000263269
107931	9606.ENSP00000360608
107936	9606.ENSP00000289153
107937	9606.ENSP00000344456
107938	9606.ENSP00000363089
107938	9606.ENSP00000284818
107939	9606.ENSP00000363089
107939	9606.ENSP00000304236
107939	9606.ENSP00000284818
108117	9606.ENSP00000319169
108117	9606.ENSP00000235090
