cv_scheme = classic, disease = allergy:
 method                                                rate         SE df  asymp.LCL  asymp.UCL
 pr                                               1.3936636 0.06532070 NA  1.2713419  1.5277546
 randomraw                                        0.5998552 0.04231156 NA  0.5224032  0.6887903
 random                                           0.6078533 0.04259835 NA  0.5298423  0.6973502
 EGAD                                             5.6206434 0.13969285 NA  5.3534120  5.9012145
 association_score.datatypes.affected_pathway     0.7018306 0.04584289 NA  0.6174939  0.7976860
 association_score.datatypes.animal_model         1.8135623 0.07500839 NA  1.6723495  1.9666991
 association_score.datatypes.genetic_association  1.4356535 0.06634154 NA  1.3113409  1.5717507
 association_score.datatypes.literature           6.1725102 0.14751523 NA  5.8900526  6.4685132
 association_score.datatypes.rna_expression       0.9977592 0.05492143 NA  0.8957185  1.1114244
 association_score.datatypes.somatic_mutation     0.7018306 0.04584289 NA  0.6174939  0.7976860
 ppr                                              8.3659808 0.17684703 NA  8.0264492  8.7198752
 raw                                              7.0403008 0.15941487 NA  6.7346852  7.3597851
 gm                                               2.7453374 0.09362276 NA  2.5678382  2.9351060
 mc                                               7.0123076 0.15903773 NA  6.7074258  7.3310476
 z                                                7.2782434 0.16260409 NA  6.9664220  7.6040221
 knn                                              6.9123317 0.15768739 NA  6.6100776  7.2284068
 wsld                                             6.8743409 0.15717284 NA  6.5730880  7.1894005
 COSNet                                           5.3946980 0.13642334 NA  5.1338314  5.6688200
 bagsvm                                           6.8563452 0.15692883 NA  6.5555672  7.1709233
 rf                                              10.4994659 0.20353103 NA 10.1080355 10.9060544
 svm                                              8.7458892 0.18170749 NA  8.3969027  9.1093799

cv_scheme = blocked_cv, disease = allergy:
 method                                                rate         SE df  asymp.LCL  asymp.UCL
 pr                                               0.6985057 0.03372258 NA  0.6354414  0.7678288
 randomraw                                        0.3006481 0.02149029 NA  0.2613453  0.3458615
 random                                           0.3046567 0.02163966 NA  0.2650637  0.3501638
 EGAD                                             2.8170723 0.07723632 NA  2.6696874  2.9725939
 association_score.datatypes.affected_pathway     0.3517582 0.02333454 NA  0.3088718  0.4005994
 association_score.datatypes.animal_model         0.9089593 0.03903904 NA  0.8355762  0.9887872
