"STRING_id","n_disease"
"9606.ENSP00000356438",19
"9606.ENSP00000287936",18
"9606.ENSP00000354612",18
"9606.ENSP00000231509",17
"9606.ENSP00000219833",15
"9606.ENSP00000287820",15
"9606.ENSP00000261707",14
"9606.ENSP00000270474",14
"9606.ENSP00000305372",14
"9606.ENSP00000328968",14
"9606.ENSP00000332116",14
"9606.ENSP00000345502",14
"9606.ENSP00000347689",14
"9606.ENSP00000447173",14
"9606.ENSP00000023897",13
"9606.ENSP00000264318",13
"9606.ENSP00000265294",13
"9606.ENSP00000274545",13
"9606.ENSP00000274547",13
"9606.ENSP00000280155",13
"9606.ENSP00000295452",13
"9606.ENSP00000295454",13
"9606.ENSP00000299267",13
"9606.ENSP00000331912",13
"9606.ENSP00000335592",13
"9606.ENSP00000348897",13
"9606.ENSP00000354859",13
"9606.ENSP00000358301",13
"9606.ENSP00000359334",13
"9606.ENSP00000359353",13
"9606.ENSP00000367848",13
"9606.ENSP00000386069",13
"9606.ENSP00000410732",13
"9606.ENSP00000266376",12
"9606.ENSP00000283254",12
"9606.ENSP00000283256",12
"9606.ENSP00000288139",12
"9606.ENSP00000303540",12
"9606.ENSP00000346534",12
"9606.ENSP00000355192",12
"9606.ENSP00000365441",12
"9606.ENSP00000386306",12
"9606.ENSP00000386796",12
"9606.ENSP00000390600",12
"9606.ENSP00000270349",11
"9606.ENSP00000343782",11
"9606.ENSP00000373169",11
"9606.ENSP00000007516",10
"9606.ENSP00000176183",10
"9606.ENSP00000184266",10
"9606.ENSP00000215565",10
"9606.ENSP00000233627",10
"9606.ENSP00000234389",10
"9606.ENSP00000237889",10
"9606.ENSP00000247866",10
"9606.ENSP00000252102",10
"9606.ENSP00000252711",10
"9606.ENSP00000259037",10
"9606.ENSP00000260361",10
"9606.ENSP00000263269",10
"9606.ENSP00000263774",10
"9606.ENSP00000265500",10
"9606.ENSP00000266544",10
"9606.ENSP00000268668",10
"9606.ENSP00000274137",10
"9606.ENSP00000276062",10
"9606.ENSP00000276689",10
"9606.ENSP00000281031",10
"9606.ENSP00000293190",10
"9606.ENSP00000296597",10
"9606.ENSP00000296684",10
"9606.ENSP00000299166",10
"9606.ENSP00000301457",10
"9606.ENSP00000308610",10
"9606.ENSP00000315774",10
"9606.ENSP00000322450",10
"9606.ENSP00000323076",10
"9606.ENSP00000327268",10
"9606.ENSP00000330737",10
"9606.ENSP00000330787",10
"9606.ENSP00000332549",10
"9606.ENSP00000339720",10
"9606.ENSP00000346196",10
"9606.ENSP00000347988",10
"9606.ENSP00000351957",10
"9606.ENSP00000354665",10
"9606.ENSP00000354687",10
"9606.ENSP00000354728",10
"9606.ENSP00000354813",10
"9606.ENSP00000354961",10
"9606.ENSP00000355046",10
"9606.ENSP00000355155",10
"9606.ENSP00000355206",10
"9606.ENSP00000356972",10
"9606.ENSP00000358272",10
"9606.ENSP00000360492",10
"9606.ENSP00000360608",10
"9606.ENSP00000362058",10
"9606.ENSP00000362873",10
"9606.ENSP00000369176",10
"9606.ENSP00000371138",10
"9606.ENSP00000382659",10
"9606.ENSP00000389160",10
"9606.ENSP00000392709",10
"9606.ENSP00000394624",10
"9606.ENSP00000398698",10
"9606.ENSP00000418842",10
"9606.ENSP00000423673",10
