cv_scheme = classic:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.032900094 0.0009954738 NA 0.031003908 0.034908072
 randomraw                                       0.027586263 0.0009121840 NA 0.025853610 0.029431527
 random                                          0.016821286 0.0007131030 NA 0.015479230 0.018277540
 EGAD                                            0.192188455 0.0022719206 NA 0.187774840 0.196680689
 association_score.datatypes.affected_pathway    0.015355086 0.0006813936 NA 0.014075202 0.016749374
 association_score.datatypes.animal_model        0.027136729 0.0009047710 NA 0.025418628 0.028967510
 association_score.datatypes.genetic_association 0.028098730 0.0009205593 NA 0.026349636 0.029960357
 association_score.datatypes.literature          0.076156302 0.0015010153 NA 0.073266012 0.079150874
 association_score.datatypes.rna_expression      0.019959710 0.0007765647 NA 0.018493188 0.021539977
 association_score.datatypes.somatic_mutation    0.015186401 0.0006776487 NA 0.013913859 0.016573372
 ppr                                             0.280724180 0.0025922142 NA 0.275671677 0.285832743
 raw                                             0.327730451 0.0026973077 NA 0.322465840 0.333038765
 gm                                              0.188685874 0.0022554527 NA 0.184304956 0.193146268
 mc                                              0.128150315 0.0019130699 NA 0.124447325 0.131946885
 z                                               0.320945801 0.0026846367 NA 0.315706911 0.326230179
 knn                                             0.255752104 0.0025191342 NA 0.250846050 0.260720717
 wsld                                            0.256629048 0.0025219151 NA 0.251717432 0.261602997
 COSNet                                          0.223554204 0.0024055921 NA 0.218874757 0.228304456
 bagsvm                                          0.325028521 0.0026923597 NA 0.319773961 0.330327495
 rf                                              0.421692877 0.0027925427 NA 0.416229425 0.427175566
 svm                                             0.340157592 0.0027184113 NA 0.334849992 0.345505621

cv_scheme = block:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.010954558 0.0003448420 NA 0.010298895 0.011651471
 randomraw                                       0.009151700 0.0003129139 NA 0.008558325 0.009785809
 random                                          0.005539456 0.0002397598 NA 0.005088816 0.006029760
 EGAD                                            0.071890157 0.0010338730 NA 0.069889963 0.073943044
 association_score.datatypes.affected_pathway    0.005051565 0.0002284663 NA 0.004622963 0.005519684
 association_score.datatypes.animal_model        0.008999788 0.0003101131 NA 0.008411877 0.009628389
 association_score.datatypes.genetic_association 0.009324994 0.0003160861 NA 0.008725430 0.009965342
 association_score.datatypes.literature          0.026137134 0.0005616634 NA 0.025058566 0.027260828
 association_score.datatypes.rna_expression      0.006587080 0.0002626394 NA 0.006091796 0.007122344
 association_score.datatypes.somatic_mutation    0.004995497 0.0002271383 NA 0.004569486 0.005461007
 ppr                                             0.112742314 0.0013671537 NA 0.110090410 0.115449811
 raw                                             0.136977242 0.0015406019 NA 0.133985621 0.140024860
 gm                                              0.070388943 0.0010204288 NA 0.068415013 0.072415398
 mc                                              0.045669843 0.0007823665 NA 0.044160712 0.047227999
 z                                               0.133358194 0.0015156884 NA 0.130415395 0.136356985
 knn                                             0.100622777 0.0012741650 NA 0.098152837 0.103147762
 wsld                                            0.101040015 0.0012774416 NA 0.098563665 0.103571433
 COSNet                                          0.085705848 0.0011532119 NA 0.083472438 0.087993278
 bagsvm                                          0.135530904 0.0015306852 NA 0.132558717 0.138559088
 rf                                              0.191857394 0.0018807860 NA 0.188198101 0.195570696
 svm                                             0.143717549 0.0015861278 NA 0.140636687 0.146854367

cv_scheme = representative:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.010899638 0.0003431661 NA 0.010247166 0.011593168
 randomraw                                       0.009105735 0.0003113830 NA 0.008515266 0.009736746
 random                                          0.005511533 0.0002385706 NA 0.005063130 0.005999407
 EGAD                                            0.071551839 0.0010297698 NA 0.069559613 0.073596610
 association_score.datatypes.affected_pathway    0.005026089 0.0002273310 NA 0.004599618 0.005491884
 association_score.datatypes.animal_model        0.008954579 0.0003085950 NA 0.008369549 0.009580106
 association_score.datatypes.genetic_association 0.009278167 0.0003145406 NA 0.008681538 0.009915388
 association_score.datatypes.literature          0.026008098 0.0005590767 NA 0.024934508 0.027126628
 association_score.datatypes.rna_expression      0.006553911 0.0002613420 NA 0.006061076 0.007086533
 association_score.datatypes.somatic_mutation    0.004970302 0.0002260094 NA 0.004546410 0.005433501
 ppr                                             0.112234993 0.0013623900 NA 0.109592378 0.114933105
 raw                                             0.136377630 0.0015356446 NA 0.133395694 0.139415502
 gm                                              0.070057157 0.0010163597 NA 0.068091127 0.072075562
 mc                                              0.045448877 0.0007789899 NA 0.043946277 0.047000328
 z                                               0.132771988 0.0015107521 NA 0.129838829 0.135761070
 knn                                             0.100163835 0.0012695490 NA 0.097702886 0.102679717
 wsld                                            0.100579383 0.0012728198 NA 0.098112035 0.103101687
 COSNet                                          0.085308489 0.0011488310 NA 0.083083600 0.087587267
 bagsvm                                          0.134936634 0.0015257360 NA 0.131974115 0.137955086
 rf                                              0.191070734 0.0018758034 NA 0.187421217 0.194774282
 svm                                             0.143093324 0.0015811386 NA 0.140022215 0.146220339

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
