cv_scheme = classic, disease = allergy:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.012961842 2.555156e-04 NA 0.012470471 0.013472310
 randomraw                                       0.010696083 2.184263e-04 NA 0.010276341 0.011132776
 random                                          0.006519033 1.485020e-04 NA 0.006234337 0.006816642
 EGAD                                            0.012161527 2.424639e-04 NA 0.011695363 0.012646034
 association_score.datatypes.affected_pathway    0.005951965 1.387612e-04 NA 0.005686083 0.006230202
 association_score.datatypes.animal_model        0.010487113 2.149823e-04 NA 0.010074023 0.010916955
 association_score.datatypes.genetic_association 0.010946820 2.225530e-04 NA 0.010519109 0.011391722
 association_score.datatypes.literature          0.031044440 5.412463e-04 NA 0.030000982 0.032122989
 association_score.datatypes.rna_expression      0.007715710 1.688153e-04 NA 0.007391780 0.008053720
 association_score.datatypes.somatic_mutation    0.005893544 1.377527e-04 NA 0.005629610 0.006169775
 ppr                                             0.017713311 3.321265e-04 NA 0.017073966 0.018376150
 raw                                             0.017040658 3.213610e-04 NA 0.016422108 0.017682088
 gm                                              0.004532631 1.139210e-04 NA 0.004314737 0.004761476
 mc                                              0.016032116 3.051738e-04 NA 0.015444834 0.016641353
 z                                               0.016101670 3.062919e-04 NA 0.015512227 0.016713130
 knn                                             0.014972676 2.881065e-04 NA 0.014418360 0.015547968
 wsld                                            0.014068393 2.734838e-04 NA 0.013542319 0.014614600
 COSNet                                          0.012689850 2.510854e-04 NA 0.012207035 0.013191506
 bagsvm                                          0.014959493 2.878936e-04 NA 0.014405587 0.015534361
 rf                                              0.007985970 1.733652e-04 NA 0.007653253 0.008333031
 svm                                             0.008702231 1.853675e-04 NA 0.008346334 0.009073165

cv_scheme = block, disease = allergy:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.013174444 2.595539e-04 NA 0.012675300 0.013692972
 randomraw                                       0.010871931 2.218999e-04 NA 0.010445509 0.011315562
 random                                          0.006626669 1.508940e-04 NA 0.006337383 0.006929068
 EGAD                                            0.012361166 2.463042e-04 NA 0.011887612 0.012853340
 association_score.datatypes.affected_pathway    0.006050295 1.410007e-04 NA 0.005780119 0.006333019
 association_score.datatypes.animal_model        0.010659562 2.184031e-04 NA 0.010239893 0.011096238
 association_score.datatypes.genetic_association 0.011126744 2.260897e-04 NA 0.010692230 0.011578710
 association_score.datatypes.literature          0.031544157 5.494362e-04 NA 0.030484884 0.032638999
 association_score.datatypes.rna_expression      0.007842948 1.715239e-04 NA 0.007513817 0.008186377
