cv_scheme = classic, disease = allergy:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.7198169 0.002162133 NA 0.7155597 0.7240350
 randomraw                                       0.6346658 0.002395256 NA 0.6299585 0.6393475
 random                                          0.4980280 0.002532976 NA 0.4930638 0.5029926
 EGAD                                            0.6260025 0.002412552 NA 0.6212620 0.6307188
 association_score.datatypes.affected_pathway    0.4977081 0.002532962 NA 0.4927440 0.5026727
 association_score.datatypes.animal_model        0.5070307 0.002532728 NA 0.5020662 0.5119939
 association_score.datatypes.genetic_association 0.5177710 0.002530808 NA 0.5128091 0.5227293
 association_score.datatypes.literature          0.6878699 0.002263164 NA 0.6834171 0.6922883
 association_score.datatypes.rna_expression      0.5127521 0.002531925 NA 0.5077886 0.5177132
 association_score.datatypes.somatic_mutation    0.4974531 0.002532950 NA 0.4924891 0.5024177
 ppr                                             0.7207005 0.002159103 NA 0.7164492 0.7249126
 raw                                             0.6791102 0.002287995 NA 0.6746094 0.6835779
 gm                                              0.3404706 0.002335602 NA 0.3359079 0.3450631
 mc                                              0.6054303 0.002448944 NA 0.6006204 0.6102198
 z                                               0.6060536 0.002447938 NA 0.6012456 0.6108411
 knn                                             0.6503803 0.002360886 NA 0.6457391 0.6549933
 wsld                                            0.6504708 0.002360677 NA 0.6458299 0.6550833
 COSNet                                          0.5053957 0.002532865 NA 0.5004311 0.5103594
 bagsvm                                          0.5985439 0.002459660 NA 0.5937136 0.6033550
 rf                                              0.5626975 0.002503612 NA 0.5577846 0.5675982
 svm                                             0.5347839 0.002524150 NA 0.5298334 0.5397276

cv_scheme = block, disease = allergy:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.7306123 0.002111342 NA 0.7264542 0.7347304
 randomraw                                       0.6471338 0.002360034 NA 0.6424945 0.6517455
 random                                          0.5115704 0.002531919 NA 0.5066070 0.5165316
 EGAD                                            0.6385977 0.002379243 NA 0.6339216 0.6432478
 association_score.datatypes.affected_pathway    0.5112507 0.002531990 NA 0.5062872 0.5162120
 association_score.datatypes.animal_model        0.5205641 0.002529263 NA 0.5156050 0.5255192
 association_score.datatypes.genetic_association 0.5312820 0.002524482 NA 0.5263312 0.5362267
 association_score.datatypes.literature          0.6993822 0.002217442 NA 0.6950183 0.7037103
 association_score.datatypes.rna_expression      0.5262752 0.002526934 NA 0.5213201 0.5312251
