cv_scheme = classic, disease = allergy:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.12553885 0.0021946625 NA 0.12130013 0.12990380
 randomraw                                       0.07794164 0.0016572637 NA 0.07475480 0.08125241
 random                                          0.05997352 0.0014224440 NA 0.05724549 0.06282288
 EGAD                                            0.45769718 0.0039545347 NA 0.44995729 0.46545755
 association_score.datatypes.affected_pathway    0.06047602 0.0014293314 NA 0.05773455 0.06333892
 association_score.datatypes.animal_model        0.08083518 0.0016931222 NA 0.07757823 0.08421637
 association_score.datatypes.genetic_association 0.10499591 0.0019753455 NA 0.10118683 0.10893100
 association_score.datatypes.literature          0.34620328 0.0037021048 NA 0.33898350 0.35349459
 association_score.datatypes.rna_expression      0.08696193 0.0017674902 NA 0.08355957 0.09048915
 association_score.datatypes.somatic_mutation    0.05996826 0.0014223718 NA 0.05724038 0.06281748
 ppr                                             0.58048418 0.0038553384 NA 0.57290954 0.58802107
 raw                                             0.58655856 0.0038401911 NA 0.57901226 0.59406443
 gm                                              0.17841518 0.0026882582 NA 0.17320705 0.18374511
 mc                                              0.51004929 0.0039604571 NA 0.50228513 0.51780859
 z                                               0.57567251 0.0038666507 NA 0.56807679 0.58323265
 knn                                             0.53547059 0.0039374825 NA 0.52774538 0.54317881
 wsld                                            0.53750129 0.0039349185 NA 0.52978063 0.54520401
 COSNet                                          0.29067841 0.0034531410 NA 0.28395717 0.29749265
 bagsvm                                          0.57876743 0.0038594441 NA 0.57118514 0.58631276
 rf                                              0.60732236 0.0037811080 NA 0.59988733 0.61470797
 svm                                             0.55308355 0.0039116551 NA 0.54540482 0.56073704

cv_scheme = block, disease = allergy:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.06579664 0.0012427766 NA 0.06340235 0.06827475
 randomraw                                       0.03981887 0.0008898806 NA 0.03811089 0.04160009
 random                                          0.03035002 0.0007484859 NA 0.02891687 0.03185188
 EGAD                                            0.29281535 0.0033203655 NA 0.28635018 0.29936526
 association_score.datatypes.affected_pathway    0.03061240 0.0007525379 NA 0.02917137 0.03212226
 association_score.datatypes.animal_model        0.04136061 0.0009120904 NA 0.03960945 0.04318570
 association_score.datatypes.genetic_association 0.05442139 0.0010932546 NA 0.05231798 0.05660432
 association_score.datatypes.literature          0.20621338 0.0027035066 NA 0.20096498 0.21156256
 association_score.datatypes.rna_expression      0.04464076 0.0009587091 NA 0.04279898 0.04655795
 association_score.datatypes.somatic_mutation    0.03034728 0.0007484435 NA 0.02891421 0.03184905
 ppr                                             0.40435021 0.0038207331 NA 0.39688451 0.41186044
 raw                                             0.41038448 0.0038385064 NA 0.40288265 0.41792822
 gm                                              0.09628037 0.0016150556 NA 0.09316108 0.09949265
 mc                                              0.33806475 0.0035628189 NA 0.33111742 0.34508264
 z                                               0.39960783 0.0038060983 NA 0.39217182 0.40709039
 knn                                             0.36123411 0.0036660589 NA 0.35408026 0.36845005
 wsld                                            0.36312057 0.0036738442 NA 0.35595110 0.37035140
 COSNet                                          0.16739204 0.0023599993 NA 0.16281744 0.17206875
 bagsvm                                          0.40265440 0.0038155673 NA 0.39519919 0.41015487
 rf                                              0.43141946 0.0038930423 NA 0.42380609 0.43906538
 svm                                             0.37777677 0.0037311529 NA 0.37049214 0.38511702

cv_scheme = representative, disease = allergy:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.08348089 0.0015403861 NA 0.08051098 0.08655003
 randomraw                                       0.05090147 0.0011206439 NA 0.04874936 0.05314328
 random                                          0.03890398 0.0009482525 NA 0.03708745 0.04080572
 EGAD                                            0.34873838 0.0036289528 NA 0.34165987 0.35588426
 association_score.datatypes.affected_pathway    0.03923732 0.0009532257 NA 0.03741111 0.04114887
 association_score.datatypes.animal_model        0.05284869 0.0011475065 NA 0.05064428 0.05514348
 association_score.datatypes.genetic_association 0.06927501 0.0013644014 NA 0.06664814 0.07199744
 association_score.datatypes.literature          0.25147839 0.0030949131 NA 0.24546118 0.25759274
 association_score.datatypes.rna_expression      0.05698577 0.0012036989 NA 0.05467194 0.05939138
 association_score.datatypes.somatic_mutation    0.03890050 0.0009482004 NA 0.03708407 0.04080213
 ppr                                             0.46749308 0.0039415567 NA 0.45977617 0.47522557
 raw                                             0.47372024 0.0039477570 NA 0.46598970 0.48146339
 gm                                              0.12109574 0.0019662036 NA 0.11729461 0.12500260
 mc                                              0.39776889 0.0038028780 NA 0.39033962 0.40524558
 z                                               0.46258526 0.0039359560 NA 0.45488049 0.47030794
 knn                                             0.42241885 0.0038664505 NA 0.41485957 0.43001465
 wsld                                            0.42441253 0.0038708962 NA 0.41684409 0.43201659
 COSNet                                          0.20635077 0.0027598544 NA 0.20099399 0.21181246
 bagsvm                                          0.46573951 0.0039396278 NA 0.45802681 0.47346864
 rf                                              0.49527465 0.0039613968 NA 0.48751222 0.50303936
 svm                                             0.43983413 0.0039017688 NA 0.43220167 0.44749515

cv_scheme = classic, disease = Alzheimers disease:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.13842586 0.0023707196 NA 0.13384445 0.14313817
 randomraw                                       0.08642552 0.0018127835 NA 0.08293802 0.09004527
 random                                          0.06664294 0.0015636341 NA 0.06364294 0.06977382
 EGAD                                            0.48574125 0.0039506975 NA 0.47800207 0.49348728
 association_score.datatypes.affected_pathway    0.06719733 0.0015709850 NA 0.06418295 0.07034264
 association_score.datatypes.animal_model        0.08960341 0.0018505574 NA 0.08604196 0.09329723
 association_score.datatypes.genetic_association 0.11605398 0.0021452003 NA 0.11191517 0.12032511
 association_score.datatypes.literature          0.37210332 0.0037927442 NA 0.36470043 0.37956670
 association_score.datatypes.rna_expression      0.09632509 0.0019286604 NA 0.09261069 0.10017203
 association_score.datatypes.somatic_mutation    0.06663714 0.0015635571 NA 0.06363729 0.06976787
 ppr                                             0.60762207 0.0037493278 NA 0.60024965 0.61494574
 raw                                             0.61356510 0.0037297019 NA 0.60622992 0.62084910
 gm                                              0.19551652 0.0028656152 NA 0.18996101 0.20119415
 mc                                              0.53811811 0.0039111052 NA 0.53044407 0.54577413
 z                                               0.60290874 0.0037642429 NA 0.59550808 0.61026262
 knn                                             0.56332989 0.0038668334 NA 0.55573682 0.57089339
 wsld                                            0.56533767 0.0038626029 NA 0.55775243 0.57289242
 COSNet                                          0.31442224 0.0035834089 NA 0.30744171 0.32148768
 bagsvm                                          0.60594099 0.0037547135 NA 0.59855837 0.61327557
 rf                                              0.63381931 0.0036559410 NA 0.62662464 0.64095478
 svm                                             0.58071366 0.0038267564 NA 0.57319526 0.58819477

cv_scheme = block, disease = Alzheimers disease:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.07306330 0.0013609129 NA 0.07044040 0.07577590
 randomraw                                       0.04435273 0.0009818734 NA 0.04246761 0.04631747
 random                                          0.03384374 0.0008283330 NA 0.03225728 0.03550536
 EGAD                                            0.31665580 0.0034415165 NA 0.30994943 0.32343927
