cv_scheme = classic:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.14037283 0.0019319474 NA 0.13662884 0.14420228
 randomraw                                       0.09256341 0.0016162667 NA 0.08944389 0.09578028
 random                                          0.06811750 0.0014064926 NA 0.06541199 0.07092641
 EGAD                                            0.48983130 0.0026333893 NA 0.48467122 0.49499355
 association_score.datatypes.affected_pathway    0.06821963 0.0014074642 NA 0.06551221 0.07103044
 association_score.datatypes.animal_model        0.09093427 0.0016035392 NA 0.08783988 0.09412641
 association_score.datatypes.genetic_association 0.11772821 0.0017949630 NA 0.11425544 0.12129207
 association_score.datatypes.literature          0.37592594 0.0026167905 NA 0.37081120 0.38106850
 association_score.datatypes.rna_expression      0.09774535 0.0016557313 NA 0.09454787 0.10103890
 association_score.datatypes.somatic_mutation    0.06765152 0.0014020477 NA 0.06495478 0.07045179
 ppr                                             0.61152866 0.0024714929 NA 0.60667375 0.61636153
 raw                                             0.61745028 0.0024589688 NA 0.61261938 0.62225808
 gm                                              0.19808593 0.0022063665 NA 0.19379705 0.20244590
 mc                                              0.54184198 0.0025864380 NA 0.53676850 0.54690680
 z                                               0.60683148 0.0024811182 NA 0.60195813 0.61168365
 knn                                             0.56735949 0.0025512615 NA 0.56235241 0.57235285
 wsld                                            0.56936308 0.0025481619 NA 0.56436188 0.57435017
 COSNet                                          0.31745872 0.0025396775 NA 0.31250205 0.32245714
 bagsvm                                          0.60944188 0.0024758027 NA 0.60457871 0.61428340
 rf                                              0.63905278 0.0024095763 NA 0.63431678 0.64376190
 svm                                             0.58289506 0.0025259391 NA 0.57793611 0.58783730

cv_scheme = block:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.07414722 0.0011175008 NA 0.07198649 0.07636745
 randomraw                                       0.04764339 0.0008841179 NA 0.04594018 0.04940647
 random                                          0.03460836 0.0007476409 NA 0.03317255 0.03610400
 EGAD                                            0.32013611 0.0023221624 NA 0.31560198 0.32470448
 association_score.datatypes.affected_pathway    0.03466212 0.0007482471 NA 0.03322512 0.03615895
 association_score.datatypes.animal_model        0.04676411 0.0008754850 NA 0.04507781 0.04851027
 association_score.datatypes.genetic_association 0.06142260 0.0010111774 NA 0.05947036 0.06343461
 association_score.datatypes.literature          0.22805212 0.0020009927 NA 0.22415403 0.23199774
 association_score.datatypes.rna_expression      0.05045040 0.0009112126 NA 0.04869409 0.05226657
 association_score.datatypes.somatic_mutation    0.03436316 0.0007448706 NA 0.03293277 0.03585337
 ppr                                             0.43567752 0.0025639093 NA 0.43065912 0.44070913
 raw                                             0.44183305 0.0025720600 NA 0.43679807 0.44688002
 gm                                              0.10805477 0.0013652330 NA 0.10540794 0.11075984
 mc                                              0.36709360 0.0024410139 NA 0.36232253 0.37189086
 z                                               0.43083305 0.0025571634 NA 0.42582835 0.43585192
 knn                                             0.39141220 0.0024913725 NA 0.38654021 0.39630592
 wsld                                            0.39335938 0.0024950802 NA 0.38847994 0.39826018
 COSNet                                          0.18573860 0.0018095227 NA 0.18221811 0.18931136
 bagsvm                                          0.43352115 0.0025609426 NA 0.42850878 0.43854716
 rf                                              0.46475589 0.0025982761 NA 0.45966721 0.46985192
 svm                                             0.40665844 0.0025191268 NA 0.40173062 0.41160511

cv_scheme = representative:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.09393187 0.0013767853 NA 0.09126794 0.09666529
 randomraw                                       0.06082061 0.0011079486 NA 0.05868499 0.06302875
 random                                          0.04434824 0.0009450284 NA 0.04253247 0.04623779
 EGAD                                            0.37870974 0.0024923215 NA 0.37383732 0.38360675
 association_score.datatypes.affected_pathway    0.04441643 0.0009457607 NA 0.04259922 0.04630742
 association_score.datatypes.animal_model        0.05971339 0.0010977621 NA 0.05759777 0.06190162
 association_score.datatypes.genetic_association 0.07809836 0.0012559139 NA 0.07567205 0.08059569
 association_score.datatypes.literature          0.27663303 0.0022543248 NA 0.27223650 0.28107315
 association_score.datatypes.rna_expression      0.06435153 0.0011398115 NA 0.06215333 0.06662196
 association_score.datatypes.somatic_mutation    0.04403718 0.0009416810 NA 0.04222798 0.04592018
 ppr                                             0.49984862 0.0025977353 NA 0.49475734 0.50493992
 raw                                             0.50609769 0.0025982024 NA 0.50100486 0.51118927
 gm                                              0.13556224 0.0016471569 NA 0.13236616 0.13882314
 mc                                              0.42883947 0.0025583399 NA 0.42383268 0.43386086
 z                                               0.49491639 0.0025970246 NA 0.48982702 0.50000681
 knn                                             0.45431230 0.0025796983 NA 0.44926107 0.45937296
 wsld                                            0.45633776 0.0025810484 NA 0.45128368 0.46140086
 COSNet                                          0.22796758 0.0020867526 NA 0.22390349 0.23208337
 bagsvm                                          0.49765473 0.0025974564 NA 0.49256423 0.50274572
 rf                                              0.52919360 0.0025957202 NA 0.52410323 0.53427791
 svm                                             0.47011601 0.0025888767 NA 0.46504517 0.47519303

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
