cv_scheme = classic, disease = allergy:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.104049559 0.0017867463 NA 0.100599325 0.107603968
 randomraw                                       0.060998953 0.0012450394 NA 0.058603878 0.063485311
 random                                          0.048398777 0.0010690830 NA 0.046345944 0.050537718
 EGAD                                            0.124548233 0.0020193360 NA 0.120644043 0.128560296
 association_score.datatypes.affected_pathway    0.049556179 0.0010856788 NA 0.047471074 0.051727895
 association_score.datatypes.animal_model        0.066473297 0.0013185969 NA 0.063935090 0.069104832
 association_score.datatypes.genetic_association 0.086707441 0.0015779795 NA 0.083664167 0.089850559
 association_score.datatypes.literature          0.299007137 0.0034674596 NA 0.292255632 0.305847210
 association_score.datatypes.rna_expression      0.071587952 0.0013859370 NA 0.068918675 0.074352357
 association_score.datatypes.somatic_mutation    0.049135799 0.0010796621 NA 0.047062395 0.051295634
 ppr                                             0.175973652 0.0025418025 NA 0.171047138 0.181011076
 raw                                             0.139893015 0.0021840999 NA 0.135666847 0.144228864
 gm                                              0.006130426 0.0003197996 NA 0.005534435 0.006790158
 mc                                              0.153643141 0.0023252458 NA 0.149140856 0.158256062
 z                                               0.156111939 0.0023499520 NA 0.151561293 0.160773329
 knn                                             0.092074580 0.0016438349 NA 0.088902978 0.095347488
 wsld                                            0.087657262 0.0015897182 NA 0.084591117 0.090823518
 COSNet                                          0.124007970 0.0020133922 NA 0.120115389 0.128008346
 bagsvm                                          0.122767582 0.0019997086 NA 0.118901724 0.126741050
 rf                                              0.069132269 0.0013537657 NA 0.066525614 0.071833200
 svm                                             0.073006255 0.0014043867 NA 0.070301061 0.075807057

cv_scheme = block, disease = allergy:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.102692376 0.0017668263 NA 0.099280800 0.106207360
 randomraw                                       0.060165597 0.0012295368 NA 0.057800441 0.062621101
 random                                          0.047728812 0.0010553472 NA 0.045702427 0.049840351
 EGAD                                            0.122960368 0.0019980409 NA 0.119097591 0.126930375
 association_score.datatypes.affected_pathway    0.048871015 0.0010717697 NA 0.046812699 0.051014990
 association_score.datatypes.animal_model        0.065570374 0.0013024020 NA 0.063063449 0.068169705
 association_score.datatypes.genetic_association 0.085554861 0.0015595705 NA 0.082547243 0.088661472
 association_score.datatypes.literature          0.295946979 0.0034482011 NA 0.289233650 0.302749757
 association_score.datatypes.rna_expression      0.070620811 0.0013691329 NA 0.067984017 0.073351826
 association_score.datatypes.somatic_mutation    0.048456152 0.0010658157 NA 0.046409413 0.050588367
 ppr                                             0.173860367 0.0025187816 NA 0.168978846 0.178852557
 raw                                             0.138140388 0.0021620440 NA 0.133957178 0.142432746
 gm                                              0.006041850 0.0003152272 NA 0.005454388 0.006692158
 mc                                              0.151748641 0.0023026906 NA 0.147290344 0.156317146
 z                                               0.154192544 0.0023273248 NA 0.149686036 0.158809386
 knn                                             0.090857754 0.0016249223 NA 0.087722806 0.094093180
 wsld                                            0.086493252 0.0015712177 NA 0.083462944 0.089622824
 COSNet                                          0.122426030 0.0019921280 NA 0.118574800 0.126384409
 bagsvm                                          0.121199275 0.0019785163 NA 0.117374624 0.125130884
 rf                                              0.068195867 0.0013372497 NA 0.065621127 0.070863969
 svm                                             0.072021440 0.0013874198 NA 0.069349050 0.074788535

cv_scheme = representative, disease = allergy:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.110227882 0.0018765536 NA 0.106603309 0.113959973
 randomraw                                       0.064805890 0.0013154674 NA 0.062274862 0.067432389
 random                                          0.051462436 0.0011316205 NA 0.049289166 0.053726116
 EGAD                                            0.131764732 0.0021149773 NA 0.127674475 0.135965603
 association_score.datatypes.affected_pathway    0.052689046 0.0011489922 NA 0.050481979 0.054987016
 association_score.datatypes.animal_model        0.070596201 0.0013921001 NA 0.067915981 0.073373867
 association_score.datatypes.genetic_association 0.091961707 0.0016612346 NA 0.088757138 0.095269881
 association_score.datatypes.literature          0.312721198 0.0035502110 NA 0.305805448 0.319721315
 association_score.datatypes.rna_expression      0.076002258 0.0014621374 NA 0.073185646 0.078918040
 association_score.datatypes.somatic_mutation    0.052243551 0.0011426950 NA 0.050048736 0.054529092
 ppr                                             0.185538320 0.0026441338 NA 0.180411702 0.190776706
 raw                                             0.147848459 0.0022828663 NA 0.143429848 0.152378978
