cv_scheme = classic:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.098653837 0.0012311268 NA 0.096267014 0.101093218
 randomraw                                       0.057321150 0.0009345968 NA 0.055516627 0.059180653
 random                                          0.046543969 0.0008404830 NA 0.044924105 0.048219293
 EGAD                                            0.118232095 0.0013479011 NA 0.115615709 0.120899596
 association_score.datatypes.affected_pathway    0.046835834 0.0008431643 NA 0.045210710 0.048516406
 association_score.datatypes.animal_model        0.062886908 0.0009797779 NA 0.060993712 0.064834811
 association_score.datatypes.genetic_association 0.082127146 0.0011221795 NA 0.079954360 0.084353564
 association_score.datatypes.literature          0.286776647 0.0020157284 NA 0.282842219 0.290743617
 association_score.datatypes.rna_expression      0.067746012 0.0010176175 NA 0.065778540 0.069767939
 association_score.datatypes.somatic_mutation    0.046437382 0.0008395017 NA 0.044819443 0.048110785
 ppr                                             0.167556182 0.0015974235 NA 0.164448610 0.170710480
 raw                                             0.132918729 0.0014282468 NA 0.130144290 0.135743085
 gm                                              0.005779101 0.0002926944 NA 0.005232840 0.006382022
 mc                                              0.146110434 0.0014958172 NA 0.143202998 0.149066629
 z                                               0.148470780 0.0015074828 NA 0.145540376 0.151449730
 knn                                             0.087238327 0.0011570280 NA 0.084997091 0.089532878
 wsld                                            0.083031435 0.0011284261 NA 0.080846380 0.085270067
 COSNet                                          0.118171704 0.0013475587 NA 0.115555991 0.120838536
 bagsvm                                          0.116382107 0.0013373651 NA 0.113786441 0.119029033
 rf                                              0.064049961 0.0009889646 NA 0.062138733 0.066015836
 svm                                             0.069616490 0.0010318184 NA 0.067621139 0.071666194

cv_scheme = block:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.097395674 0.0012180493 NA 0.095034304 0.099809247
 randomraw                                       0.056557040 0.0009233719 NA 0.054774249 0.058394272
 random                                          0.045916525 0.0008300699 NA 0.044316779 0.047571144
 EGAD                                            0.116756589 0.0013344288 NA 0.114166471 0.119397549
 association_score.datatypes.affected_pathway    0.046204646 0.0008327269 NA 0.044599688 0.047864466
 association_score.datatypes.animal_model        0.062053489 0.0009681991 NA 0.060182731 0.063978440
 association_score.datatypes.genetic_association 0.081060798 0.0011096492 NA 0.078912357 0.083262444
 association_score.datatypes.literature          0.283874911 0.0020054600 NA 0.279960760 0.287821911
 association_score.datatypes.rna_expression      0.066852791 0.0010057610 NA 0.064908311 0.068851233
 association_score.datatypes.somatic_mutation    0.045811305 0.0008290977 NA 0.044213466 0.047464022
 ppr                                             0.165580713 0.0015838750 NA 0.162499656 0.168708421
 raw                                             0.131287227 0.0014146283 NA 0.128539372 0.134084786
 gm                                              0.005697911 0.0002886251 NA 0.005159250 0.006292457
 mc                                              0.144343966 0.0014821619 NA 0.141463212 0.147273319
 z                                               0.146680678 0.0014938296 NA 0.143776957 0.149632794
 knn                                             0.086111841 0.0011443047 NA 0.083895340 0.088381252
 wsld                                            0.081954394 0.0011158600 NA 0.079793757 0.084168186
 COSNet                                          0.116696851 0.0013340872 NA 0.114107405 0.119337145
 bagsvm                                          0.114926679 0.0013239197 NA 0.112357224 0.117547113
 rf                                              0.063202168 0.0009773168 NA 0.061313516 0.065144958
 svm                                             0.068700424 0.0010198623 NA 0.066728265 0.070726453

cv_scheme = representative:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.104714567 0.0012935244 NA 0.102206271 0.107277064
 randomraw                                       0.061014524 0.0009885568 NA 0.059105511 0.062981067
 random                                          0.049579458 0.0008906360 NA 0.047862686 0.051354488
 EGAD                                            0.125328361 0.0014119491 NA 0.122587066 0.128122006
 association_score.datatypes.affected_pathway    0.049889362 0.0008934327 NA 0.048167100 0.051669862
 association_score.datatypes.animal_model        0.066913445 0.0010353837 NA 0.064912473 0.068971549
 association_score.datatypes.genetic_association 0.087270875 0.0011821471 NA 0.084981555 0.089615827
 association_score.datatypes.literature          0.300540991 0.0020625759 NA 0.296513987 0.304599006
 association_score.datatypes.rna_expression      0.072059745 0.0010745069 NA 0.069981927 0.074194333
 association_score.datatypes.somatic_mutation    0.049466280 0.0008896125 NA 0.047751517 0.051239308
 ppr                                             0.177018553 0.0016612108 NA 0.173786107 0.180298002
 raw                                             0.140755773 0.0014928086 NA 0.137855271 0.143707130
 gm                                              0.006173214 0.0003124364 NA 0.005590077 0.006816765
 mc                                              0.154586607 0.0015603871 NA 0.151552964 0.157669689
 z                                               0.157058696 0.0015720127 NA 0.154002140 0.160164432
 knn                                             0.092669856 0.0012178619 NA 0.090310333 0.095084582
 wsld                                            0.088226357 0.0011885551 NA 0.085924442 0.090583829
 COSNet                                          0.125264860 0.0014116034 NA 0.122524246 0.128057830
 bagsvm                                          0.123382874 0.0014013069 NA 0.120662526 0.126155755
 rf                                              0.068145551 0.0010448900 NA 0.066125907 0.070222240
 svm                                             0.074039866 0.0010891668 NA 0.071933250 0.076203111

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
