cv_scheme = classic:
 method                                               rate          SE df asymp.LCL asymp.UCL
 pr                                              2.0531516 0.037558072 NA 1.9808432 2.1280996
 randomraw                                       1.4867912 0.031663907 NA 1.4260085 1.5501648
 random                                          1.0800286 0.026807925 NA 1.0287436 1.1338702
 EGAD                                            2.0520652 0.037547476 NA 1.9797774 2.1269924
 association_score.datatypes.affected_pathway    1.1020833 0.027090232 NA 1.0502461 1.1564790
 association_score.datatypes.animal_model        1.7322177 0.034318423 NA 1.6662440 1.8008035
 association_score.datatypes.genetic_association 2.3651768 0.040514077 NA 2.2870888 2.4459309
 association_score.datatypes.literature          7.7723816 0.079549771 NA 7.6180203 7.9298706
 association_score.datatypes.rna_expression      1.7310226 0.034305912 NA 1.6650734 1.7995839
 association_score.datatypes.somatic_mutation    1.0857867 0.026881878 NA 1.0343571 1.1397735
 ppr                                             3.8147031 0.052633249 NA 3.7129262 3.9192699
 raw                                             2.8747165 0.045028485 NA 2.7878032 2.9643394
 gm                                              0.2168531 0.011837858 NA 0.1948495 0.2413416
 mc                                              3.9270409 0.053494357 NA 3.8235812 4.0333001
 z                                               3.7029086 0.051767465 NA 3.6028237 3.8057738
 knn                                             2.1740722 0.038723768 NA 2.0994846 2.2513098
 wsld                                            2.1338740 0.038339232 NA 2.0600382 2.2103563
 COSNet                                          3.0156276 0.046221166 NA 2.9263829 3.1075938
 bagsvm                                          2.5950672 0.042593338 NA 2.5129143 2.6799059
 rf                                              1.1858477 0.028140145 NA 1.1319570 1.2423041
 svm                                             1.4534375 0.031292179 NA 1.3933820 1.5160815

cv_scheme = block:
 method                                               rate          SE df asymp.LCL asymp.UCL
 pr                                              1.8590857 0.034183426 NA 1.7932803 1.9273059
 randomraw                                       1.3462582 0.028780165 NA 1.2910156 1.4038648
 random                                          0.9779432 0.024342084 NA 0.9313787 1.0268358
 EGAD                                            1.8581020 0.034173696 NA 1.7923156 1.9263030
 association_score.datatypes.affected_pathway    0.9979133 0.024599775 NA 0.9508448 1.0473117
 association_score.datatypes.animal_model        1.5684867 0.031211286 NA 1.5084913 1.6308683
 association_score.datatypes.genetic_association 2.1416179 0.036900325 NA 2.0705022 2.2151763
 association_score.datatypes.literature          7.0377284 0.073210666 NA 6.8956910 7.1826914
 association_score.datatypes.rna_expression      1.5674046 0.031199818 NA 1.5074316 1.6297637
 association_score.datatypes.somatic_mutation    0.9831571 0.024409585 NA 0.9364605 1.0321821
 ppr                                             3.4541336 0.048089486 NA 3.3611543 3.5496850
 raw                                             2.6029954 0.041058859 NA 2.5237528 2.6847262
 gm                                              0.1963560 0.010725153 NA 0.1764211 0.2185433
 mc                                              3.5558531 0.048887563 NA 3.4613147 3.6529736
 z                                               3.3529060 0.047287478 NA 3.2614935 3.4468806
 knn                                             1.9685768 0.035254260 NA 1.9006783 2.0389008
 wsld                                            1.9321781 0.034900935 NA 1.8649702 2.0018080
 COSNet                                          2.7305875 0.042159400 NA 2.6491943 2.8144813
 bagsvm                                          2.3497789 0.038814278 NA 2.2749226 2.4270983
 rf                                              1.0737602 0.025558479 NA 1.0248170 1.1250408
 svm                                             1.3160572 0.028439974 NA 1.2614798 1.3729958

cv_scheme = representative:
 method                                               rate          SE df asymp.LCL asymp.UCL
 pr                                              1.3460341 0.025255409 NA 1.2974335 1.3964552
 randomraw                                       0.9747316 0.021153429 NA 0.9341410 1.0170859
 random                                          0.7080604 0.017821764 NA 0.6739780 0.7438663
 EGAD                                            1.3453219 0.025247976 NA 1.2967358 1.3957283
 association_score.datatypes.affected_pathway    0.7225193 0.018014309 NA 0.6880607 0.7587036
 association_score.datatypes.animal_model        1.1356317 0.022992634 NA 1.0914494 1.1816025
 association_score.datatypes.genetic_association 1.5505960 0.027337612 NA 1.4979304 1.6051132
 association_score.datatypes.literature          5.0955276 0.056320639 NA 4.9863283 5.2071184
 association_score.datatypes.rna_expression      1.1348482 0.022983934 NA 1.0906829 1.1808019
 association_score.datatypes.somatic_mutation    0.7118354 0.017872190 NA 0.6776544 0.7477404
 ppr                                             2.5008969 0.036049734 NA 2.4312295 2.5725607
 raw                                             1.8846472 0.030550082 NA 1.8257113 1.9454856
 gm                                              0.1421676 0.007783473 NA 0.1277023 0.1582715
 mc                                              2.5745449 0.036679302 NA 2.5036492 2.6474481
 z                                               2.4276051 0.035418127 NA 2.3591700 2.4980254
 knn                                             1.4253090 0.026074514 NA 1.3751092 1.4773413
 wsld                                            1.3989552 0.025804023 NA 1.3492836 1.4504555
 COSNet                                          1.9770277 0.031405352 NA 1.9164227 2.0395493
 bagsvm                                          1.7013108 0.028812337 NA 1.6457666 1.7587296
 rf                                              0.7774348 0.018731599 NA 0.7415749 0.8150287
 svm                                             0.9528651 0.020896771 NA 0.9127759 0.9947150

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
