cv_scheme = classic, disease = allergy:
 method                                                 rate           SE df    asymp.LCL   asymp.UCL
 pr                                               0.09306217 0.0057715135 NA  0.082410684  0.10509035
 randomraw                                        0.02441800 0.0024828752 NA  0.020005894  0.02980314
 random                                           0.05107104 0.0038712831 NA  0.044020202  0.05925124
 EGAD                                             1.11012471 0.0461657802 NA  1.023230789  1.20439776
 association_score.datatypes.affected_pathway     0.07506997 0.0049795956 NA  0.065917951  0.08549264
 association_score.datatypes.animal_model         0.18397310 0.0095674497 NA  0.166145249  0.20371393
 association_score.datatypes.genetic_association  0.22641124 0.0112875023 NA  0.205334629  0.24965127
 association_score.datatypes.literature           0.42460489 0.0191878304 NA  0.388614789  0.46392808
 association_score.datatypes.rna_expression       0.10722684 0.0063806390 NA  0.095422752  0.12049114
 association_score.datatypes.somatic_mutation     0.07210852 0.0048466713 NA  0.063208321  0.08226192
 ppr                                              1.41669067 0.0581963502 NA  1.307098924  1.53547097
 raw                                              1.66249103 0.0678379900 NA  1.534708890  1.80091250
 gm                                               1.35385764 0.0557311816 NA  1.248916836  1.46761614
 mc                                               0.38951450 0.0177976343 NA  0.356148128  0.42600686
 z                                                1.59555108 0.0652125065 NA  1.472722291  1.72862410
 knn                                              1.40020713 0.0575496657 NA  1.291835455  1.51767007
 wsld                                             1.42046233 0.0583443188 NA  1.310591416  1.53954406
 COSNet                                           1.43878979 0.0590633204 NA  1.327562370  1.55933621
 bagsvm                                           1.66645825 0.0679935850 NA  1.538382564  1.80519669
 rf                                               2.10246193 0.0850908735 NA  1.942130008  2.27603001
 svm                                              1.70604669 0.0695462171 NA  1.575041750  1.84794805

cv_scheme = block, disease = allergy:
 method                                                 rate           SE df    asymp.LCL   asymp.UCL
 pr                                               0.03897373 0.0024261681 NA  0.034497173  0.04403119
 randomraw                                        0.01022607 0.0010412676 NA  0.008375975  0.01248482
 random                                           0.02138816 0.0016253532 NA  0.018428419  0.02482327
 EGAD                                             0.46491178 0.0194954313 NA  0.428229509  0.50473626
 association_score.datatypes.affected_pathway     0.03143873 0.0020922831 NA  0.027594121  0.03581900
 association_score.datatypes.animal_model         0.07704653 0.0040282167 NA  0.069542423  0.08536039
 association_score.datatypes.genetic_association  0.09481930 0.0047546395 NA  0.085943677  0.10461154
 association_score.datatypes.literature           0.17782130 0.0080926176 NA  0.162646878  0.19441144
 association_score.datatypes.rna_expression       0.04490579 0.0026830915 NA  0.039943265  0.05048485
 association_score.datatypes.somatic_mutation     0.03019850 0.0020362584 NA  0.026459983  0.03446522
 ppr                                              0.59329927 0.0245808795 NA  0.547025824  0.64348703
 raw                                              0.69623859 0.0286565641 NA  0.642278504  0.75473205
 gm                                               0.56698527 0.0235388184 NA  0.522677144  0.61504947
 mc                                               0.16312571 0.0075051421 NA  0.149059632  0.17851914
 z                                                0.66820465 0.0275467238 NA  0.616337687  0.72443639
 knn                                              0.58639609 0.0243075166 NA  0.540638200  0.63602677
 wsld                                             0.59487881 0.0246434280 NA  0.548487400  0.64519404
