cv_scheme = classic:
 method                                                 rate          SE df   asymp.LCL   asymp.UCL
 pr                                               0.56706561 0.024924047 NA  0.52026035  0.61808170
 randomraw                                        0.15668731 0.013066092 NA  0.13306152  0.18450799
 random                                           0.27648187 0.017371605 NA  0.24444711  0.31271479
 EGAD                                             6.13031965 0.084765918 NA  5.96641256  6.29872953
 association_score.datatypes.affected_pathway     0.42234351 0.021490356 NA  0.38225540  0.46663576
 association_score.datatypes.animal_model         1.07045919 0.034352522 NA  1.00520323  1.13995145
 association_score.datatypes.genetic_association  1.31845246 0.038183797 NA  1.24569800  1.39545612
 association_score.datatypes.literature           2.45799651 0.052504449 NA  2.35721409  2.56308788
 association_score.datatypes.rna_expression       0.61791776 0.026025723 NA  0.56895695  0.67109182
 association_score.datatypes.somatic_mutation     0.40724455 0.021100706 NA  0.36791855  0.45077403
 ppr                                              7.91099967 0.097294911 NA  7.72258514  8.10401111
 raw                                              9.27047572 0.106143991 NA  9.06475425  9.48086597
 gm                                               7.45276052 0.094185693 NA  7.27042742  7.63966630
 mc                                               2.19960490 0.049589347 NA  2.10452761  2.29897754
 z                                                8.98188619 0.104307892 NA  8.77975558  9.18867031
 knn                                              7.79419640 0.096509077 NA  7.60731889  7.98566466
 wsld                                             7.90515951 0.097255733 NA  7.71682160  8.09809401
 COSNet                                           7.84476367 0.096849793 NA  7.65721974  8.03690100
 bagsvm                                           9.30067364 0.106334911 NA  9.09457879  9.51143886
 rf                                              11.96749159 0.122427937 NA 11.72992685 12.20986770
 svm                                              9.59225447 0.108167004 NA  9.38257667  9.80661806

cv_scheme = block:
 method                                                 rate          SE df   asymp.LCL   asymp.UCL
 pr                                               0.23336082 0.010327593 NA  0.21397216  0.25450636
 randomraw                                        0.06448051 0.005387335 NA  0.05474075  0.07595322
 random                                           0.11377879 0.007173001 NA  0.10055384  0.12874309
 EGAD                                             2.52277060 0.037243321 NA  2.45082098  2.59683248
 association_score.datatypes.affected_pathway     0.17380428 0.008889350 NA  0.15722628  0.19213028
 association_score.datatypes.animal_model         0.44051911 0.014319274 NA  0.41332918  0.46949768
 association_score.datatypes.genetic_association  0.54257417 0.015962113 NA  0.51217388  0.57477889
 association_score.datatypes.literature           1.01152333 0.022231098 NA  0.96887630  1.05604755
 association_score.datatypes.rna_expression       0.25428768 0.010790637 NA  0.23399403  0.27634134
 association_score.datatypes.somatic_mutation     0.16759070 0.008726586 NA  0.15133074  0.18559774
 ppr                                              3.25556228 0.043435226 NA  3.17153423  3.34181660
 raw                                              3.81501862 0.047930129 NA  3.72222447  3.91012611
 gm                                               3.06698610 0.041879640 NA  2.98599218  3.15017695
 mc                                               0.90518911 0.020937261 NA  0.86506911  0.94716978
 z                                                3.69625725 0.046989341 NA  3.60529773  3.78951162
 knn                                              3.20749499 0.043040883 NA  3.12423608  3.29297269
 wsld                                             3.25315891 0.043415546 NA  3.16916925  3.33937447
 COSNet                                           3.22830461 0.043211766 NA  3.14471240  3.31411885
 bagsvm                                           3.82744577 0.048028195 NA  3.73446038  3.92274643
 rf                                               4.92490403 0.056454316 NA  4.81548933  5.03680480
 svm                                              3.94743814 0.048971562 NA  3.85261315  4.04459706

cv_scheme = representative:
 method                                                 rate          SE df   asymp.LCL   asymp.UCL
 pr                                               0.21027227 0.009317637 NA  0.19278061  0.22935101
 randomraw                                        0.05810085 0.004856051 NA  0.04932185  0.06844247
 random                                           0.10252160 0.006467366 NA  0.09059809  0.11601434
 EGAD                                             2.27316945 0.033940551 NA  2.20761112  2.34067463
 association_score.datatypes.affected_pathway     0.15660821 0.008017481 NA  0.14165688  0.17313759
 association_score.datatypes.animal_model         0.39693446 0.012932971 NA  0.37237871  0.42310949
 association_score.datatypes.genetic_association  0.48889227 0.014424241 NA  0.46142315  0.51799665
 association_score.datatypes.literature           0.91144392 0.020134788 NA  0.87282260  0.95177418
 association_score.datatypes.rna_expression       0.22912864 0.009736484 NA  0.21081855  0.24902900
 association_score.datatypes.somatic_mutation     0.15100940 0.007870417 NA  0.13634538  0.16725053
 ppr                                              2.93345923 0.039682635 NA  2.85670471  3.01227601
 raw                                              3.43756335 0.043865409 NA  3.35265495  3.52462212
 gm                                               2.76354065 0.038237783 NA  2.68960306  2.83951079
 mc                                               0.81563033 0.018953532 NA  0.77931536  0.85363753
 z                                                3.33055215 0.042989029 NA  3.24735204  3.41588392
 knn                                              2.89014769 0.039316226 NA  2.81410751  2.96824255
 wsld                                             2.93129365 0.039664347 NA  2.85457479  3.01007440
 COSNet                                           2.90889841 0.039474994 NA  2.83254871  2.98730608
 bagsvm                                           3.44876097 0.043956789 NA  3.36367445  3.53599982
 rf                                               4.43763749 0.051825783 NA  4.33721453  4.54038561
 svm                                              3.55688138 0.044836084 NA  3.47008094  3.64585304

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
