"STRING_id","n_disease"
"9606.ENSP00000334474",11
"9606.ENSP00000302846",9
"9606.ENSP00000332973",9
"9606.ENSP00000364076",9
"9606.ENSP00000382034",9
"9606.ENSP00000264497",8
"9606.ENSP00000356370",8
"9606.ENSP00000369293",8
"9606.ENSP00000418823",8
"9606.ENSP00000231228",7
"9606.ENSP00000254235",7
"9606.ENSP00000376436",7
"9606.ENSP00000171111",6
"9606.ENSP00000245323",6
"9606.ENSP00000264818",6
"9606.ENSP00000268459",6
"9606.ENSP00000295269",6
"9606.ENSP00000310244",6
"9606.ENSP00000312435",6
"9606.ENSP00000329915",6
"9606.ENSP00000359070",6
"9606.ENSP00000359645",6
"9606.ENSP00000359668",6
"9606.ENSP00000360797",6
"9606.ENSP00000362888",6
"9606.ENSP00000363157",6
"9606.ENSP00000368632",6
"9606.ENSP00000371067",6
"9606.ENSP00000371559",6
"9606.ENSP00000375748",6
"9606.ENSP00000378917",6
"9606.ENSP00000385470",6
"9606.ENSP00000397441",6
"9606.ENSP00000399168",6
"9606.ENSP00000400376",6
"9606.ENSP00000412237",6
"9606.ENSP00000413625",6
"9606.ENSP00000233946",5
"9606.ENSP00000237289",5
"9606.ENSP00000261173",5
"9606.ENSP00000264717",5
"9606.ENSP00000268489",5
"9606.ENSP00000268638",5
"9606.ENSP00000283928",5
"9606.ENSP00000295025",5
"9606.ENSP00000306157",5
"9606.ENSP00000318089",5
"9606.ENSP00000319984",5
"9606.ENSP00000320025",5
"9606.ENSP00000345492",5
"9606.ENSP00000348753",5
"9606.ENSP00000357470",5
"9606.ENSP00000358894",5
"9606.ENSP00000387122",5
"9606.ENSP00000402861",5
"9606.ENSP00000408617",5
"9606.ENSP00000408632",5
"9606.ENSP00000216223",4
"9606.ENSP00000218867",4
"9606.ENSP00000226574",4
"9606.ENSP00000226730",4
"9606.ENSP00000233242",4
"9606.ENSP00000252491",4
"9606.ENSP00000257749",4
"9606.ENSP00000263125",4
"9606.ENSP00000263985",4
"9606.ENSP00000264657",4
"9606.ENSP00000265773",4
"9606.ENSP00000265854",4
"9606.ENSP00000266376",4
"9606.ENSP00000266682",4
"9606.ENSP00000271915",4
"9606.ENSP00000272771",4
"9606.ENSP00000274458",4
"9606.ENSP00000274695",4
"9606.ENSP00000276925",4
"9606.ENSP00000280200",4
"9606.ENSP00000299766",4
"9606.ENSP00000303939",4
"9606.ENSP00000305355",4
"9606.ENSP00000311857",4
"9606.ENSP00000320509",4
"9606.ENSP00000329127",4
"9606.ENSP00000336591",4
"9606.ENSP00000338629",4
"9606.ENSP00000343313",4
"9606.ENSP00000344259",4
"9606.ENSP00000344544",4
"9606.ENSP00000346440",4
"9606.ENSP00000348793",4
"9606.ENSP00000348812",4
"9606.ENSP00000349770",4
"9606.ENSP00000351255",4
"9606.ENSP00000352833",4
"9606.ENSP00000358795",4
"9606.ENSP00000362360",4
"9606.ENSP00000365312",4
"9606.ENSP00000366843",4
"9606.ENSP00000373570",4
"9606.ENSP00000373825",4
"9606.ENSP00000377265",4
"9606.ENSP00000382204",4
"9606.ENSP00000385021",4
"9606.ENSP00000389140",4
"9606.ENSP00000405574",4
"9606.ENSP00000410216",4
"9606.ENSP00000418112",4
"9606.ENSP00000419471",4
"9606.ENSP00000421180",4
"9606.ENSP00000444972",4
"9606.ENSP00000454303",4
"9606.ENSP00000155840",3
"9606.ENSP00000160262",3
"9606.ENSP00000164227",3
"9606.ENSP00000188790",3
"9606.ENSP00000216487",3
"9606.ENSP00000222644",3
"9606.ENSP00000227322",3
"9606.ENSP00000228841",3
"9606.ENSP00000233535",3
"9606.ENSP00000234091",3
"9606.ENSP00000234739",3
"9606.ENSP00000241436",3
"9606.ENSP00000242375",3
"9606.ENSP00000244007",3
"9606.ENSP00000247001",3
"9606.ENSP00000255380",3
"9606.ENSP00000256194",3
"9606.ENSP00000257555",3
"9606.ENSP00000259089",3
"9606.ENSP00000261523",3
"9606.ENSP00000261584",3
"9606.ENSP00000261733",3
"9606.ENSP00000261751",3
"9606.ENSP00000262127",3
"9606.ENSP00000263642",3
"9606.ENSP00000264606",3
"9606.ENSP00000264714",3
"9606.ENSP00000265335",3
"9606.ENSP00000265362",3
"9606.ENSP00000265388",3
"9606.ENSP00000265922",3
"9606.ENSP00000267549",3
"9606.ENSP00000272895",3
"9606.ENSP00000280772",3
"9606.ENSP00000282728",3
"9606.ENSP00000284110",3
"9606.ENSP00000286614",3
"9606.ENSP00000286639",3
"9606.ENSP00000287936",3
"9606.ENSP00000292055",3
"9606.ENSP00000292174",3
"9606.ENSP00000295743",3
"9606.ENSP00000300305",3
"9606.ENSP00000304169",3
"9606.ENSP00000304895",3
"9606.ENSP00000304915",3
"9606.ENSP00000305595",3
"9606.ENSP00000307272",3
"9606.ENSP00000308339",3
"9606.ENSP00000309117",3
"9606.ENSP00000309477",3
"9606.ENSP00000309757",3
"9606.ENSP00000310356",3
