disease	input_type	split_cv	method	auroc	partial_auroc_0.90	partial_auroc_0.95	auprc	top_20_hits	top_100_hits
"allergy"	"genetic"	"Rep01.Fold1"	"raw"	0.633777006172841	0.167052469135803	0.0841049382716051	0.0179797269716358	0	1
"allergy"	"genetic"	"Rep01.Fold1"	"gm"	0.492112482853222	0.0649577046181986	0.0434670781893004	0.00908187899550275	0	2
"allergy"	"genetic"	"Rep01.Fold1"	"mc"	0.663608824874269	0.158500514403292	0.0845050297210792	0.019218200840432	1	2
"allergy"	"genetic"	"Rep01.Fold1"	"z"	0.654617483996342	0.184042066758116	0.10405235482396	0.0196931053597988	1	3
"allergy"	"genetic"	"Rep01.Fold1"	"ppr"	0.593224879972565	0.119355852766347	0.0751600365797896	0.0146973895371875	0	2
"allergy"	"genetic"	"Rep01.Fold1"	"EGAD"	0.542027463420201	0.161979881115684	0.0879915409236398	0.0147178038956576	0	2
"allergy"	"genetic"	"Rep01.Fold1"	"wsld"	0.591781692958397	0.0919352994970278	0.0310928212162781	0.0122688861246648	0	0
"allergy"	"genetic"	"Rep01.Fold1"	"knn"	0.599354852537733	0.0925640146319159	0.0415237768632831	0.0128526336538687	0	0
"allergy"	"genetic"	"Rep01.Fold1"	"random"	0.447545153177868	0.100165752171925	0.067101051668953	0.0100995675471039	0	2
"allergy"	"genetic"	"Rep01.Fold1"	"randomraw"	0.509327131915865	0.00448673982624601	0	0.00865464857103443	0	0
"allergy"	"genetic"	"Rep01.Fold1"	"pr"	0.532310956790125	0.0677440557841794	0.0361225422953819	0.0106118151630163	1	1
"allergy"	"genetic"	"Rep01.Fold1"	"bagsvm"	0.676829703932321	0.15153463648834	0.0590706447187929	0.0179716002875667	0	1
"allergy"	"genetic"	"Rep01.Fold1"	"svm"	0.627354109510754	0.164623342478281	0.0918781435756745	0.0183794632657184	1	4
"allergy"	"genetic"	"Rep01.Fold1"	"rf"	0.559488597393685	0.0851099026716311	0.0306641518061272	0.0125225122024372	0	0
"allergy"	"genetic"	"Rep01.Fold1"	"COSNet"	0.473779721079103	0.0551697530864199	0.0363368770004573	0.00862868571385665	0	2
"allergy"	"genetic"	"Rep01.Fold2"	"raw"	0.60830220713073	0.188251273344652	0.101494057724958	0.0228969389164727	1	4
"allergy"	"genetic"	"Rep01.Fold2"	"gm"	0.45300848896435	0.0762648556876061	0.0565365025466893	0.0118730241637009	1	3
"allergy"	"genetic"	"Rep01.Fold2"	"mc"	0.600302207130737	0.195619694397284	0.13918505942275	0.026122533329159	1	7
"allergy"	"genetic"	"Rep01.Fold2"	"z"	0.596730050933783	0.21188455008489	0.166078098471986	0.0330137580463287	2	6
"allergy"	"genetic"	"Rep01.Fold2"	"ppr"	0.6423870967742	0.224991511035654	0.156876061120544	0.056653016063309	2	7
"allergy"	"genetic"	"Rep01.Fold2"	"EGAD"	0.611276740237654	0.184312393887946	0.0905942275042446	0.0208097525793161	1	3
"allergy"	"genetic"	"Rep01.Fold2"	"wsld"	0.622624787775874	0.13365025466893	0.0479796264855688	0.0190731352204066	1	1
"allergy"	"genetic"	"Rep01.Fold2"	"knn"	0.631310696095063	0.142037351443124	0.0575212224108659	0.0195579536842172	1	1
"allergy"	"genetic"	"Rep01.Fold2"	"random"	0.590213921901533	0.142852292020374	0.113344651952462	0.0179861254297438	0	6
"allergy"	"genetic"	"Rep01.Fold2"	"randomraw"	0.560261460101879	0.0695755517826825	0.0325297113752122	0.0125734065240731	0	1
