disease	input_type	split_cv	method	auroc	partial_auroc_0.90	partial_auroc_0.95	auprc	top_20_hits	top_100_hits
"allergy"	"genetic"	"Rep01.Fold1"	"raw"	0.613149111989014	0.222459118050766	0.160887105202651	0.0642196677587357	2	6
"allergy"	"genetic"	"Rep01.Fold1"	"gm"	0.543125492081409	0.111299234269072	0.089853194261547	0.0449128580980299	3	3
"allergy"	"genetic"	"Rep01.Fold1"	"mc"	0.65726399253082	0.213889063076999	0.166252098966716	0.0327533374856341	1	7
"allergy"	"genetic"	"Rep01.Fold1"	"z"	0.643468294280367	0.214739101050006	0.179009636086202	0.0435591966051761	3	7
"allergy"	"genetic"	"Rep01.Fold1"	"ppr"	0.586804902350149	0.176361976826014	0.142506775917449	0.0242751736746822	1	6
"allergy"	"genetic"	"Rep01.Fold1"	"EGAD"	0.53751663496445	0.153292503640531	0.115479748890422	0.022813001807327	2	4
"allergy"	"genetic"	"Rep01.Fold1"	"wsld"	0.597207416232936	0.170439581112435	0.126202768894184	0.0569351667932219	2	4
"allergy"	"genetic"	"Rep01.Fold1"	"knn"	0.600210419235934	0.178654292343387	0.131491119890192	0.0576887645434354	2	4
"allergy"	"genetic"	"Rep01.Fold1"	"random"	0.494234373584729	0.0681911609985858	0.0553012409160901	0.0101984248599754	1	2
"allergy"	"genetic"	"Rep01.Fold1"	"randomraw"	0.512050333396043	0.0516711607198847	0.0270200595026581	0.0103806794478597	1	1
"allergy"	"genetic"	"Rep01.Fold1"	"pr"	0.491092020094343	0.0899159019808672	0.0601785079743316	0.0112496060905514	1	3
"allergy"	"genetic"	"Rep01.Fold1"	"bagsvm"	0.647617455042051	0.22365056471785	0.162838012025947	0.0656731935816877	2	6
"allergy"	"genetic"	"Rep01.Fold1"	"svm"	0.50933648265436	0.0643301040829823	0.0404590352949805	0.036687934254343	1	1
"allergy"	"genetic"	"Rep01.Fold1"	"rf"	0.549396264013434	0.144074468900455	0.112205012437031	0.0357560147213089	2	4
"allergy"	"genetic"	"Rep01.Fold1"	"COSNet"	0.527135023654744	0.0606592671557869	0.034956069758854	0.0109754886329765	0	1
"allergy"	"genetic"	"Rep01.Fold2"	"raw"	0.645571693405633	0.19084788759879	0.117391243745034	0.0230726862657793	0	5
"allergy"	"genetic"	"Rep01.Fold2"	"gm"	0.501449618778136	0.081945276891125	0.0526462512022078	0.0109844748251075	0	2
"allergy"	"genetic"	"Rep01.Fold2"	"mc"	0.661155095270626	0.180226642320505	0.133713393641191	0.0252765897355136	2	6
"allergy"	"genetic"	"Rep01.Fold2"	"z"	0.667549447332846	0.184268848528776	0.129796635211797	0.0240271587627241	1	6
"allergy"	"genetic"	"Rep01.Fold2"	"ppr"	0.627033299415971	0.109014119844444	0.0555733660426801	0.0164844861498132	0	2
"allergy"	"genetic"	"Rep01.Fold2"	"EGAD"	0.626782403858229	0.200026483419985	0.115523465703971	0.0266419104233479	1	5
"allergy"	"genetic"	"Rep01.Fold2"	"wsld"	0.618258924215594	0.172699775587862	0.100400039028198	0.0182174963599907	0	3
"allergy"	"genetic"	"Rep01.Fold2"	"knn"	0.617652593284356	0.173173689419176	0.0990061748184492	0.0182507836580969	0	3
