cv_scheme = classic:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.01232000 0.0001293989 Inf 0.01206894 0.01257621
 randomraw 0.01100322 0.0001217056 Inf 0.01076722 0.01124433
 random    0.01067523 0.0001197338 Inf 0.01044309 0.01091248
 EGAD      0.01705324 0.0001547741 Inf 0.01675253 0.01735926
 ppr       0.02153406 0.0001765063 Inf 0.02119082 0.02188274
 raw       0.02191347 0.0001782702 Inf 0.02156678 0.02226561
 gm        0.01343317 0.0001356564 Inf 0.01316986 0.01370166
 mc        0.02170628 0.0001773083 Inf 0.02136146 0.02205653
 z         0.02485711 0.0001916227 Inf 0.02448429 0.02523546
 knn       0.01907414 0.0001647970 Inf 0.01875381 0.01939983
 wsld      0.01857252 0.0001623459 Inf 0.01825699 0.01889340
 COSNet    0.01738416 0.0001564433 Inf 0.01708018 0.01769345
 bagsvm    0.02222934 0.0001797308 Inf 0.02187979 0.02258435
 rf        0.01505862 0.0001444506 Inf 0.01477811 0.01534438
 svm       0.01517590 0.0001450710 Inf 0.01489418 0.01546287

cv_scheme = block:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.01237309 0.0001299146 Inf 0.01212103 0.01263032
 randomraw 0.01105070 0.0001221951 Inf 0.01081375 0.01129279
 random    0.01072132 0.0001202165 Inf 0.01048824 0.01095951
 EGAD      0.01712638 0.0001553714 Inf 0.01682450 0.01743358
 ppr       0.02162599 0.0001771676 Inf 0.02128146 0.02197598
 raw       0.02200698 0.0001789365 Inf 0.02165899 0.02236044
 gm        0.01349099 0.0001361928 Inf 0.01322665 0.01376054
 mc        0.02179893 0.0001779718 Inf 0.02145282 0.02215049
 z         0.02496287 0.0001923256 Inf 0.02458868 0.02534260
 knn       0.01915578 0.0001654244 Inf 0.01883423 0.01948271
 wsld      0.01865205 0.0001629661 Inf 0.01833531 0.01897415
 COSNet    0.01745869 0.0001570456 Inf 0.01715353 0.01776917
 bagsvm    0.02232418 0.0001804012 Inf 0.02197332 0.02268051
 rf        0.01512334 0.0001450155 Inf 0.01484173 0.01541021
 svm       0.01524111 0.0001456379 Inf 0.01495828 0.01552921

cv_scheme = representative:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.01195135 0.0001258164 Inf 0.01170725 0.01220047
 randomraw 0.01067355 0.0001183053 Inf 0.01044415 0.01090793
 random    0.01035529 0.0001163810 Inf 0.01012965 0.01058589
 EGAD      0.01654534 0.0001506236 Inf 0.01625270 0.01684316
 ppr       0.02089554 0.0001719086 Inf 0.02056125 0.02123515
 raw       0.02126394 0.0001736378 Inf 0.02092627 0.02160694
 gm        0.01303165 0.0001319291 Inf 0.01277559 0.01329277
 mc        0.02106275 0.0001726947 Inf 0.02072693 0.02140390
 z         0.02412248 0.0001867348 Inf 0.02375918 0.02449120
 knn       0.01850718 0.0001604358 Inf 0.01819534 0.01882426
 wsld      0.01802019 0.0001580355 Inf 0.01771305 0.01833257
 COSNet    0.01686656 0.0001522571 Inf 0.01657073 0.01716759
 bagsvm    0.02157066 0.0001750698 Inf 0.02123018 0.02191647
 rf        0.01460924 0.0001405251 Inf 0.01433636 0.01488724
 svm       0.01472307 0.0001411317 Inf 0.01444900 0.01500226

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
