"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.52896151349971,0.000782329072254571,Inf,0.527427908201119,0.530494572231593
"randomraw",0.530855800005461,0.000782149277600652,Inf,0.52932252921914,0.532388488478574
"random",0.499868091857727,0.000783661700055341,Inf,0.498332149225641,0.501404036979314
"EGAD",0.561954278092618,0.00077755951138153,Inf,0.560429709561458,0.563477677550808
"ppr",0.577468036914609,0.000774104293130545,Inf,0.575950094067661,0.57898451806419
"raw",0.603464112729087,0.00076654026469362,Inf,0.601960749787459,0.604965523808108
"gm",0.505451239145987,0.000783613652457361,Inf,0.503915337998855,0.50698703741233
"mc",0.632370601137227,0.000755448601962283,Inf,0.630888704754983,0.633850000953598
"z",0.625206774806592,0.000758466307361237,Inf,0.623719031402592,0.626692156598594
"knn",0.589873260377738,0.00077077457336325,Inf,0.588361726590224,0.59138309853189
"wsld",0.589744065768427,0.000770811869581298,Inf,0.588232460100858,0.591253978238691
"COSNet",0.543300739175687,0.000780684034757197,Inf,0.541770222751939,0.54483043845513
"bagsvm",0.623126700765616,0.000759308983389611,Inf,0.621637325368517,0.624613753740788
"rf",0.56527901470351,0.000776884872806946,Inf,0.563755737059945,0.566801060556371
"svm",0.521182085046608,0.000782947986068682,Inf,0.519647340122164,0.522716430212182
