"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.529972991645432,0.000833749783688373,Inf,0.528338556588895,0.531606784091066
"randomraw","classic",0.531866810386367,0.000833523620315761,Inf,0.530232798317683,0.53350013929073
"random","classic",0.500883094821638,0.000835521970021876,Inf,0.499245498234679,0.502520672463034
"EGAD","classic",0.562953445589512,0.000827865311176071,Inf,0.561330191350622,0.564575352536194
"ppr","classic",0.578458362602778,0.000823662824012549,Inf,0.57684318006291,0.580071868082225
"raw","classic",0.604435245594301,0.000814533925099725,Inf,0.602837680345722,0.606030584350365
"gm","classic",0.506466098528714,0.000835429360176176,Inf,0.504828623567039,0.508103434777286
"mc","classic",0.633313957246805,0.000801255700672562,Inf,0.631742113853291,0.634882969067944
"z","classic",0.626157646224652,0.000804858076449212,Inf,0.624578817074752,0.627733793100154
"knn","classic",0.590855111080428,0.000819634707348242,Inf,0.58924769200382,0.592460590365513
"wsld","classic",0.590726011166553,0.000819679734412146,Inf,0.5891185052057,0.592331580067224
"COSNet","classic",0.544307952265179,0.000831700106480391,Inf,0.542677381069089,0.545937574120455
"bagsvm","classic",0.624079676368359,0.000805865294577424,Inf,0.622498894858762,0.625657819038847
"rf","classic",0.56627645171782,0.000827042422588273,Inf,0.564654774896596,0.5678967104731
"svm","classic",0.522195178763828,0.000834536424682025,Inf,0.520559285260655,0.523830596286753
"pr","block",0.529498001636172,0.000833832418882144,Inf,0.527863409685018,0.531131961106405
"randomraw","block",0.531392041975859,0.000833611898591846,Inf,0.529757861945872,0.533025548958291
"random","block",0.500406419697711,0.000835517611810878,Inf,0.498768836765867,0.502043993910503
"EGAD","block",0.562484269989266,0.000828045471109196,Inf,0.56086066753796,0.564106534927232
"ppr","block",0.577993354351817,0.00082388806482325,Inf,0.576377735117057,0.579607306051386
"raw","block",0.603979274869235,0.000814833080463923,Inf,0.602381127782154,0.605575204437581
"gm","block",0.505989496564548,0.00083544172315688,Inf,0.504352002484019,0.507626862155461
"mc","block",0.632871055952629,0.000801633911807269,Inf,0.63129847537709,0.634440813131435
"z","block",0.625711209643447,0.000805217053890544,Inf,0.62413168111633,0.627288064287683
"knn","block",0.59039409457871,0.000819895504654712,Inf,0.588786168997005,0.59200008965069
"wsld","block",0.590264950073461,0.000819940163949906,Inf,0.588656938329675,0.591871034041584
"COSNet","block",0.543834979728757,0.00083182534655265,Inf,0.542204168074683,0.545464852050915
"bagsvm","block",0.623632249863519,0.000806218640448494,Inf,0.622050780044466,0.625211089295434
"rf","block",0.565808092046881,0.000827232294860161,Inf,0.564186047952878,0.567428727804211
"svm","block",0.521719422113243,0.000834595848079275,Inf,0.520083417231774,0.523354961189834
"pr","representative",0.527413119581843,0.000834178888342185,Inf,0.5257778708203,0.52904778035691
"randomraw","representative",0.529308092031706,0.000833983155375014,Inf,0.527673206582317,0.530942348873076
"random","representative",0.49831476641838,0.00083548215703919,Inf,0.496677275410918,0.499952293577019
"EGAD","representative",0.560424211026314,0.000828820541458644,Inf,0.558799110990235,0.562048016555264
"ppr","representative",0.575951267924286,0.0008248614197448,Inf,0.574333761934862,0.577567148295262
"raw","representative",0.601976341840952,0.000816131779890683,Inf,0.60037566915301,0.603574836544067
"gm","representative",0.503898044353081,0.000835479650477158,Inf,0.502260498370744,0.505535506711986
"mc","representative",0.63092495475285,0.000803280939632717,Inf,0.629349164141314,0.632497958035735
"z","representative",0.623749718852836,0.000806779299899155,Inf,0.622167146926305,0.62532965390334
"knn","representative",0.588369279862953,0.000821025328260688,Inf,0.586759160332771,0.589977509750017
"wsld","representative",0.588239942197694,0.000821068368811873,Inf,0.586629739683944,0.589848257814142
"COSNet","representative",0.541758647134896,0.000832358997261485,Inf,0.540126811553122,0.543389587371014
"bagsvm","representative",0.621666451703847,0.000807756067114019,Inf,0.620081987261141,0.623248323029003
"rf","representative",0.5637515454191,0.000828050075189218,Inf,0.562127919925226,0.565373805369992
"svm","representative",0.519631341922747,0.000834840375708083,Inf,0.517994880123552,0.521267382597984
