cv_scheme = classic:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.5299730 0.0008337498 Inf 0.5283386 0.5316068
 randomraw 0.5318668 0.0008335236 Inf 0.5302328 0.5335001
 random    0.5008831 0.0008355220 Inf 0.4992455 0.5025207
 EGAD      0.5629534 0.0008278653 Inf 0.5613302 0.5645754
 ppr       0.5784584 0.0008236628 Inf 0.5768432 0.5800719
 raw       0.6044352 0.0008145339 Inf 0.6028377 0.6060306
 gm        0.5064661 0.0008354294 Inf 0.5048286 0.5081034
 mc        0.6333140 0.0008012557 Inf 0.6317421 0.6348830
 z         0.6261576 0.0008048581 Inf 0.6245788 0.6277338
 knn       0.5908551 0.0008196347 Inf 0.5892477 0.5924606
 wsld      0.5907260 0.0008196797 Inf 0.5891185 0.5923316
 COSNet    0.5443080 0.0008317001 Inf 0.5426774 0.5459376
 bagsvm    0.6240797 0.0008058653 Inf 0.6224989 0.6256578
 rf        0.5662765 0.0008270424 Inf 0.5646548 0.5678967
 svm       0.5221952 0.0008345364 Inf 0.5205593 0.5238306

cv_scheme = block:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.5294980 0.0008338324 Inf 0.5278634 0.5311320
 randomraw 0.5313920 0.0008336119 Inf 0.5297579 0.5330255
 random    0.5004064 0.0008355176 Inf 0.4987688 0.5020440
 EGAD      0.5624843 0.0008280455 Inf 0.5608607 0.5641065
 ppr       0.5779934 0.0008238881 Inf 0.5763777 0.5796073
 raw       0.6039793 0.0008148331 Inf 0.6023811 0.6055752
 gm        0.5059895 0.0008354417 Inf 0.5043520 0.5076269
 mc        0.6328711 0.0008016339 Inf 0.6312985 0.6344408
 z         0.6257112 0.0008052171 Inf 0.6241317 0.6272881
 knn       0.5903941 0.0008198955 Inf 0.5887862 0.5920001
 wsld      0.5902650 0.0008199402 Inf 0.5886569 0.5918710
 COSNet    0.5438350 0.0008318253 Inf 0.5422042 0.5454649
 bagsvm    0.6236322 0.0008062186 Inf 0.6220508 0.6252111
 rf        0.5658081 0.0008272323 Inf 0.5641860 0.5674287
 svm       0.5217194 0.0008345958 Inf 0.5200834 0.5233550

cv_scheme = representative:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.5274131 0.0008341789 Inf 0.5257779 0.5290478
 randomraw 0.5293081 0.0008339832 Inf 0.5276732 0.5309423
 random    0.4983148 0.0008354822 Inf 0.4966773 0.4999523
 EGAD      0.5604242 0.0008288205 Inf 0.5587991 0.5620480
 ppr       0.5759513 0.0008248614 Inf 0.5743338 0.5775671
 raw       0.6019763 0.0008161318 Inf 0.6003757 0.6035748
 gm        0.5038980 0.0008354797 Inf 0.5022605 0.5055355
 mc        0.6309250 0.0008032809 Inf 0.6293492 0.6324980
 z         0.6237497 0.0008067793 Inf 0.6221671 0.6253297
 knn       0.5883693 0.0008210253 Inf 0.5867592 0.5899775
 wsld      0.5882399 0.0008210684 Inf 0.5866297 0.5898483
 COSNet    0.5417586 0.0008323590 Inf 0.5401268 0.5433896
 bagsvm    0.6216665 0.0008077561 Inf 0.6200820 0.6232483
 rf        0.5637515 0.0008280501 Inf 0.5621279 0.5653738
 svm       0.5196313 0.0008348404 Inf 0.5179949 0.5212674

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
