cv_scheme = classic:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.04059100 0.0004533163 Inf 0.03971177 0.04148886
 randomraw 0.01948062 0.0003073066 Inf 0.01888735 0.02009215
 random    0.02317875 0.0003366124 Inf 0.02252809 0.02384774
 EGAD      0.06526156 0.0005863904 Inf 0.06412163 0.06642032
 ppr       0.07886018 0.0006503814 Inf 0.07759484 0.08014436
 raw       0.07196676 0.0006186022 Inf 0.07076370 0.07318866
 gm        0.03295875 0.0004055160 Inf 0.03217314 0.03376287
 mc        0.08997230 0.0006991091 Inf 0.08861145 0.09135197
 z         0.08948051 0.0006970125 Inf 0.08812376 0.09085606
 knn       0.05269419 0.0005219186 Inf 0.05168058 0.05372656
 wsld      0.05086533 0.0005120155 Inf 0.04987112 0.05187829
 COSNet    0.04294871 0.0004672937 Inf 0.04204210 0.04387397
 bagsvm    0.06862564 0.0006027216 Inf 0.06745371 0.06981642
 rf        0.04132409 0.0004576982 Inf 0.04043628 0.04223054
 svm       0.03909181 0.0004442498 Inf 0.03823034 0.03997188

cv_scheme = block:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.04004680 0.0004478835 Inf 0.03917813 0.04093392
 randomraw 0.01921378 0.0003033244 Inf 0.01862821 0.01981739
 random    0.02286243 0.0003323105 Inf 0.02222009 0.02352289
 EGAD      0.06440881 0.0005799633 Inf 0.06328140 0.06555490
 ppr       0.07784454 0.0006435936 Inf 0.07659244 0.07911535
 raw       0.07103305 0.0006119838 Inf 0.06984290 0.07224191
 gm        0.03251341 0.0004005181 Inf 0.03173750 0.03330763
 mc        0.08882735 0.0006920998 Inf 0.08748017 0.09019322
 z         0.08834120 0.0006900118 Inf 0.08699812 0.08970298
 knn       0.05199652 0.0005159327 Inf 0.05099455 0.05301707
 wsld      0.05019059 0.0005061042 Inf 0.04920788 0.05119188
 COSNet    0.04237429 0.0004617414 Inf 0.04147848 0.04328858
 bagsvm    0.06773212 0.0005961951 Inf 0.06657291 0.06891003
 rf        0.04077048 0.0004522276 Inf 0.03989330 0.04166611
 svm       0.03856690 0.0004388964 Inf 0.03771583 0.03943639

cv_scheme = representative:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.03840128 0.0004314114 Inf 0.03756461 0.03925582
 randomraw 0.01840787 0.0002912814 Inf 0.01784557 0.01898754
 random    0.02190690 0.0003192947 Inf 0.02128975 0.02254152
 EGAD      0.06182673 0.0005604185 Inf 0.06073740 0.06293428
 ppr       0.07476687 0.0006229184 Inf 0.07355510 0.07599697
 raw       0.06820476 0.0005918410 Inf 0.06705388 0.06937393
 gm        0.03116738 0.0003853787 Inf 0.03042084 0.03193163
 mc        0.08535566 0.0006707213 Inf 0.08405021 0.08667946
 z         0.08488674 0.0006686606 Inf 0.08358533 0.08620650
 knn       0.04988550 0.0004977572 Inf 0.04891890 0.05087017
 wsld      0.04814917 0.0004881591 Inf 0.04720137 0.04911502
 COSNet    0.04063718 0.0004449019 Inf 0.03977409 0.04151819
 bagsvm    0.06502607 0.0005763399 Inf 0.06390555 0.06616484
 rf        0.03909643 0.0004356392 Inf 0.03825148 0.03995927
 svm       0.03697984 0.0004226679 Inf 0.03616029 0.03781724

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
