"label","coef","lower","upper"
"(Intercept)",0.900957600255833,0.870011313610375,0.931903886901292
"methodrandomraw",-0.607580862307591,-0.645842613916205,-0.569319110698977
"methodrandom",-0.490849301202033,-0.527721270695653,-0.453977331708414
"methodEGAD",0.362523630651361,0.332935649337477,0.392111611965246
"methodppr",0.649961234210591,0.621930809881626,0.677991658539557
"methodraw",0.51649969593977,0.487791116909519,0.54520827497002
"methodgm",-0.105607719973449,-0.138621612079877,-0.072593827867021
"methodmc",0.811593462636679,0.784289917207559,0.8388970080658
"methodz",0.821270874048307,0.794007794376739,0.848533953719875
"methodknn",0.219084275704939,0.188574333687051,0.249594217722827
"methodwsld",0.151387067285216,0.120404830828193,0.182369303742239
"methodCOSNet",0.0354263613212029,0.00357590776103251,0.0672768148813733
"methodbagsvm",0.455661129752421,0.426618043691535,0.484704215813307
"methodrf",-0.00905622184806672,-0.0412604888389223,0.0231480451427888
"methodsvm",-0.0424527188937989,-0.0749304802148117,-0.00997495757278597
"cv_schemeblock",-0.0175460112821011,-0.0300161444006593,-0.00507587816354292
"cv_schemerepresentative",-0.0609753834152427,-0.0735843333671972,-0.0483664334632882
"diseaseAlzheimers disease",-0.168155576952219,-0.198332062900462,-0.137979091003975
"diseasearthritis",-0.0731914284773588,-0.10261780755023,-0.043765049404488
"diseaseasthma",-0.931543649129424,-0.969961650430403,-0.893125647828445
"diseasebipolar disorder",-0.919844816885267,-0.958102208048762,-0.881587425721771
"diseasecardiac arrhythmia",-0.12897361022297,-0.158834250821719,-0.0991129696242215
"diseaseCOPD",-0.212088516933477,-0.242630039317245,-0.181546994549709
"diseasecoronary heart disease",-0.679242409369433,-0.714453718513457,-0.644031100225408
"diseasedrug dependence",-1.25774223189498,-1.30115100122369,-1.21433346256626
"diseasehypertension",-1.46807304334759,-1.51527233588656,-1.42087375080863
"diseasemultiple sclerosis",-0.419134265763798,-0.451559684655055,-0.386708846872541
"diseaseobesity",0.120365632915589,0.0923132813277003,0.148417984503477
"diseaseParkinson's disease",-0.960538249371693,-0.99935953748373,-0.921716961259655
"diseasepsoriasis",-0.371927861194001,-0.40389911434254,-0.339956608045461
"diseaserheumatoid arthritis",-0.13707869592861,-0.167003930548409,-0.107153461308811
"diseaseschizophrenia",0.620617178243208,0.595291956901633,0.645942399584784
"diseasestroke",-0.96549488901162,-1.00438587035684,-0.926603907666402
"diseaselupus",-0.296360427998108,-0.32763540761757,-0.265085448378646
"diseasetype I diabetes",-0.549731028702881,-0.583493379428334,-0.515968677977428
"diseasetype II diabetes",-0.514458832090828,-0.547848152897542,-0.481069511284114
"diseaseulcerative colitis",0.106173808308313,0.0780274016237752,0.134320214992851
"diseaseunipolar depression",-0.607429607692162,-0.641821847495779,-0.573037367888544
