cv_scheme = classic:
 method         rate          SE  df asymp.LCL asymp.UCL
 pr        0.3244636 0.008281628 Inf 0.3086313 0.3411082
 randomraw 0.1566609 0.005608111 Inf 0.1460459 0.1680474
 random    0.1706726 0.005866421 Inf 0.1595534 0.1825667
 EGAD      0.5643506 0.011307533 Inf 0.5426178 0.5869539
 ppr       0.7046364 0.012880188 Inf 0.6798386 0.7303388
 raw       0.6075674 0.011803101 Inf 0.5848687 0.6311472
 gm        0.4135983 0.009474165 Inf 0.3954399 0.4325905
 mc        0.9988821 0.015930355 Inf 0.9681421 1.0305981
 z         0.8285471 0.014197525 Inf 0.8011826 0.8568463
 knn       0.5825827 0.011517949 Inf 0.5604398 0.6056006
 wsld      0.5871408 0.011570240 Inf 0.5648959 0.6102616
 COSNet    0.5050964 0.010608559 Inf 0.4847261 0.5263227
 bagsvm    0.6176964 0.011917704 Inf 0.5947743 0.6415019
 rf        0.3266582 0.008312320 Inf 0.3107660 0.3433632
 svm       0.3761212 0.008985233 Inf 0.3589164 0.3941508

cv_scheme = block:
 method         rate          SE  df asymp.LCL asymp.UCL
 pr        0.3128598 0.008001418 Inf 0.2975639 0.3289420
 randomraw 0.1510582 0.005413046 Inf 0.1408128 0.1620490
 random    0.1645688 0.005662859 Inf 0.1538358 0.1760506
 EGAD      0.5441677 0.010938497 Inf 0.5231455 0.5660347
 ppr       0.6794364 0.012467926 Inf 0.6554340 0.7043179
 raw       0.5858389 0.011420240 Inf 0.5638779 0.6086553
 gm        0.3988067 0.009158013 Inf 0.3812553 0.4171661
 mc        0.9631589 0.015439185 Inf 0.9333691 0.9938995
 z         0.7989157 0.013750438 Inf 0.7724148 0.8263257
 knn       0.5617477 0.011143020 Inf 0.5403269 0.5840178
 wsld      0.5661428 0.011193851 Inf 0.5446229 0.5885130
 COSNet    0.4870325 0.010259356 Inf 0.4673340 0.5075614
 bagsvm    0.5956056 0.011531673 Inf 0.5734274 0.6186416
 rf        0.3149759 0.008031170 Inf 0.2996220 0.3311167
 svm       0.3626699 0.008683666 Inf 0.3460435 0.3800953

cv_scheme = representative:
 method         rate          SE  df asymp.LCL asymp.UCL
 pr        0.2908831 0.007470628 Inf 0.2766034 0.3059001
 randomraw 0.1404472 0.005043595 Inf 0.1309018 0.1506887
 random    0.1530088 0.005277309 Inf 0.1430073 0.1637097
 EGAD      0.5059429 0.010239227 Inf 0.4862672 0.5264148
 ppr       0.6317098 0.011686568 Inf 0.6092148 0.6550353
 raw       0.5446870 0.010694724 Inf 0.5241239 0.5660568
 gm        0.3707927 0.008559077 Inf 0.3543911 0.3879535
 mc        0.8955023 0.014507742 Inf 0.8675144 0.9243932
 z         0.7427962 0.012902883 Inf 0.7179327 0.7685209
 knn       0.5222881 0.010432562 Inf 0.5022357 0.5431410
 wsld      0.5263744 0.010480623 Inf 0.5062284 0.5473221
 COSNet    0.4528212 0.009597726 Inf 0.4343954 0.4720286
 bagsvm    0.5537676 0.010800138 Inf 0.5329992 0.5753453
 rf        0.2928506 0.007498596 Inf 0.2785163 0.3079226
 svm       0.3371944 0.008112387 Inf 0.3216634 0.3534752

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
