"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.012240422283373,0.000210952387206979,Inf,0.0118337854473803,0.0126608530933754
"randomraw",0.0109392594616477,0.000199344953686026,Inf,0.0105553719285039,0.0113369486015804
"random",0.0105234527717478,0.000195493884396788,Inf,0.0101471127049599,0.0109135967935893
"EGAD",0.0170712993256267,0.000249468293535605,Inf,0.0165891691364907,0.0175671913341676
"ppr",0.021537177014892,0.000280514074709527,Inf,0.0209941884395467,0.0220938923801606
"raw",0.0217462161942323,0.000281885572729933,Inf,0.0212005389571773,0.0223056184590159
"gm",0.0132532428519235,0.000219573133417263,Inf,0.0128297097024759,0.0136905637329758
"mc",0.0217130147339212,0.000281668174257177,Inf,0.0211677636820048,0.0222719910941771
"z",0.0250661227423317,0.000302854838293341,Inf,0.0244793361577846,0.0256666049288504
"knn",0.0188585679811499,0.000262322765967983,Inf,0.0183512401902607,0.0193796441768705
"wsld",0.0184248705938739,0.000259260550734004,Inf,0.017923545515715,0.0189399474066697
"COSNet",0.0171903323823376,0.000250344376291023,Inf,0.0167064849110497,0.0176879408049218
"bagsvm",0.0220817476461316,0.000284073478557213,Inf,0.0215317812497136,0.0226454362191321
"rf",0.0153323345566316,0.000236309586233336,Inf,0.0148759972501399,0.0158024459503914
"svm",0.0158355859073217,0.000240189849956157,Inf,0.0153716428627282,0.0163132995688278
