"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.52972774933605,0.00135677329398232,Inf,0.527067703683062,0.532386107299724
"randomraw",0.531292551853175,0.00135651036619493,Inf,0.528632977090541,0.533950350097831
"random",0.498942080973649,0.00135920702731117,Inf,0.49627813939153,0.501606082618287
"EGAD",0.562290900516978,0.00134850465110519,Inf,0.559646136230754,0.564932128895654
"ppr",0.578067119395282,0.0013423656280498,Inf,0.575433939232683,0.580695868512207
"raw",0.603747817915801,0.00132933385123708,Inf,0.601139450071482,0.606350298164064
"gm",0.506150634214646,0.00135910383658198,Inf,0.503486690244102,0.50881422898952
"mc",0.633278170231565,0.00130956605235152,Inf,0.630707707802927,0.635841071284167
"z",0.626005510683765,0.00131491977271733,Inf,0.623424761707024,0.628579110370178
"knn",0.589878461326232,0.00133684381500819,Inf,0.587255768198278,0.59249605339981
"wsld",0.589823864665474,0.0013368711781658,Inf,0.587201119457621,0.59244151191564
"COSNet",0.543744678814395,0.00135393587791633,Inf,0.541089796306046,0.546397077981198
"bagsvm",0.623655506426942,0.00131658118797434,Inf,0.621071567881512,0.626232428858078
"rf",0.567050033299386,0.00134680066133203,Inf,0.564408473585525,0.56968778705005
"svm",0.522515039669589,0.00135781077266592,Inf,0.519853165418791,0.525175635685427
