
	 Simultaneous Tests for General Linear Hypotheses

Multiple Comparisons of Means: Tukey Contrasts


Fit: glm(formula = as.formula(paste0(metric, " ~ method + disease")), 
    family = model_fam, data = df_current)

Linear Hypotheses:
                          Estimate Std. Error z value Pr(>|z|)    
randomraw - pr == 0      0.0062826  0.0077030   0.816   1.0000    
random - pr == 0        -0.1232831  0.0076956 -16.020    <0.01 ***
EGAD - pr == 0           0.1314134  0.0077254  17.011    <0.01 ***
ppr - pr == 0            0.1957923  0.0077429  25.287    <0.01 ***
raw - pr == 0            0.3020543  0.0077806  38.822    <0.01 ***
gm - pr == 0            -0.0944476  0.0076958 -12.273    <0.01 ***
mc - pr == 0             0.4272548  0.0078396  54.500    <0.01 ***
z - pr == 0              0.3960667  0.0078234  50.626    <0.01 ***
knn - pr == 0            0.2444116  0.0077587  31.502    <0.01 ***
wsld - pr == 0           0.2441859  0.0077586  31.473    <0.01 ***
COSNet - pr == 0         0.0563758  0.0077102   7.312    <0.01 ***
bagsvm - pr == 0         0.3860418  0.0078184  49.376    <0.01 ***
rf - pr == 0             0.1507740  0.0077302  19.504    <0.01 ***
svm - pr == 0           -0.0289303  0.0076994  -3.757   0.0141 *  
random - randomraw == 0 -0.1295657  0.0076963 -16.835    <0.01 ***
EGAD - randomraw == 0    0.1251308  0.0077261  16.196    <0.01 ***
ppr - randomraw == 0     0.1895097  0.0077436  24.473    <0.01 ***
raw - randomraw == 0     0.2957717  0.0077813  38.011    <0.01 ***
gm - randomraw == 0     -0.1007302  0.0076966 -13.088    <0.01 ***
mc - randomraw == 0      0.4209722  0.0078403  53.693    <0.01 ***
z - randomraw == 0       0.3897841  0.0078241  49.818    <0.01 ***
knn - randomraw == 0     0.2381289  0.0077594  30.689    <0.01 ***
wsld - randomraw == 0    0.2379033  0.0077594  30.660    <0.01 ***
COSNet - randomraw == 0  0.0500932  0.0077109   6.496    <0.01 ***
bagsvm - randomraw == 0  0.3797592  0.0078191  48.568    <0.01 ***
rf - randomraw == 0      0.1444914  0.0077310  18.690    <0.01 ***
svm - randomraw == 0    -0.0352129  0.0077001  -4.573    <0.01 ***
EGAD - random == 0       0.2546965  0.0077188  32.997    <0.01 ***
ppr - random == 0        0.3190754  0.0077362  41.244    <0.01 ***
raw - random == 0        0.4253374  0.0077740  54.713    <0.01 ***
gm - random == 0         0.0288355  0.0076891   3.750   0.0151 *  
mc - random == 0         0.5505379  0.0078330  70.284    <0.01 ***
z - random == 0          0.5193498  0.0078168  66.440    <0.01 ***
knn - random == 0        0.3676946  0.0077521  47.432    <0.01 ***
wsld - random == 0       0.3674690  0.0077520  47.403    <0.01 ***
COSNet - random == 0     0.1796589  0.0077035  23.322    <0.01 ***
bagsvm - random == 0     0.5093249  0.0078118  65.199    <0.01 ***
rf - random == 0         0.2740571  0.0077236  35.483    <0.01 ***
svm - random == 0        0.0943528  0.0076927  12.265    <0.01 ***
ppr - EGAD == 0          0.0643789  0.0077659   8.290    <0.01 ***
raw - EGAD == 0          0.1706410  0.0078034  21.867    <0.01 ***
gm - EGAD == 0          -0.2258610  0.0077190 -29.260    <0.01 ***
mc - EGAD == 0           0.2958414  0.0078623  37.628    <0.01 ***
z - EGAD == 0            0.2646533  0.0078461  33.730    <0.01 ***
knn - EGAD == 0          0.1129982  0.0077817  14.521    <0.01 ***
wsld - EGAD == 0         0.1127725  0.0077816  14.492    <0.01 ***
COSNet - EGAD == 0      -0.0750376  0.0077333  -9.703    <0.01 ***
bagsvm - EGAD == 0       0.2546284  0.0078411  32.473    <0.01 ***
rf - EGAD == 0           0.0193606  0.0077533   2.497   0.4422    
svm - EGAD == 0         -0.1603437  0.0077226 -20.763    <0.01 ***
raw - ppr == 0           0.1062620  0.0078207  13.587    <0.01 ***
gm - ppr == 0           -0.2902400  0.0077365 -37.516    <0.01 ***
mc - ppr == 0            0.2314624  0.0078794  29.376    <0.01 ***
z - ppr == 0             0.2002744  0.0078633  25.470    <0.01 ***
knn - ppr == 0           0.0486192  0.0077990   6.234    <0.01 ***
wsld - ppr == 0          0.0483936  0.0077989   6.205    <0.01 ***
COSNet - ppr == 0       -0.1394165  0.0077507 -17.988    <0.01 ***
bagsvm - ppr == 0        0.1902495  0.0078583  24.210    <0.01 ***
rf - ppr == 0           -0.0450184  0.0077707  -5.793    <0.01 ***
svm - ppr == 0          -0.2247226  0.0077400 -29.034    <0.01 ***
gm - raw == 0           -0.3965020  0.0077742 -51.002    <0.01 ***
mc - raw == 0            0.1252004  0.0079164  15.815    <0.01 ***
z - raw == 0             0.0940124  0.0079004  11.900    <0.01 ***
knn - raw == 0          -0.0576428  0.0078364  -7.356    <0.01 ***
wsld - raw == 0         -0.0578685  0.0078363  -7.385    <0.01 ***
COSNet - raw == 0       -0.2456785  0.0077884 -31.544    <0.01 ***
bagsvm - raw == 0        0.0839875  0.0078954  10.637    <0.01 ***
rf - raw == 0           -0.1512804  0.0078082 -19.375    <0.01 ***
svm - raw == 0          -0.3309847  0.0077777 -42.555    <0.01 ***
mc - gm == 0             0.5217024  0.0078333  66.601    <0.01 ***
z - gm == 0              0.4905143  0.0078171  62.749    <0.01 ***
knn - gm == 0            0.3388592  0.0077524  43.710    <0.01 ***
wsld - gm == 0           0.3386335  0.0077523  43.682    <0.01 ***
COSNet - gm == 0         0.1508235  0.0077038  19.578    <0.01 ***
bagsvm - gm == 0         0.4804894  0.0078121  61.506    <0.01 ***
rf - gm == 0             0.2452216  0.0077239  31.749    <0.01 ***
svm - gm == 0            0.0655173  0.0076930   8.517    <0.01 ***
z - mc == 0             -0.0311881  0.0079585  -3.919    <0.01 ** 
knn - mc == 0           -0.1828432  0.0078950 -23.159    <0.01 ***
wsld - mc == 0          -0.1830689  0.0078949 -23.188    <0.01 ***
COSNet - mc == 0        -0.3708789  0.0078473 -47.262    <0.01 ***
bagsvm - mc == 0        -0.0412130  0.0079536  -5.182    <0.01 ***
rf - mc == 0            -0.2764808  0.0078670 -35.144    <0.01 ***
svm - mc == 0           -0.4561851  0.0078368 -58.211    <0.01 ***
knn - z == 0            -0.1516551  0.0078789 -19.248    <0.01 ***
wsld - z == 0           -0.1518808  0.0078788 -19.277    <0.01 ***
COSNet - z == 0         -0.3396909  0.0078311 -43.377    <0.01 ***
bagsvm - z == 0         -0.0100249  0.0079376  -1.263   0.9955    
rf - z == 0             -0.2452927  0.0078509 -31.244    <0.01 ***
svm - z == 0            -0.4249970  0.0078206 -54.344    <0.01 ***
wsld - knn == 0         -0.0002257  0.0078146  -0.029   1.0000    
COSNet - knn == 0       -0.1880357  0.0077665 -24.211    <0.01 ***
bagsvm - knn == 0        0.1416302  0.0078739  17.987    <0.01 ***
rf - knn == 0           -0.0936376  0.0077865 -12.026    <0.01 ***
svm - knn == 0          -0.2733419  0.0077559 -35.243    <0.01 ***
COSNet - wsld == 0      -0.1878101  0.0077665 -24.182    <0.01 ***
bagsvm - wsld == 0       0.1418559  0.0078738  18.016    <0.01 ***
rf - wsld == 0          -0.0934119  0.0077864 -11.997    <0.01 ***
svm - wsld == 0         -0.2731162  0.0077558 -35.214    <0.01 ***
bagsvm - COSNet == 0     0.3296660  0.0078261  42.124    <0.01 ***
rf - COSNet == 0         0.0943981  0.0077381  12.199    <0.01 ***
svm - COSNet == 0       -0.0853061  0.0077073 -11.068    <0.01 ***
rf - bagsvm == 0        -0.2352678  0.0078459 -29.986    <0.01 ***
svm - bagsvm == 0       -0.4149721  0.0078156 -53.096    <0.01 ***
svm - rf == 0           -0.1797043  0.0077274 -23.256    <0.01 ***
---
Signif. codes:  0 '***' 0.001 '**' 0.01 '*' 0.05 '.' 0.1 ' ' 1
(Adjusted p values reported -- single-step method)

