"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.039712057590415,0.000722945366896589,Inf,0.0383190941039211,0.0411534907360385
"randomraw",0.0189100050740424,0.000498946425735429,Inf,0.0179564887949701,0.0199131277866363
"random",0.0224765998839579,0.000544051701204829,Inf,0.0214346305939679,0.0235680009446404
"EGAD",0.0642187818315727,0.000917063202622468,Inf,0.0624446276613207,0.0660397920719714
"ppr",0.0771909725475184,0.00100327020657855,Inf,0.0752474070941858,0.0791804400334095
"raw",0.0706494499017115,0.000960924283129554,Inf,0.0687891119325999,0.0725561789534853
"gm",0.0316784209731437,0.000645892297137026,Inf,0.0304366711307656,0.0329691088325266
"mc",0.088502019695572,0.00107179710442363,Inf,0.086423723755949,0.0906253361996456
"z",0.0880704185742112,0.00106928169461084,Inf,0.0859970692371323,0.0901888229067526
"knn",0.0510461188501344,0.000818929779223297,Inf,0.0494647157501861,0.0526752781804068
"wsld",0.0493270534224091,0.000805154057515774,Inf,0.0477727005326643,0.0509292745289175
"COSNet",0.0414600583373434,0.000738609482724607,Inf,0.0400363483103159,0.0429321319067037
"bagsvm",0.0670805866632598,0.000936873685982198,Inf,0.065267508996703,0.0689403154521692
"rf",0.040365551511415,0.000728842630199449,Inf,0.0389610127509485,0.0418185204313679
"svm",0.0402898767950292,0.000728162280322273,Inf,0.0388866734555921,0.041741514878712
