"method","rate","SE","df","asymp.LCL","asymp.UCL"
"pr",1.55255455729441,0.0310053780086265,Inf,1.49295907199929,1.61452895701135
"randomraw",0.846847940342407,0.0228226979778788,Inf,0.803277139016818,0.892782078847586
"random",0.925200157889928,0.0238640150131891,Inf,0.879590146628798,0.97317521738996
"EGAD",2.22659829181283,0.0372485907585469,Inf,2.1547762828462,2.30081423884767
"ppr",2.94464806632369,0.042979483786336,Inf,2.86160332958639,3.03010279057689
"raw",2.57059672638791,0.0400870811891522,Inf,2.49321606900377,2.65037900720599
"gm",1.3566740134256,0.0289567646150517,Inf,1.30109052519007,1.41463206676987
"mc",3.48238040867038,0.0468561180840222,Inf,3.39174446962551,3.57543836786451
"z",3.53175303890581,0.0471978912202449,Inf,3.44044785682941,3.62548134629058
"knn",1.90674951333116,0.0344178867208009,Inf,1.84047102254409,1.97541480526163
"wsld",1.7811713016454,0.0332455777829114,Inf,1.71718863285939,1.84753797287974
"COSNet",1.5831441216794,0.0313138470187021,Inf,1.52294453234266,1.64572330559713
"bagsvm",2.41818556348725,0.0388528652592889,Inf,2.34322186910153,2.4955474752804
"rf",1.51069515339916,0.0305785097115449,Inf,1.4519356451581,1.57183264569223
"svm",1.52947821924959,0.0307707444999519,Inf,1.47034223915843,1.59099260080962
