"disease","uniprot.id"
"allergy","P62942"
"allergy","P00374"
"allergy","Q8NER1"
"allergy","P11473"
"allergy","P48736"
"allergy","P08913"
"allergy","O60674"
"allergy","P35367"
"allergy","P31645"
"allergy","P11229"
"allergy","P23458"
"allergy","P29597"
"allergy","O00329"
"allergy","Q08499"
"allergy","P07550"
"allergy","P18089"
"allergy","P04150"
"allergy","P04629"
"allergy","P35354"
"allergy","P20309"
"allergy","P19793"
"allergy","P10276"
"allergy","P28702"
"allergy","P48443"
"allergy","P08172"
"allergy","P35348"
"allergy","P35368"
"allergy","P06729"
"allergy","P27815"
"allergy","P08588"
"allergy","Q08493"
"allergy","Q07343"
"allergy","P52333"
"allergy","P13945"
"allergy","P23975"
"allergy","P03956"
"allergy","P10826"
"allergy","P13631"
"allergy","P62937"
"allergy","P24394"
"allergy","P22894"
"allergy","P35225"
"allergy","P09237"
"allergy","P45452"
"allergy","Q9NPF7"
"allergy","P29460"
"allergy","P29459"
"allergy","P23219"
"allergy","P25103"
"allergy","Q9H3N8"
"allergy","P18825"
"allergy","Q16552"
"allergy","Q9Y5Y4"
"allergy","P01854"
"Alzheimers disease","P12931"
"Alzheimers disease","Q14432"
"Alzheimers disease","Q8NER1"
"Alzheimers disease","Q13224"
"Alzheimers disease","Q05586"
"Alzheimers disease","P49841"
"Alzheimers disease","Q07869"
"Alzheimers disease","P49768"
"Alzheimers disease","P06213"
"Alzheimers disease","P10721"
"Alzheimers disease","P48551"
"Alzheimers disease","P42261"
"Alzheimers disease","P48058"
"Alzheimers disease","O15399"
"Alzheimers disease","P18505"
"Alzheimers disease","P47870"
"Alzheimers disease","P18507"
"Alzheimers disease","P37231"
"Alzheimers disease","Q92542"
"Alzheimers disease","P09619"
"Alzheimers disease","P14416"
"Alzheimers disease","P08908"
"Alzheimers disease","P31645"
"Alzheimers disease","P00519"
"Alzheimers disease","P05067"
"Alzheimers disease","P22607"
"Alzheimers disease","Q00975"
"Alzheimers disease","Q16539"
"Alzheimers disease","P03372"
"Alzheimers disease","P07550"
"Alzheimers disease","P21554"
"Alzheimers disease","Q12879"
"Alzheimers disease","Q8TCU5"
"Alzheimers disease","P35354"
"Alzheimers disease","P16234"
"Alzheimers disease","P17181"
"Alzheimers disease","P01375"
"Alzheimers disease","P49810"
"Alzheimers disease","P19793"
"Alzheimers disease","P10276"
"Alzheimers disease","P28702"
"Alzheimers disease","P48443"
"Alzheimers disease","P35348"
"Alzheimers disease","P35499"
"Alzheimers disease","Q14524"
"Alzheimers disease","P35462"
"Alzheimers disease","P30556"
"Alzheimers disease","P14867"
"Alzheimers disease","P42262"
"Alzheimers disease","P35368"
"Alzheimers disease","Q9Y5Y9"
"Alzheimers disease","Q92731"
"Alzheimers disease","Q9UQD0"
"Alzheimers disease","P42263"
"Alzheimers disease","P08588"
"Alzheimers disease","P04035"
"Alzheimers disease","Q01959"
"Alzheimers disease","P36544"
"Alzheimers disease","P13945"
"Alzheimers disease","P21917"
"Alzheimers disease","P28223"
"Alzheimers disease","P50406"
"Alzheimers disease","P23975"
"Alzheimers disease","Q7L0J3"
"Alzheimers disease","P03956"
"Alzheimers disease","P06401"
"Alzheimers disease","P10826"
"Alzheimers disease","P13631"
"Alzheimers disease","Q9NY46"
"Alzheimers disease","Q99250"
"Alzheimers disease","P35498"
"Alzheimers disease","P48169"
"Alzheimers disease","P05121"
"Alzheimers disease","Q96BI3"
"Alzheimers disease","Q9NZ42"
"Alzheimers disease","Q8WW43"
"Alzheimers disease","P22303"
"Alzheimers disease","P22894"
"Alzheimers disease","P09237"
"Alzheimers disease","P45452"
"Alzheimers disease","P51649"
"Alzheimers disease","P23219"
"Alzheimers disease","P43681"
"Alzheimers disease","Q13639"
"Alzheimers disease","Q14957"
"Alzheimers disease","Q9UI33"
"Alzheimers disease","Q15858"
"Alzheimers disease","P43220"
"Alzheimers disease","O60391"
"Alzheimers disease","P06276"
"Alzheimers disease","P17787"
"Alzheimers disease","P30532"
"arthritis","Q14432"
"arthritis","P07437"
"arthritis","O14920"
"arthritis","P68371"
"arthritis","Q71U36"
"arthritis","P68366"
"arthritis","P62942"
"arthritis","P00374"
"arthritis","Q8NER1"
"arthritis","Q06187"
"arthritis","P30411"
"arthritis","P10721"
"arthritis","P11473"
"arthritis","P48736"
"arthritis","P41143"
"arthritis","P08913"
"arthritis","P26010"
"arthritis","P18505"
"arthritis","P47870"
"arthritis","P18507"
"arthritis","P41594"
"arthritis","Q9NSA0"
"arthritis","P60880"
"arthritis","P37231"
"arthritis","P08235"
"arthritis","O60674"
"arthritis","P07333"
"arthritis","P09619"
"arthritis","O76074"
"arthritis","P35367"
"arthritis","P31645"
"arthritis","Q13509"
"arthritis","P22607"
"arthritis","Q13936"
"arthritis","P54284"
"arthritis","P23458"
"arthritis","P05556"
"arthritis","P29597"
"arthritis","O00329"
"arthritis","Q08499"
"arthritis","O00555"
"arthritis","Q00975"
"arthritis","Q16539"
