"disease","cv_scheme","fold","train_all","train_pos","validation_all","validation_pos","split_complexes"
"allergy","classic","Rep01.Fold1",5720,36,2860,18,6
"allergy","classic","Rep01.Fold2",5720,36,2860,18,7
"allergy","classic","Rep01.Fold3",5720,36,2860,18,1
"allergy","classic","Rep02.Fold1",5720,36,2860,18,6
"allergy","classic","Rep02.Fold2",5720,36,2860,18,5
"allergy","classic","Rep02.Fold3",5720,36,2860,18,4
"allergy","classic","Rep03.Fold1",5720,36,2860,18,6
"allergy","classic","Rep03.Fold2",5720,36,2860,18,8
"allergy","classic","Rep03.Fold3",5720,36,2860,18,5
"allergy","classic","Rep04.Fold1",5720,36,2860,18,8
"allergy","classic","Rep04.Fold2",5720,36,2860,18,3
"allergy","classic","Rep04.Fold3",5720,36,2860,18,5
"allergy","classic","Rep05.Fold1",5720,36,2860,18,1
"allergy","classic","Rep05.Fold2",5720,36,2860,18,6
"allergy","classic","Rep05.Fold3",5720,36,2860,18,7
"allergy","classic","Rep06.Fold1",5720,36,2860,18,4
"allergy","classic","Rep06.Fold2",5720,36,2860,18,6
"allergy","classic","Rep06.Fold3",5720,36,2860,18,5
"allergy","classic","Rep07.Fold1",5720,36,2860,18,3
"allergy","classic","Rep07.Fold2",5720,36,2860,18,3
"allergy","classic","Rep07.Fold3",5720,36,2860,18,6
"allergy","classic","Rep08.Fold1",5720,36,2860,18,5
"allergy","classic","Rep08.Fold2",5720,36,2860,18,4
"allergy","classic","Rep08.Fold3",5720,36,2860,18,3
"allergy","classic","Rep09.Fold1",5720,36,2860,18,1
"allergy","classic","Rep09.Fold2",5720,36,2860,18,2
"allergy","classic","Rep09.Fold3",5720,36,2860,18,1
"allergy","classic","Rep10.Fold1",5720,36,2860,18,3
"allergy","classic","Rep10.Fold2",5720,36,2860,18,1
"allergy","classic","Rep10.Fold3",5720,36,2860,18,4
"allergy","classic","Rep11.Fold1",5720,36,2860,18,8
"allergy","classic","Rep11.Fold2",5720,36,2860,18,6
"allergy","classic","Rep11.Fold3",5720,36,2860,18,4
"allergy","classic","Rep12.Fold1",5720,36,2860,18,7
"allergy","classic","Rep12.Fold2",5720,36,2860,18,7
"allergy","classic","Rep12.Fold3",5720,36,2860,18,5
"allergy","classic","Rep13.Fold1",5720,36,2860,18,6
"allergy","classic","Rep13.Fold2",5720,36,2860,18,5
"allergy","classic","Rep13.Fold3",5720,36,2860,18,3
"allergy","classic","Rep14.Fold1",5720,36,2860,18,1
"allergy","classic","Rep14.Fold2",5720,36,2860,18,5
"allergy","classic","Rep14.Fold3",5720,36,2860,18,6
"allergy","classic","Rep15.Fold1",5720,36,2860,18,6
"allergy","classic","Rep15.Fold2",5720,36,2860,18,5
"allergy","classic","Rep15.Fold3",5720,36,2860,18,1
"allergy","classic","Rep16.Fold1",5720,36,2860,18,7
"allergy","classic","Rep16.Fold2",5720,36,2860,18,5
"allergy","classic","Rep16.Fold3",5720,36,2860,18,5
"allergy","classic","Rep17.Fold1",5720,36,2860,18,5
"allergy","classic","Rep17.Fold2",5720,36,2860,18,2
"allergy","classic","Rep17.Fold3",5720,36,2860,18,5
"allergy","classic","Rep18.Fold1",5720,36,2860,18,7
"allergy","classic","Rep18.Fold2",5720,36,2860,18,9
"allergy","classic","Rep18.Fold3",5720,36,2860,18,5
"allergy","classic","Rep19.Fold1",5720,36,2860,18,2
"allergy","classic","Rep19.Fold2",5720,36,2860,18,4
"allergy","classic","Rep19.Fold3",5720,36,2860,18,6
"allergy","classic","Rep20.Fold1",5720,36,2860,18,2
"allergy","classic","Rep20.Fold2",5720,36,2860,18,7
"allergy","classic","Rep20.Fold3",5720,36,2860,18,5
"allergy","classic","Rep21.Fold1",5720,36,2860,18,6
"allergy","classic","Rep21.Fold2",5720,36,2860,18,6
"allergy","classic","Rep21.Fold3",5720,36,2860,18,6
"allergy","classic","Rep22.Fold1",5720,36,2860,18,7
"allergy","classic","Rep22.Fold2",5720,36,2860,18,7
"allergy","classic","Rep22.Fold3",5720,36,2860,18,4
"allergy","classic","Rep23.Fold1",5720,36,2860,18,1
"allergy","classic","Rep23.Fold2",5720,36,2860,18,4
"allergy","classic","Rep23.Fold3",5720,36,2860,18,3
"allergy","classic","Rep24.Fold1",5720,36,2860,18,4
"allergy","classic","Rep24.Fold2",5720,36,2860,18,6
"allergy","classic","Rep24.Fold3",5720,36,2860,18,5
