cv_scheme = classic, disease = allergy:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.017611238 5.363711e-04 NA 0.016590212 0.018693907
 randomraw                                       0.011442868 3.963427e-04 NA 0.010691553 0.012246326
 random                                          0.009134378 3.410527e-04 NA 0.008489595 0.009827647
 EGAD                                            0.030641746 8.138785e-04 NA 0.029086158 0.032277764
 association_score.datatypes.affected_pathway    0.008222111 3.185086e-04 NA 0.007620778 0.008870469
 association_score.datatypes.animal_model        0.014738465 4.722208e-04 NA 0.013840991 0.015693207
 association_score.datatypes.genetic_association 0.016482704 5.113513e-04 NA 0.015509864 0.017515477
 association_score.datatypes.literature          0.042302929 1.050510e-03 NA 0.040291195 0.044410461
 association_score.datatypes.rna_expression      0.010697310 3.787215e-04 NA 0.009979944 0.011465645
 association_score.datatypes.somatic_mutation    0.008144895 3.165781e-04 NA 0.007547284 0.008789408
 ppr                                             0.067894280 1.543101e-03 NA 0.064931603 0.070981875
 raw                                             0.120421005 2.457416e-03 NA 0.115687084 0.125321186
 gm                                              0.073421970 1.645252e-03 NA 0.070261825 0.076712521
 mc                                              0.074301362 1.661370e-03 NA 0.071110049 0.077623928
 z                                               0.108929901 2.267983e-03 NA 0.104563695 0.113455324
 knn                                             0.098618156 2.093001e-03 NA 0.094591254 0.102797026
 wsld                                            0.092169397 1.981151e-03 NA 0.088359207 0.096126564
 COSNet                                          0.047418061 1.151702e-03 NA 0.045211140 0.049727099
 bagsvm                                          0.118724719 2.429819e-03 NA 0.114044393 0.123570333
 rf                                              0.114811549 2.365673e-03 NA 0.110255767 0.119530288
 svm                                             0.087009180 1.890298e-03 NA 0.083374923 0.090786162

cv_scheme = block, disease = allergy:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.005460341 1.712303e-04 NA 0.005134790 0.005806413
 randomraw                                       0.003532543 1.250071e-04 NA 0.003295809 0.003786216
 random                                          0.002815341 1.070352e-04 NA 0.002613161 0.003033116
 EGAD                                            0.009588181 2.657151e-04 NA 0.009081152 0.010123229
 association_score.datatypes.affected_pathway    0.002532555 9.975477e-05 NA 0.002344378 0.002735794
 association_score.datatypes.animal_model        0.004560441 1.499311e-04 NA 0.004275809 0.004863928
 association_score.datatypes.genetic_association 0.005106394 1.628988e-04 NA 0.004796847 0.005435806
 association_score.datatypes.literature          0.013347433 3.493429e-04 NA 0.012679777 0.014049744
 association_score.datatypes.rna_expression      0.003300660 1.192617e-04 NA 0.003074971 0.003542854
 association_score.datatypes.somatic_mutation    0.002508636 9.913264e-05 NA 0.002321656 0.002710634
 ppr                                             0.021821143 5.332606e-04 NA 0.020800083 0.022891154
 raw                                             0.040242070 9.176806e-04 NA 0.038481463 0.042079704
 gm                                              0.023693085 5.732210e-04 NA 0.022595206 0.024842952
 mc                                              0.023992285 5.795878e-04 NA 0.022882166 0.025154874
 z                                               0.036088082 8.326328e-04 NA 0.034491198 0.037756006
 knn                                             0.032420950 7.567831e-04 NA 0.030970031 0.033937463
 wsld                                            0.030156086 7.095681e-04 NA 0.028796001 0.031578322
 COSNet                                          0.015016258 3.860036e-04 NA 0.014278175 0.015791883
 bagsvm                                          0.039624329 9.050909e-04 NA 0.037887962 0.041436844
 rf                                              0.038205284 8.760943e-04 NA 0.036524742 0.039959943
 svm                                             0.028359304 6.719060e-04 NA 0.027071662 0.029706322

cv_scheme = representative, disease = allergy:
 method                                                 prob           SE df   asymp.LCL   asymp.UCL
 pr                                              0.006138268 1.919204e-04 NA 0.005773339 0.006526113
 randomraw                                       0.003972080 1.402461e-04 NA 0.003706464 0.004256650
 random                                          0.003165924 1.201333e-04 NA 0.002938985 0.003410327
 EGAD                                            0.010773046 2.973404e-04 NA 0.010205593 0.011371689
 association_score.datatypes.affected_pathway    0.002848024 1.119816e-04 NA 0.002636766 0.003076156
 association_score.datatypes.animal_model        0.005127217 1.681186e-04 NA 0.004808025 0.005467482
 association_score.datatypes.genetic_association 0.005740630 1.826117e-04 NA 0.005393587 0.006109865
 association_score.datatypes.literature          0.014989819 3.904402e-04 NA 0.014243498 0.015774620
 association_score.datatypes.rna_expression      0.003711453 1.338177e-04 NA 0.003458196 0.003983182
