cv_scheme = classic, disease = allergy:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.6890953 0.002299458 NA 0.6845706 0.6935841
 randomraw                                       0.6215112 0.002489842 NA 0.6166190 0.6263787
 random                                          0.5561477 0.002601141 NA 0.5510439 0.5612398
 EGAD                                            0.6703235 0.002360072 NA 0.6656815 0.6749326
 association_score.datatypes.affected_pathway    0.5573250 0.002599766 NA 0.5522237 0.5624142
 association_score.datatypes.animal_model        0.5669522 0.002587656 NA 0.5618736 0.5720167
 association_score.datatypes.genetic_association 0.5799332 0.002568885 NA 0.5748901 0.5849596
 association_score.datatypes.literature          0.7478537 0.002070742 NA 0.7437735 0.7518905
 association_score.datatypes.rna_expression      0.5737341 0.002578199 NA 0.5686734 0.5787795
 association_score.datatypes.somatic_mutation    0.5570921 0.002600040 NA 0.5519903 0.5621819
 ppr                                             0.8188607 0.001713155 NA 0.8154787 0.8221942
 raw                                             0.8454756 0.001554941 NA 0.8424034 0.8484987
 gm                                              0.5848099 0.002561107 NA 0.5797816 0.5898207
 mc                                              0.8666057 0.001419187 NA 0.8637995 0.8693628
 z                                               0.8554030 0.001492320 NA 0.8524534 0.8583033
 knn                                             0.8442854 0.001562314 NA 0.8411988 0.8473230
 wsld                                            0.8424443 0.001573663 NA 0.8393354 0.8455042
 COSNet                                          0.6161057 0.002501752 NA 0.6111907 0.6209971
 bagsvm                                          0.8583985 0.001473024 NA 0.8554868 0.8612611
 rf                                              0.8163729 0.001727245 NA 0.8129633 0.8197341
 svm                                             0.7655297 0.001990197 NA 0.7616065 0.7694078

cv_scheme = block, disease = allergy:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.6240653 0.002510470 NA 0.6191322 0.6289728
 randomraw                                       0.5515447 0.002612540 NA 0.5464189 0.5566595
 random                                          0.4841275 0.002628651 NA 0.4789773 0.4892811
 EGAD                                            0.6036256 0.002548165 NA 0.5986207 0.6086090
 association_score.datatypes.affected_pathway    0.4853190 0.002629023 NA 0.4801679 0.4904731
 association_score.datatypes.animal_model        0.4950935 0.002631185 NA 0.4899371 0.5002508
 association_score.datatypes.genetic_association 0.5083606 0.002631575 NA 0.5032021 0.5135174
 association_score.datatypes.literature          0.6895773 0.002341960 NA 0.6849686 0.6941487
 association_score.datatypes.rna_expression      0.5020123 0.002631754 NA 0.4968542 0.5071701
 association_score.datatypes.somatic_mutation    0.4850832 0.002628951 NA 0.4799323 0.4902373
 ppr                                             0.7719921 0.002024243 NA 0.7680003 0.7759352
 raw                                             0.8038438 0.001868417 NA 0.8001559 0.8074800
 gm                                              0.5133711 0.002630959 NA 0.5082132 0.5185260
 mc                                              0.8295188 0.001728497 NA 0.8261043 0.8328799
 z                                               0.8158633 0.001804554 NA 0.8123001 0.8193739
 knn                                             0.8024079 0.001875857 NA 0.7987055 0.8060588
 wsld                                            0.8001889 0.001887277 NA 0.7964642 0.8038622
 COSNet                                          0.5458701 0.002616815 NA 0.5407366 0.5509939
 bagsvm                                          0.8195051 0.001784639 NA 0.8159808 0.8229766
 rf                                              0.7690422 0.002037715 NA 0.7650242 0.7730118
 svm                                             0.7097531 0.002275244 NA 0.7052736 0.7141922

cv_scheme = representative, disease = allergy:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.6629804 0.002394710 NA 0.6582709 0.6676578
 randomraw                                       0.5930717 0.002551725 NA 0.5880610 0.5980632
 random                                          0.5265384 0.002625179 NA 0.5213905 0.5316807
 EGAD                                            0.6434477 0.002446865 NA 0.6386377 0.6482290
 association_score.datatypes.affected_pathway    0.5277275 0.002624514 NA 0.5225808 0.5328683
 association_score.datatypes.animal_model        0.5374641 0.002618180 NA 0.5323288 0.5425915
 association_score.datatypes.genetic_association 0.5506285 0.002607106 NA 0.5455135 0.5557328
 association_score.datatypes.literature          0.7247025 0.002187158 NA 0.7203951 0.7289685
 association_score.datatypes.rna_expression      0.5443368 0.002612759 NA 0.5392114 0.5494528
 association_score.datatypes.somatic_mutation    0.5274922 0.002624647 NA 0.5223453 0.5326333
 ppr                                             0.8004898 0.001841066 NA 0.7968569 0.8040738
 raw                                             0.8292411 0.001682081 NA 0.8259190 0.8325127
 gm                                              0.5555847 0.002602189 NA 0.5504789 0.5606789
 mc                                              0.8522031 0.001543351 NA 0.8491525 0.8552025
 z                                               0.8400141 0.001618338 NA 0.8368167 0.8431606
 knn                                             0.8279514 0.001689557 NA 0.8246146 0.8312377
