cv_scheme = classic, disease = allergy:
 method                                                rate          SE df  asymp.LCL  asymp.UCL
 pr                                              0.28571233 0.013397372 NA 0.26062446 0.31321516
 randomraw                                       0.10550087 0.005728152 NA 0.09485062 0.11734697
 random                                          0.08768704 0.004951980 NA 0.07849920 0.09795026
 EGAD                                            0.10987754 0.005917739 NA 0.09887017 0.12211038
 association_score.datatypes.affected_pathway    0.03992755 0.002794463 NA 0.03480956 0.04579803
 association_score.datatypes.animal_model        0.24440267 0.011651901 NA 0.22259986 0.26834097
 association_score.datatypes.genetic_association 0.40050403 0.018235341 NA 0.36631175 0.43788788
 association_score.datatypes.literature          0.71032645 0.031259217 NA 0.65162735 0.77431321
 association_score.datatypes.rna_expression      0.14773193 0.007545024 NA 0.13366000 0.16328537
 association_score.datatypes.somatic_mutation    0.03654906 0.002632633 NA 0.03173687 0.04209092
 ppr                                             0.35074816 0.016139959 NA 0.32049900 0.38385228
 raw                                             0.25538274 0.012116195 NA 0.23270610 0.28026918
 gm                                              0.27327336 0.012872031 NA 0.24917418 0.29970332
 mc                                              0.21883368 0.010569499 NA 0.19906815 0.24056173
 z                                               0.17929005 0.008890893 NA 0.16268428 0.19759084
 knn                                             0.25046859 0.011908436 NA 0.22818296 0.27493075
 wsld                                            0.23810640 0.011385537 NA 0.21680493 0.26150078
 COSNet                                          0.29316035 0.013711741 NA 0.26748085 0.32130520
 bagsvm                                          0.25169713 0.011960381 NA 0.22931373 0.27626537
 rf                                              0.14020712 0.007222964 NA 0.12674162 0.15510325
 svm                                             0.12554143 0.006593425 NA 0.11326143 0.13915285

cv_scheme = block, disease = allergy:
 method                                                rate          SE df  asymp.LCL  asymp.UCL
 pr                                              0.26972119 0.012659368 NA 0.24601632 0.29571015
 randomraw                                       0.09959605 0.005411327 NA 0.08953524 0.11078737
 random                                          0.08277925 0.004677838 NA 0.07410035 0.09247466
 EGAD                                            0.10372777 0.005590491 NA 0.09332948 0.11528458
 association_score.datatypes.affected_pathway    0.03769283 0.002639167 NA 0.03285939 0.04323724
 association_score.datatypes.animal_model        0.23072361 0.011009712 NA 0.21012331 0.25334354
 association_score.datatypes.genetic_association 0.37808808 0.017231811 NA 0.34577888 0.41341621
 association_score.datatypes.literature          0.67056994 0.029541018 NA 0.61509981 0.73104240
 association_score.datatypes.rna_expression      0.13946347 0.007128354 NA 0.12616917 0.15415857
 association_score.datatypes.somatic_mutation    0.03450344 0.002486273 NA 0.02995890 0.03973734
 ppr                                             0.33111701 0.015251425 NA 0.30253435 0.36240008
 raw                                             0.24108914 0.011448518 NA 0.21966301 0.26460519
 gm                                              0.25797843 0.012162864 NA 0.23520792 0.28295335
 mc                                              0.20658570 0.009986734 NA 0.18791074 0.22711662
 z                                               0.16925530 0.008400301 NA 0.15356645 0.18654698
 knn                                             0.23645002 0.011252164 NA 0.21539343 0.25956508
 wsld                                            0.22477974 0.010757970 NA 0.20465323 0.24688558
 COSNet                                          0.27675235 0.012956482 NA 0.25248835 0.30334812
 bagsvm                                          0.23760980 0.011301257 NA 0.21646081 0.26082512
 rf                                              0.13235982 0.006823987 NA 0.11963860 0.14643369
 svm                                             0.11851495 0.006229040 NA 0.10691405 0.13137464

cv_scheme = representative, disease = allergy:
 method                                                rate          SE df  asymp.LCL  asymp.UCL
 pr                                              0.19604037 0.009258731 NA 0.17870815 0.21505356
 randomraw                                       0.07238900 0.003951472 NA 0.06504416 0.08056322
 random                                          0.06016611 0.003414664 NA 0.05383229 0.06724515
 EGAD                                            0.07539204 0.004082610 NA 0.06780027 0.08383387
 association_score.datatypes.affected_pathway    0.02739613 0.001923618 NA 0.02387383 0.03143810
 association_score.datatypes.animal_model        0.16769591 0.008050591 NA 0.15263663 0.18424095
 association_score.datatypes.genetic_association 0.27480423 0.012607623 NA 0.25117217 0.30065977
 association_score.datatypes.literature          0.48738764 0.021623613 NA 0.44679654 0.53166641
 association_score.datatypes.rna_expression      0.10136567 0.005208422 NA 0.09165455 0.11210572
 association_score.datatypes.somatic_mutation    0.02507799 0.001811893 NA 0.02176673 0.02889298
 ppr                                             0.24066444 0.011157144 NA 0.21976091 0.26355631
 raw                                             0.17522985 0.008371947 NA 0.15956597 0.19243138
 gm                                              0.18750542 0.008895106 NA 0.17085729 0.20577573
 mc                                              0.15015185 0.007301439 NA 0.13650209 0.16516655
 z                                               0.12301915 0.006139734 NA 0.11155532 0.13566104
 knn                                             0.17185801 0.008228148 NA 0.15646468 0.18876578
 wsld                                            0.16337575 0.007866231 NA 0.14866333 0.17954418
 COSNet                                          0.20115080 0.009476331 NA 0.18340922 0.22060856
 bagsvm                                          0.17270097 0.008264101 NA 0.15723999 0.18968219
 rf                                              0.09620256 0.004985585 NA 0.08691087 0.10648762
 svm                                             0.08613975 0.004550033 NA 0.07766795 0.09553563

cv_scheme = classic, disease = Alzheimers disease:
 method                                                rate          SE df  asymp.LCL  asymp.UCL
