"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0164669136592001,0.000349550316343358,Inf,0.0157956381385361,0.0171662191582604
"randomraw",0.0121573553585826,0.000298587707413353,Inf,0.0115858337313907,0.0127567059123922
"random",0.0083728148268295,0.000246433413494598,Inf,0.0079033725699885,0.00886989158364808
"EGAD",0.061121051824868,0.000702835402606781,Inf,0.0597579459057183,0.0625131835480085
"ppr",0.106569241666556,0.000947777975583807,Inf,0.104725839245632,0.108441161687476
"raw",0.149577081744725,0.00113070837614184,Inf,0.147374437080382,0.151806785556189
"gm",0.0824765572956141,0.000826304687234438,Inf,0.0808714337998427,0.0841106236420987
"mc",0.0690315548595115,0.000750640815129494,Inf,0.067574762300577,0.0705173781328483
"z",0.141404761907687,0.00109877176780895,Inf,0.139264876177154,0.143572043689245
"knn",0.116146426330182,0.000991896527221613,Inf,0.114216432288025,0.118104684482792
"wsld",0.112887336537635,0.000977122853921453,Inf,0.110986342026691,0.114816686412331
"COSNet",0.0776412353153378,0.000799831291030527,Inf,0.0760880172665398,0.0792234411198641
"bagsvm",0.147723639811384,0.00112357079306127,Inf,0.145535022954203,0.149939394457624
"rf",0.179397415132718,0.00123762447964818,Inf,0.176984516906413,0.181835941339523
"svm",0.135068615654155,0.00107316026734366,Inf,0.132979045808159,0.137185824717593
