"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.0464076842880399,0.000960896741673678,NA,0.0445603011978596,0.0483277822763757
"randomraw","classic","string",0.0345374826313803,0.000832606042159771,NA,0.0329422616650783,0.0362070595774888
"random","classic","string",0.0239550349456171,0.000695972556929634,NA,0.0226281807420835,0.0253576736437976
"EGAD","classic","string",0.159118272298172,0.00168396891018625,NA,0.155845440232098,0.162446609060652
"ppr","classic","string",0.257453390683732,0.00200295304174574,NA,0.253547267411107,0.261398617925042
"raw","classic","string",0.3382964734988,0.00214190719847091,NA,0.334111227143997,0.342507180216359
"gm","classic","string",0.207158837777518,0.00186365364803292,NA,0.203529927033658,0.210835323836339
"mc","classic","string",0.177316584781527,0.00175809272370725,NA,0.173897010288566,0.18078868706331
"z","classic","string",0.323738396080975,0.00212387900674035,NA,0.319589698664021,0.32791499407649
"knn","classic","string",0.27639538099343,0.00204431177661252,NA,0.272406605256924,0.280420052953565
"wsld","classic","string",0.27001337245299,0.00203101250104685,NA,0.266051199105112,0.274012522967045
"COSNet","classic","string",0.196579922436567,0.0018283593089711,NA,0.193021057707982,0.20018812670186
"bagsvm","classic","string",0.335025810894991,0.00213811090319125,NA,0.330848277472415,0.339229351790342
"rf","classic","string",0.388550688013817,0.00218234693694764,NA,0.38428204698381,0.392836493154268
"svm","classic","string",0.31220296003834,0.00210749464413639,NA,0.308087340955491,0.316348421225571
"pr","block","string",0.0138475989577362,0.000303685092772117,NA,0.0132648281305707,0.0144555978842561
"randomraw","block","string",0.0102164212538231,0.000257193128847252,NA,0.00972444588106094,0.0107330166864907
"random","block","string",0.0070317855205971,0.000210602071512401,NA,0.00663081514354764,0.00745682086553534
"EGAD","block","string",0.0517727073676228,0.000655726206665219,NA,0.0505024852765999,0.0530730918951173
"ppr","block","string",0.0909430040320867,0.000932248029923065,NA,0.0891322754640069,0.0927867705189711
"raw","block","string",0.128551986304259,0.00115759862867462,NA,0.126300151923023,0.130837956859049
"gm","block","string",0.0701058227306236,0.000791675172272192,NA,0.0685699557130196,0.0716734437624877
"mc","block","string",0.0585487640052199,0.000707550237356195,NA,0.057177295414939,0.0599510372023447
"z","block","string",0.121364461097202,0.00111699743110197,NA,0.119192149313689,0.123570809572169
"knn","block","string",0.0992719234406123,0.00098504351563602,NA,0.0973579086746568,0.101219347355569
"wsld","block","string",0.0964346728871941,0.000967258237819828,NA,0.0945554558808427,0.0983471812390002
"COSNet","block","string",0.0659436301371597,0.000761946318297714,NA,0.0644658668719071,0.0674528260289823
"bagsvm","block","string",0.126920188954501,0.00114847591686609,NA,0.124686224586195,0.129188271210144
"rf","block","string",0.154944371918348,0.00129778701308789,NA,0.152417771773005,0.157505071973817
"svm","block","string",0.115805175279338,0.00108483589368821,NA,0.113695839825686,0.117948436234295
"pr","representative","string",0.0147020101628869,0.000321622032278817,NA,0.0140847748947754,0.015345873431462
"randomraw","representative","string",0.010849249911052,0.000272610668878169,NA,0.010327751156718,0.0113967784489563
"random","representative","string",0.00746883904556835,0.000223395304017101,NA,0.00704348977779097,0.00791966985714774
"EGAD","representative","string",0.0548370155606188,0.000689317651085437,NA,0.0535015500884344,0.0562038364657564
"ppr","representative","string",0.0960907721629451,0.000973833345355843,NA,0.0941989614374422,0.0980164651189608
"raw","representative","string",0.13551124532264,0.00120271990232662,NA,0.133171199321041,0.137885869229146
"gm","representative","string",0.0741703499528519,0.000829678524831908,NA,0.072560518678078,0.0758129774581996
"mc","representative","string",0.0619879132827315,0.000742931658171791,NA,0.0605476673366163,0.0634601041198765
"z","representative","string",0.127991766409952,0.00116169335550389,NA,0.125732116319733,0.130285974930728
"knn","representative","string",0.104836774310127,0.0010277081450516,NA,0.102839519975349,0.106868197018781
"wsld","representative","string",0.101858462747968,0.00100957587669292,NA,0.0998967007336451,0.103854304640991
"COSNet","representative","string",0.0697849553016395,0.000799063456459981,NA,0.068234982582189,0.0713674392811369
"bagsvm","representative","string",0.133804673153187,0.00119351008609518,NA,0.131482676934136,0.136161247245865
"rf","representative","string",0.163065051417571,0.00134360113324032,NA,0.160448732696425,0.165715611559195
"svm","representative","string",0.122171117541337,0.00112912684434184,NA,0.119975267764885,0.124401475649324
"pr","classic","omnipath",0.0281930763153048,0.000599148634223249,NA,0.0270422154775993,0.0293914358615214
"randomraw","classic","omnipath",0.0208798122781999,0.000513301508454766,NA,0.019897127613691,0.0219099450912665
"random","classic","omnipath",0.0144196376675767,0.000424715177669195,NA,0.0136104572822032,0.0152761810795761
"EGAD","classic","omnipath",0.101368307016297,0.00116551933778064,NA,0.0991066585743305,0.103675627552319
"ppr","classic","omnipath",0.171283721124967,0.00151524213888732,NA,0.168334293327232,0.174273997634627
"raw","classic","omnipath",0.233580214112488,0.00174348154825832,NA,0.230180445640127,0.237014736958192
"gm","classic","omnipath",0.134767567448998,0.00134726466126383,NA,0.132148749104207,0.137430065102866
"mc","classic","omnipath",0.113856073802464,0.00123709079349458,NA,0.111453828361991,0.116303319361905
"z","classic","omnipath",0.222016475239708,0.00170607422065747,NA,0.218690633354617,0.225378306219556
"knn","classic","omnipath",0.185469368959769,0.00157322326476244,NA,0.18240568264728,0.188572644585982
"wsld","classic","omnipath",0.180662673242314,0.00155399995133855,NA,0.177636877927789,0.183728493875394
"COSNet","classic","omnipath",0.127291910109258,0.00130916907096689,NA,0.124747999014181,0.129879999629822
"bagsvm","classic","omnipath",0.230968572217741,0.00173521932346295,NA,0.227585136961612,0.234387044396515
"rf","classic","omnipath",0.274737419766718,0.00185991427738692,NA,0.271107116996224,0.278397767464155
"svm","classic","omnipath",0.212964169571227,0.00167528132259179,NA,0.209699142299868,0.216266122028598
"pr","block","omnipath",0.00830128860015489,0.000184807153047593,NA,0.00794679950728066,0.00867145244504792
"randomraw","block","omnipath",0.00611546945701443,0.000155730502063533,NA,0.00581769126304092,0.00642839085744299
"random","block","omnipath",0.00420374226930518,0.000126933260732181,NA,0.00396214757044827,0.00446000240919724
"EGAD","block","omnipath",0.0315219819171608,0.000416758699407117,NA,0.0307153095083241,0.0323491328135016
"ppr","block","omnipath",0.0562803149632608,0.000614786633220522,NA,0.0550874148843967,0.0574974750494681
"raw","block","omnipath",0.080829297318288,0.000788788642926779,NA,0.0792967229726748,0.082388841301999
"gm","block","omnipath",0.0430094163826783,0.000512214153940446,NA,0.0420166105463909,0.0440246030527197
"mc","block","omnipath",0.0357475256290815,0.000452735954400214,NA,0.0348707068981373,0.0366455547029761
"z","block","omnipath",0.076077079171494,0.000756463157245116,NA,0.0746076328553617,0.0775730410954507
"knn","block","omnipath",0.0616499782248983,0.00065442476204654,NA,0.0603797271386878,0.0629451622976308
"wsld","block","omnipath",0.0598165782878869,0.000640999973988022,NA,0.0585725264746317,0.0610853386705009
"COSNet","block","omnipath",0.0403860733292412,0.000491039299141879,NA,0.0394345632104241,0.0413595537298375
"bagsvm","block","omnipath",0.0797478406204864,0.000781484771094769,NA,0.0782295309355872,0.0812930194149061
"rf","block","omnipath",0.0985317641697195,0.000904238323290523,NA,0.096773631339869,0.100318290278518
"svm","block","omnipath",0.0724212649614725,0.000731179641868341,NA,0.0710011864527673,0.0738674877546649
"pr","representative","omnipath",0.00881654621329374,0.000195846125016462,NA,0.00844086074233545,0.00920879738619055
"randomraw","representative","omnipath",0.00649594286418047,0.000165141700891064,NA,0.00618015321417723,0.00682775768059814
"random","representative","omnipath",0.00446581215639452,0.000134685980500331,NA,0.00420945073036343,0.00473771206967398
"EGAD","representative","omnipath",0.0334299526540339,0.000439187146246717,NA,0.0325797789775042,0.034301525105181
"ppr","representative","omnipath",0.0595946504837945,0.000644952332733078,NA,0.0583430530492814,0.0608713620206921
"raw","representative","omnipath",0.0854584033433428,0.000824349002073265,NA,0.0838564940303878,0.087088004970422
"gm","representative","omnipath",0.0455799776073327,0.000538586771994281,NA,0.0445359306072626,0.0466473050663533
"mc","representative","omnipath",0.0379012518569,0.000476698702125175,NA,0.0369779223531762,0.0388467066554677
"z","representative","omnipath",0.0804578479743001,0.000791120835791522,NA,0.078920850377164,0.0820221133120023
"knn","representative","omnipath",0.0652586654021264,0.000685934578049674,NA,0.0639270708648957,0.0666160230073542
"wsld","representative","omnipath",0.0633251896743362,0.000672062139165047,NA,0.0620206759426382,0.0646552505868184
"COSNet","representative","omnipath",0.0428068574906307,0.000516571883197456,NA,0.041805755652879,0.0438308356250278
"bagsvm","representative","omnipath",0.0843206931204417,0.000816845184771941,NA,0.0827334437214183,0.0859355411583996
"rf","representative","omnipath",0.104059917576647,0.000942643320637676,NA,0.102226813610796,0.105922014085073
"svm","representative","omnipath",0.0766089751284883,0.000765099425636688,NA,0.0751228021064927,0.0781220660230649
