"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.0362139142330267,0.000754359680097696,NA,0.0347640972523909,0.0377218320584502
"randomraw","classic",0.0268775943707629,0.000650861477866273,NA,0.0256309436014061,0.0281831265263649
"random","classic",0.0185969636413747,0.000541989930527609,NA,0.0175639197747228,0.0196895495522583
"EGAD","classic",0.127476449406207,0.00137737552725915,NA,0.124801163278069,0.130200552455203
"ppr","classic",0.211167605448686,0.00170005341112065,NA,0.207854812315483,0.214518899466896
"raw","classic",0.283016074025906,0.00187629382997669,NA,0.279353110132368,0.286707959222907
"gm","classic",0.167870973575893,0.00155189175838557,NA,0.164851278940091,0.170934660644415
"mc","classic",0.142669897711984,0.00144774106656597,NA,0.139855830763458,0.145531006905013
"z","classic",0.269866699895339,0.00184980030501503,NA,0.266256546925418,0.273507556314219
"knn","classic",0.227748640617527,0.00174786412456954,NA,0.224341067547287,0.231192545063913
"wsld","classic",0.222145053777793,0.00173221851148112,NA,0.218768509928943,0.225558665647303
"COSNet","classic",0.158896268954617,0.00151646865009969,NA,0.155946542794005,0.161891087733594
"bagsvm","classic",0.280053667114307,0.00187053638797633,NA,0.276402187321411,0.283734470477859
"rf","classic",0.329143109607202,0.00195076003124457,NA,0.325331063342477,0.332977778018904
"svm","classic",0.259514192733805,0.00182720932971436,NA,0.255949009712468,0.263111475232974
"pr","block",0.0107254357398404,0.000235241745984214,NA,0.0102740385649199,0.0111964410119801
"randomraw","block",0.00790640134914102,0.000199053448333111,NA,0.00752566110727387,0.00830624288993626
"random","block",0.00543788280187408,0.00016287095384596,NA,0.00512780318818663,0.00576660432715007
"EGAD","block",0.0404504620698041,0.000513000975760666,NA,0.0394568821723953,0.0414679815721838
"ppr","block",0.0717023048060241,0.00073780153878312,NA,0.0702696276698092,0.0731618932050768
"raw","block",0.102249379784198,0.000927280929826777,NA,0.100446201598587,0.10408118273039
"gm","block",0.0550068629734593,0.000622622122629768,NA,0.0537992174489324,0.0562400055844966
"mc","block",0.0458162539318774,0.000554603088072948,NA,0.0447414450727723,0.0469156144801656
"z","block",0.0963698414925233,0.00089263616342486,NA,0.0946344377482648,0.0981336196064086
"knn","block",0.0784210984576862,0.00078161326962909,NA,0.0769027893796507,0.0799667870416486
"wsld","block",0.0761294090390487,0.000766817995850441,NA,0.0746400202502586,0.0776460237771883
"COSNet","block",0.0516912668495611,0.000598512772281326,NA,0.0505307095879955,0.0528769946103845
"bagsvm","block",0.100912796624242,0.000919475221500823,NA,0.0991248897920076,0.102729274408664
"rf","block",0.124010152514624,0.00104893046138113,NA,0.12196887254733,0.126080689862534
"svm","block",0.0918358048803916,0.000865361863733986,NA,0.0901537466895016,0.0935460196680848
"pr","representative",0.011389431116389,0.000249219042922804,NA,0.0109111829721524,0.011888389403982
"randomraw","representative",0.00839735601715435,0.000211037871099996,NA,0.0079936703265985,0.0088212468221568
"random","representative",0.00577644522362258,0.000172794214614669,NA,0.00544745826538925,0.0061251782431302
"EGAD","representative",0.0428749333194422,0.00053992071146358,NA,0.0418290944972995,0.0439457216076495
"ppr","representative",0.0758518412156096,0.000772257553237239,NA,0.0743520383066733,0.0773793685811541
"raw","representative",0.107961131510728,0.000966063149857006,NA,0.10608222532348,0.109869226277061
"gm","representative",0.0582508341241758,0.000653538722909483,NA,0.0569830561491294,0.0595450370334651
"mc","representative",0.0485460625842385,0.000583111952723063,NA,0.0474158666464731,0.0497017920959125
"z","representative",0.101790395804726,0.000930769806988075,NA,0.0999805604754303,0.103629220357627
"knn","representative",0.0829247290975445,0.000817237018138696,NA,0.0813369803936292,0.0845406194178246
"wsld","representative",0.0805129285793006,0.000802058493014929,NA,0.0789548600396992,0.0820990028820937
"COSNet","representative",0.054751033089307,0.000628602922253266,NA,0.0535319731035608,0.0559962117494844
"bagsvm","representative",0.106558747618337,0.000958117003224,NA,0.104695393826968,0.108451247885605
"rf","representative",0.130760429462857,0.00108946250627021,NA,0.128639894068208,0.132910588503994
"svm","representative",0.09702871537716,0.000902939387366532,NA,0.0952733345936202,0.0988129061099619
