cv_scheme = classic:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.036213914 0.0007543597 Inf 0.034764097 0.037721832
 randomraw 0.026877594 0.0006508615 Inf 0.025630944 0.028183127
 random    0.018596964 0.0005419899 Inf 0.017563920 0.019689550
 EGAD      0.127476449 0.0013773755 Inf 0.124801163 0.130200552
 ppr       0.211167605 0.0017000534 Inf 0.207854812 0.214518899
 raw       0.283016074 0.0018762938 Inf 0.279353110 0.286707959
 gm        0.167870974 0.0015518918 Inf 0.164851279 0.170934661
 mc        0.142669898 0.0014477411 Inf 0.139855831 0.145531007
 z         0.269866700 0.0018498003 Inf 0.266256547 0.273507556
 knn       0.227748641 0.0017478641 Inf 0.224341068 0.231192545
 wsld      0.222145054 0.0017322185 Inf 0.218768510 0.225558666
 COSNet    0.158896269 0.0015164687 Inf 0.155946543 0.161891088
 bagsvm    0.280053667 0.0018705364 Inf 0.276402187 0.283734470
 rf        0.329143110 0.0019507600 Inf 0.325331063 0.332977778
 svm       0.259514193 0.0018272093 Inf 0.255949010 0.263111475

cv_scheme = block:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.010725436 0.0002352417 Inf 0.010274039 0.011196441
 randomraw 0.007906401 0.0001990534 Inf 0.007525661 0.008306243
 random    0.005437883 0.0001628710 Inf 0.005127803 0.005766604
 EGAD      0.040450462 0.0005130010 Inf 0.039456882 0.041467982
 ppr       0.071702305 0.0007378015 Inf 0.070269628 0.073161893
 raw       0.102249380 0.0009272809 Inf 0.100446202 0.104081183
 gm        0.055006863 0.0006226221 Inf 0.053799217 0.056240006
 mc        0.045816254 0.0005546031 Inf 0.044741445 0.046915614
 z         0.096369841 0.0008926362 Inf 0.094634438 0.098133620
 knn       0.078421098 0.0007816133 Inf 0.076902789 0.079966787
 wsld      0.076129409 0.0007668180 Inf 0.074640020 0.077646024
 COSNet    0.051691267 0.0005985128 Inf 0.050530710 0.052876995
 bagsvm    0.100912797 0.0009194752 Inf 0.099124890 0.102729274
 rf        0.124010153 0.0010489305 Inf 0.121968873 0.126080690
 svm       0.091835805 0.0008653619 Inf 0.090153747 0.093546020

cv_scheme = representative:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.011389431 0.0002492190 Inf 0.010911183 0.011888389
 randomraw 0.008397356 0.0002110379 Inf 0.007993670 0.008821247
 random    0.005776445 0.0001727942 Inf 0.005447458 0.006125178
 EGAD      0.042874933 0.0005399207 Inf 0.041829094 0.043945722
 ppr       0.075851841 0.0007722576 Inf 0.074352038 0.077379369
 raw       0.107961132 0.0009660631 Inf 0.106082225 0.109869226
 gm        0.058250834 0.0006535387 Inf 0.056983056 0.059545037
 mc        0.048546063 0.0005831120 Inf 0.047415867 0.049701792
 z         0.101790396 0.0009307698 Inf 0.099980560 0.103629220
 knn       0.082924729 0.0008172370 Inf 0.081336980 0.084540619
 wsld      0.080512929 0.0008020585 Inf 0.078954860 0.082099003
 COSNet    0.054751033 0.0006286029 Inf 0.053531973 0.055996212
 bagsvm    0.106558748 0.0009581170 Inf 0.104695394 0.108451248
 rf        0.130760429 0.0010894625 Inf 0.128639894 0.132910589
 svm       0.097028715 0.0009029394 Inf 0.095273335 0.098812906

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
