"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.683486424015106,0.00131811544736921,Inf,0.680897322725926,0.686064203737283
"randomraw",0.608627977779327,0.00138658519504199,Inf,0.605906977974765,0.611342241452544
"random",0.499125065279334,0.0014223926003277,Inf,0.496337283099602,0.501912901858343
"EGAD",0.70926019210982,0.00128538944681186,Inf,0.706734449240818,0.711773053544972
"ppr",0.836329099969054,0.00103833714863284,Inf,0.834283807004359,0.838354040629452
"raw",0.853135502051232,0.000991913592456485,Inf,0.851180715406527,0.85506898396693
"gm",0.529388862070525,0.00141979530460043,Inf,0.526605229589785,0.532170667652701
"mc",0.859825031468273,0.000972238548985072,Inf,0.857908616467713,0.861719765502551
"z",0.855112937601218,0.000986172161649456,Inf,0.85316934750176,0.857035111581327
"knn",0.852075743408359,0.000994965369138301,Inf,0.850115005670133,0.854015236174004
"wsld",0.851413209940514,0.00099686441424777,Inf,0.849448769080522,0.85335644320706
"COSNet",0.56443539200731,0.00140987654217495,Inf,0.561670111127698,0.567196670333988
"bagsvm",0.857900837417551,0.000977971860520399,Inf,0.855973240125146,0.859806861793678
"rf",0.825216809250933,0.00106686513667783,Inf,0.823115923555945,0.827297977760481
"svm",0.774207308178365,0.00117903221988748,Inf,0.771888074475044,0.776509789272395
