"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.765977618878142,0.00123808365710869,Inf,0.763542288142876,0.76839547570137
"randomraw","classic","string",0.702126392147963,0.00138867379600275,Inf,0.699397501924565,0.704840964017021
"random","classic","string",0.601662205778469,0.00155354550827378,Inf,0.598613415732025,0.604703130467525
"EGAD","classic","string",0.787126225790014,0.00117964752526713,Inf,0.784804999422403,0.789429131964206
"ppr","classic","string",0.885650213573682,0.00084061358449323,Inf,0.883992275985433,0.887287477714209
"raw","classic","string",0.89800973534093,0.000788479357922663,Inf,0.896453932780087,0.899544781133132
"gm","classic","string",0.630319250311832,0.00151510733053381,Inf,0.627344794845107,0.633283842448076
"mc","classic","string",0.902887953697219,0.000767130918402131,Inf,0.901373982284501,0.904381150067764
"z","classic","string",0.899454176305908,0.00078220578588697,Inf,0.897910666025743,0.900976923532415
"knn","classic","string",0.897234779851929,0.000791828980030024,Inf,0.895672414282984,0.89877639232559
"wsld","classic","string",0.89674999885909,0.000793918669773381,Inf,0.895183538958891,0.898295708068626
"COSNet","classic","string",0.662639346204931,0.00146360931259447,Inf,0.659764764792732,0.665501954135587
"bagsvm","classic","string",0.901487160707222,0.000773308380448986,Inf,0.899961084433774,0.9029924663254
"rf","classic","string",0.877395635378658,0.000873993312003528,Inf,0.875672319797386,0.879098361962502
"svm","classic","string",0.838636520757852,0.00101744987719543,Inf,0.836632390948061,0.840620748321421
"pr","block","string",0.677966567750028,0.00148041556195598,Inf,0.675058170542616,0.680861239959371
"randomraw","block","string",0.602561753172593,0.00156601040845332,Inf,0.599488431394611,0.605627005972367
"random","block","string",0.492776054809694,0.00160578631535181,Inf,0.489629099298412,0.495923582873468
"EGAD","block","string",0.703995156432274,0.00143921831354846,Inf,0.70116657276977,0.706808161763082
"ppr","block","string",0.832822782657111,0.00113397215506488,Inf,0.830588414486471,0.835033534730385
"raw","block","string",0.849924619775687,0.00107824728977748,Inf,0.8477990190818,0.852025716169974
"gm","block","string",0.523056900282615,0.00160462570135965,Inf,0.519911018936245,0.526200953328332
"mc","block","string",0.856735841956851,0.00105480167733923,Inf,0.854656020789869,0.858790818913138
"z","block","string",0.851937784760069,0.00107139497198849,Inf,0.849825562816824,0.85402540110067
"knn","block","string",0.848845796780623,0.00108189308982796,Inf,0.84671307821083,0.85095406562419
"wsld","block","string",0.848171374543468,0.00108416302289697,Inf,0.846034224390159,0.850284109188123
"COSNet","block","string",0.558181431748163,0.00159395484327355,Inf,0.555055075231227,0.561303183241284
"bagsvm","block","string",0.854776404591074,0.00106162315194439,Inf,0.852683262957593,0.856844798972637
"rf","block","string",0.821523236451545,0.00116849499846609,Inf,0.819221515651962,0.82380195427555
"svm","block","string",0.769736570893591,0.00130619958741388,Inf,0.767166498161928,0.77228669515963
"pr","representative","string",0.724625099741841,0.00136391991626267,Inf,0.72194383735427,0.727290273634445
"randomraw","representative","string",0.654579143283328,0.00148783795182973,Inf,0.651657249818512,0.657489409757987
