"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.729024104680609,0.00131162655230063,NA,0.726445715767673,0.731587170486927
"randomraw","classic",0.659571419357684,0.00143149414606147,NA,0.656760173601957,0.662371476841279
"random","classic",0.553874179190383,0.00153987835406795,NA,0.550854123329999,0.556890263129942
"EGAD","classic",0.752432864446529,0.00126178036634274,NA,0.749951541087759,0.754897612139728
"ppr","classic",0.864244560825781,0.000945226614029821,NA,0.862381272666468,0.866086538488972
"raw","classic",0.878600578621545,0.000892917971893775,NA,0.876839591777635,0.880339822451229
"gm","classic",0.583589768159929,0.00151807777249817,NA,0.580611379378364,0.586562066792968
"mc","classic",0.884287520259588,0.000871236889732867,NA,0.882568945856333,0.885984192904794
"z","classic",0.880283256920227,0.000886562324345427,NA,0.878534702375021,0.88201002072504
"knn","classic",0.877698231203643,0.000896306063767312,NA,0.875930617108951,0.879444128137703
"wsld","classic",0.877133909593975,0.000898417864158128,NA,0.875362164801161,0.878883953486816
"COSNet","classic",0.617516212104484,0.0014849651888569,NA,0.614601549954172,0.620422445080543
"bagsvm","classic",0.882653295987512,0.00087752613211794,NA,0.880922418010813,0.884362317078293
"rf","classic",0.854698281706595,0.000978237974879924,NA,0.852770451889472,0.856605113110006
"svm","classic",0.810315061677201,0.00111570448467535,NA,0.808118661396541,0.812492154084326
"pr","block",0.633760432766591,0.00151418274759378,NA,0.63078764535787,0.636723069159988
"randomraw","block",0.55480179082673,0.00155272442868251,NA,0.551756489142524,0.557842982834345
"random","block",0.4439967099945,0.0015276000913215,NA,0.441004737733121,0.446992749418241
"EGAD","block",0.661578478692146,0.0014888016002013,NA,0.658654364797602,0.664490303103072
"ppr","block",0.803719753294922,0.00124760335319098,NA,0.801262978884284,0.806153504633123
"raw","block",0.823166618759055,0.00119704872091034,NA,0.820808213063812,0.825500583548165
"gm","block",0.474081699617976,0.00154340042672273,NA,0.471057678388377,0.477107623273881
"mc","block",0.830950714616721,0.0011753132184956,NA,0.828634625042814,0.833241800652732
"z","block",0.825465015294315,0.00119072395586812,NA,0.823118921722738,0.827786501530607
"knn","block",0.821935743455116,0.00120040439120569,NA,0.819570805897265,0.824276329338176
"wsld","block",0.821166549181179,0.00120249035414468,NA,0.818797551429455,0.823511251056269
"COSNet","block",0.509430249056407,0.00155342843322328,NA,0.506385273104155,0.512474525431521
"bagsvm","block",0.828709121590111,0.00118166470580988,NA,0.826380665180018,0.831012736184854
"rf","block",0.790946898325993,0.00127810055690314,NA,0.788430825015437,0.793440888648396
"svm","block",0.733169849089985,0.00139258599084597,NA,0.730431567100474,0.735890373097091
"pr","representative",0.683837005450011,0.00142097635434166,NA,0.681045370640993,0.68661544980919
"randomraw","representative",0.609014043335264,0.00150513118634248,NA,0.606060088684047,0.611960029817216
"random","representative",0.49953032657745,0.00155019177717237,NA,0.496492061264235,0.502568626575746
"EGAD","representative",0.709594355312133,0.00138126824038753,NA,0.70687968340995,0.712294118595639
"ppr","representative",0.836550872524114,0.00109075656961529,NA,0.834401764081356,0.838677482550965
"raw","representative",0.853338495553122,0.00103787191853362,NA,0.851292599254561,0.85536102703464
"gm","representative",0.529792704687933,0.00154673973781219,NA,0.526760088429057,0.532823122760001
"mc","representative",0.860020295899442,0.00101561255819974,NA,0.858017857146764,0.861999035592378
"z","representative",0.855313661456061,0.0010313669665172,NA,0.853280464070581,0.857323394579538
"knn","representative",0.852279948063866,0.00104133269513302,NA,0.850227295968663,0.854309288857147
"wsld","representative",0.851618169931106,0.00104348736038271,NA,0.849561311812043,0.853651750282183
"COSNet","representative",0.564833881887561,0.00153419235076767,NA,0.561824570837203,0.56783842312379
"bagsvm","representative",0.858098339897502,0.00102208957779082,NA,0.856083255015987,0.860089821227764
"rf","representative",0.825450496313329,0.00112351244754487,NA,0.823237488067108,0.827641599165052
"svm","representative",0.774490558219551,0.00125426473517576,NA,0.772022750815014,0.776939370449176
