cv_scheme = classic:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.7290241 0.0013116266 Inf 0.7264457 0.7315872
 randomraw 0.6595714 0.0014314941 Inf 0.6567602 0.6623715
 random    0.5538742 0.0015398784 Inf 0.5508541 0.5568903
 EGAD      0.7524329 0.0012617804 Inf 0.7499515 0.7548976
 ppr       0.8642446 0.0009452266 Inf 0.8623813 0.8660865
 raw       0.8786006 0.0008929180 Inf 0.8768396 0.8803398
 gm        0.5835898 0.0015180778 Inf 0.5806114 0.5865621
 mc        0.8842875 0.0008712369 Inf 0.8825689 0.8859842
 z         0.8802833 0.0008865623 Inf 0.8785347 0.8820100
 knn       0.8776982 0.0008963061 Inf 0.8759306 0.8794441
 wsld      0.8771339 0.0008984179 Inf 0.8753622 0.8788840
 COSNet    0.6175162 0.0014849652 Inf 0.6146015 0.6204224
 bagsvm    0.8826533 0.0008775261 Inf 0.8809224 0.8843623
 rf        0.8546983 0.0009782380 Inf 0.8527705 0.8566051
 svm       0.8103151 0.0011157045 Inf 0.8081187 0.8124922

cv_scheme = block:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.6337604 0.0015141827 Inf 0.6307876 0.6367231
 randomraw 0.5548018 0.0015527244 Inf 0.5517565 0.5578430
 random    0.4439967 0.0015276001 Inf 0.4410047 0.4469927
 EGAD      0.6615785 0.0014888016 Inf 0.6586544 0.6644903
 ppr       0.8037198 0.0012476034 Inf 0.8012630 0.8061535
 raw       0.8231666 0.0011970487 Inf 0.8208082 0.8255006
 gm        0.4740817 0.0015434004 Inf 0.4710577 0.4771076
 mc        0.8309507 0.0011753132 Inf 0.8286346 0.8332418
 z         0.8254650 0.0011907240 Inf 0.8231189 0.8277865
 knn       0.8219357 0.0012004044 Inf 0.8195708 0.8242763
 wsld      0.8211665 0.0012024904 Inf 0.8187976 0.8235113
 COSNet    0.5094302 0.0015534284 Inf 0.5063853 0.5124745
 bagsvm    0.8287091 0.0011816647 Inf 0.8263807 0.8310127
 rf        0.7909469 0.0012781006 Inf 0.7884308 0.7934409
 svm       0.7331698 0.0013925860 Inf 0.7304316 0.7358904

cv_scheme = representative:
 method         prob           SE  df asymp.LCL asymp.UCL
 pr        0.6838370 0.0014209764 Inf 0.6810454 0.6866154
 randomraw 0.6090140 0.0015051312 Inf 0.6060601 0.6119600
 random    0.4995303 0.0015501918 Inf 0.4964921 0.5025686
 EGAD      0.7095944 0.0013812682 Inf 0.7068797 0.7122941
 ppr       0.8365509 0.0010907566 Inf 0.8344018 0.8386775
 raw       0.8533385 0.0010378719 Inf 0.8512926 0.8553610
 gm        0.5297927 0.0015467397 Inf 0.5267601 0.5328231
 mc        0.8600203 0.0010156126 Inf 0.8580179 0.8619990
 z         0.8553137 0.0010313670 Inf 0.8532805 0.8573234
 knn       0.8522799 0.0010413327 Inf 0.8502273 0.8543093
 wsld      0.8516182 0.0010434874 Inf 0.8495613 0.8536518
 COSNet    0.5648339 0.0015341924 Inf 0.5618246 0.5678384
 bagsvm    0.8580983 0.0010220896 Inf 0.8560833 0.8600898
 rf        0.8254505 0.0011235124 Inf 0.8232375 0.8276416
 svm       0.7744906 0.0012542647 Inf 0.7720228 0.7769394

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
