"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.151738793441771,0.00152499485485776,NA,0.148773968651202,0.154751960962601
"randomraw","classic",0.0915520353626775,0.00122670680473595,NA,0.0891759552140264,0.0939848930367652
"random","classic",0.0698122784500176,0.00108361975255161,NA,0.0677180739736214,0.0719662475436691
"EGAD","classic",0.38803295860828,0.00202054567798515,NA,0.38408023432039,0.392000471884324
"ppr","classic",0.529267859130333,0.00199912723342927,NA,0.525347918241848,0.533184193146068
"raw","classic",0.584159176881732,0.00193729271944639,NA,0.580357228921096,0.587951135362155
"gm","classic",0.236412247048607,0.0017974621036023,NA,0.232907426226683,0.239953311016728
"mc","classic",0.517608844090565,0.00200845892620302,NA,0.513671325378402,0.521544177236593
"z","classic",0.558508221839892,0.00196986177690713,NA,0.554643902503684,0.562365467502578
"knn","classic",0.535222926620845,0.00199384627953289,NA,0.531312976631541,0.539128552090994
"wsld","classic",0.532400861820566,0.00199639222966466,NA,0.528486091913483,0.536311646581425
"COSNet","classic",0.283166960803082,0.00189737082007862,NA,0.279462999958323,0.286900466242403
"bagsvm","classic",0.572110679592296,0.00195339401637999,NA,0.568277853196096,0.575934870700658
"rf","classic",0.569209433207388,0.00195705848397035,NA,0.565369590244189,0.57304097109475
"svm","classic",0.507854397258975,0.00201523960155287,NA,0.503904192114732,0.511803621916933
"pr","block",0.0723429498403903,0.000814763220512917,NA,0.0707622040618904,0.0739561972361715
"randomraw","block",0.0420858663998715,0.000605186783919252,NA,0.0409155736726297,0.0432881217503324
"random","block",0.0316825911481438,0.000519313260384237,NA,0.0306804189723483,0.0327163942597536
"EGAD","block",0.216563837961007,0.00148229563882234,NA,0.213672694495908,0.219483181519792
"ppr","block",0.328933939905946,0.0017979660622235,NA,0.325419663257567,0.332467463589525
"raw","block",0.379812272350706,0.00189554620013158,NA,0.376104176063598,0.383534453300263
"gm","block",0.118923185323346,0.0010740531843908,NA,0.116834143886177,0.121044460167534
"mc","block",0.31870021010473,0.00177506191626803,NA,0.315231303884053,0.322189328589706
"z","block",0.355464131819259,0.00185219872458949,NA,0.351842259520402,0.359102631283047
"knn","block",0.334235404347246,0.00180939401857084,NA,0.330698475954713,0.337791069554235
"wsld","block",0.331716732371297,0.00180400176664161,NA,0.328190493399448,0.33526195141184
"COSNet","block",0.146912828500827,0.00120664698139032,NA,0.144563566262857,0.149293605132194
"bagsvm","block",0.368246167850873,0.00187571426402724,NA,0.364577550051326,0.371930093721917
"rf","block",0.365495670706214,0.00187079626137391,NA,0.361836834660494,0.369170101647493
"svm","block",0.310283147921138,0.00175538327802763,NA,0.306853195076502,0.31373408689331
"pr","representative",0.0952276333714281,0.00103629485293872,NA,0.0932158226711761,0.0972782055840871
"randomraw","representative",0.0559767014614998,0.00078815399797287,NA,0.0544518491910924,0.0575416565969451
"random","representative",0.0422913233015571,0.000682074309985216,NA,0.040974495358544,0.0436485450039038
"EGAD","representative",0.271708154244777,0.00170678416250544,NA,0.268375858458129,0.275066269746707
"ppr","representative",0.398149920890787,0.00193294615805325,NA,0.394367585341024,0.401944456870632
"raw","representative",0.452514982686105,0.0019786112817086,NA,0.448639935252342,0.456395794877374
"gm","representative",0.154095211375093,0.00132026785941205,NA,0.151525265691755,0.156700694665433
"mc","representative",0.387004645048147,0.0019198758198432,NA,0.38324856831736,0.390774209633342
"z","representative",0.426712894670957,0.00196065652917703,NA,0.42287457627751,0.430560060788271
"knn","representative",0.403895522209282,0.00193918681597434,NA,0.400100622017695,0.407701954294822
"wsld","representative",0.401168225137089,0.00193626658508162,NA,0.397379206849269,0.404969093052614
"COSNet","representative",0.188591023086329,0.00145466456958212,NA,0.185756461180091,0.191458668511435
"bagsvm","representative",0.440306736559987,0.00197094844655088,NA,0.436447438813856,0.444173263322596
"rf","representative",0.437390648400756,0.0019688971288683,NA,0.433535544976834,0.44125332917932
"svm","representative",0.377783926796931,0.00190809426306306,NA,0.374051466985819,0.381530929566836
