cv_scheme = classic:
 method          prob           SE df  asymp.LCL  asymp.UCL
 pr        0.15173879 0.0015249949 NA 0.14877397 0.15475196
 randomraw 0.09155204 0.0012267068 NA 0.08917596 0.09398489
 random    0.06981228 0.0010836198 NA 0.06771807 0.07196625
 EGAD      0.38803296 0.0020205457 NA 0.38408023 0.39200047
 ppr       0.52926786 0.0019991272 NA 0.52534792 0.53318419
 raw       0.58415918 0.0019372927 NA 0.58035723 0.58795114
 gm        0.23641225 0.0017974621 NA 0.23290743 0.23995331
 mc        0.51760884 0.0020084589 NA 0.51367133 0.52154418
 z         0.55850822 0.0019698618 NA 0.55464390 0.56236547
 knn       0.53522293 0.0019938463 NA 0.53131298 0.53912855
 wsld      0.53240086 0.0019963922 NA 0.52848609 0.53631165
 COSNet    0.28316696 0.0018973708 NA 0.27946300 0.28690047
 bagsvm    0.57211068 0.0019533940 NA 0.56827785 0.57593487
 rf        0.56920943 0.0019570585 NA 0.56536959 0.57304097
 svm       0.50785440 0.0020152396 NA 0.50390419 0.51180362

cv_scheme = block:
 method          prob           SE df  asymp.LCL  asymp.UCL
 pr        0.07234295 0.0008147632 NA 0.07076220 0.07395620
 randomraw 0.04208587 0.0006051868 NA 0.04091557 0.04328812
 random    0.03168259 0.0005193133 NA 0.03068042 0.03271639
 EGAD      0.21656384 0.0014822956 NA 0.21367269 0.21948318
 ppr       0.32893394 0.0017979661 NA 0.32541966 0.33246746
 raw       0.37981227 0.0018955462 NA 0.37610418 0.38353445
 gm        0.11892319 0.0010740532 NA 0.11683414 0.12104446
 mc        0.31870021 0.0017750619 NA 0.31523130 0.32218933
 z         0.35546413 0.0018521987 NA 0.35184226 0.35910263
 knn       0.33423540 0.0018093940 NA 0.33069848 0.33779107
 wsld      0.33171673 0.0018040018 NA 0.32819049 0.33526195
 COSNet    0.14691283 0.0012066470 NA 0.14456357 0.14929361
 bagsvm    0.36824617 0.0018757143 NA 0.36457755 0.37193009
 rf        0.36549567 0.0018707963 NA 0.36183683 0.36917010
 svm       0.31028315 0.0017553833 NA 0.30685320 0.31373409

cv_scheme = representative:
 method          prob           SE df  asymp.LCL  asymp.UCL
 pr        0.09522763 0.0010362949 NA 0.09321582 0.09727821
 randomraw 0.05597670 0.0007881540 NA 0.05445185 0.05754166
 random    0.04229132 0.0006820743 NA 0.04097450 0.04364855
 EGAD      0.27170815 0.0017067842 NA 0.26837586 0.27506627
 ppr       0.39814992 0.0019329462 NA 0.39436759 0.40194446
 raw       0.45251498 0.0019786113 NA 0.44863994 0.45639579
 gm        0.15409521 0.0013202679 NA 0.15152527 0.15670069
 mc        0.38700465 0.0019198758 NA 0.38324857 0.39077421
 z         0.42671289 0.0019606565 NA 0.42287458 0.43056006
 knn       0.40389552 0.0019391868 NA 0.40010062 0.40770195
 wsld      0.40116823 0.0019362666 NA 0.39737921 0.40496909
 COSNet    0.18859102 0.0014546646 NA 0.18575646 0.19145867
 bagsvm    0.44030674 0.0019709484 NA 0.43644744 0.44417326
 rf        0.43739065 0.0019688971 NA 0.43353554 0.44125333
 svm       0.37778393 0.0019080943 NA 0.37405147 0.38153093

Results are averaged over the levels of: disease, network 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
