"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0573315983311002,0.00080160634853018,NA,0.055780547995875,0.0589230862079986
"randomraw",0.0271890573783295,0.000551901530974425,NA,0.0261280148313872,0.0282919364509813
"random",0.0220571360107854,0.000496904398742532,NA,0.0211039521017772,0.0230523577134873
"EGAD",0.180558353133568,0.0013867942607439,NA,0.177856219389215,0.18329238731959
"ppr",0.290618880618235,0.00167328421493481,NA,0.287350259956177,0.293909347996809
"raw",0.335343199528895,0.00174963598512275,NA,0.331922708651105,0.338781064412074
"gm",0.142444911876038,0.0012463151432271,NA,0.140019601030489,0.144905153573128
"mc",0.252041137994038,0.0015901076489928,NA,0.248937378068589,0.255170448292031
"z",0.317333816075162,0.00172136225028145,NA,0.313969646491228,0.320717180746633
"knn",0.300447516348725,0.00169184483190937,NA,0.297142036633126,0.303773874681937
"wsld",0.296440462079984,0.00168440225448,NA,0.293149766181884,0.299752432377004
"COSNet",0.159732009323877,0.00131327049952917,NA,0.157174811800688,0.162322798993077
"bagsvm",0.329365373855662,0.0017406116371379,NA,0.325962872463471,0.332785856459191
"rf",0.364709763315587,0.00178889849141696,NA,0.361210816850346,0.368223065657027
"svm",0.310332104875343,0.00170948200281507,NA,0.306991568666198,0.313692537206781
