"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.113797161901396,0.00152566962684786,Inf,0.110840973533175,0.116821834626717
"randomraw","classic","string",0.0557222513112638,0.00110815095029619,Inf,0.0535897262991056,0.0579344423030233
"random","classic","string",0.0454563566255205,0.00100707713720377,Inf,0.0435228353284728,0.047471512230977
"EGAD","classic","string",0.317510813985287,0.00215910210468909,Inf,0.313294212429362,0.321757575676804
"ppr","classic","string",0.463801981474024,0.00221382730206827,Inf,0.459465808273686,0.468143635156777
"raw","classic","string",0.515799248331352,0.00217329191864344,Inf,0.511538629649378,0.520057571543723
"gm","classic","string",0.259648610663194,0.00205950806284901,Inf,0.255632466133973,0.26370549838488
"mc","classic","string",0.415707145440382,0.00222428725521266,Inf,0.411354324783148,0.42007315650772
"z","classic","string",0.495320799254827,0.00219281541199249,Inf,0.491023411598999,0.499618878389092
"knn","classic","string",0.475561148746197,0.00220727923501018,Inf,0.471236902507008,0.479889062725841
"wsld","classic","string",0.470790363559011,0.00221012208768323,Inf,0.466460911637093,0.475124215026117
"COSNet","classic","string",0.286409015374118,0.0021117792753245,Inf,0.282287970770116,0.290565865379249
"bagsvm","classic","string",0.50906840539156,0.00218021517536139,Inf,0.504794703634347,0.51334078208267
"rf","classic","string",0.54794084322785,0.00213343984021032,Inf,0.543756090668258,0.55211882805218
"svm","classic","string",0.487194609176605,0.00219928643690596,Inf,0.482885145989618,0.49150597697344
"pr","block","string",0.0469722004539415,0.000693010769076033,Inf,0.0456324429757418,0.0483493001356647
"randomraw","block","string",0.0221482271188923,0.000462061116719786,Inf,0.0212604720268399,0.0230721775844158
"random","block","string",0.017950203880526,0.000413588722889341,Inf,0.0171573008328861,0.0187790498104016
"EGAD","block","string",0.151511544914961,0.00132967618050724,Inf,0.148923797643515,0.1541361141221
"ppr","block","string",0.2492519867437,0.00172025485838725,Inf,0.245895604094517,0.252638834436921
"raw","block","string",0.290214643933449,0.00184301389427866,Inf,0.286615734948606,0.293840129298438
"gm","block","string",0.118641769163041,0.00116154363893341,Inf,0.116384020373313,0.1209373217925
"mc","block","string",0.214504985056377,0.001598079214509,Inf,0.211389431882381,0.217653783335422
"z","block","string",0.273631093382681,0.0017959992859561,Inf,0.270125146842905,0.277165263811493
"knn","block","string",0.258190801841066,0.00174895801968045,Inf,0.254777769145118,0.261633504003246
"wsld","block","string",0.254542258188763,0.00173737379373143,Inf,0.25115209241792,0.257962421913905
"COSNet","block","string",0.13348979166916,0.00124020827578988,Inf,0.131077695002316,0.135939331588127
"bagsvm","block","string",0.28469669952545,0.00182776910408416,Inf,0.281127946429521,0.288292587675906
"rf","block","string",0.317517150031456,0.00191269601829914,Inf,0.313780224918651,0.321277743270448
"svm","block","string",0.267216204584974,0.00177684214621804,Inf,0.263748107663403,0.270713136676608
"pr","representative","string",0.0636326265264698,0.000914450749375919,Inf,0.0618636885668038,0.065448616942257
"randomraw","representative","string",0.0302836960571983,0.000623591428198595,Inf,0.0290850842989446,0.0315300991440404
"random","representative","string",0.0245824233359223,0.000560383594049558,Inf,0.0235076839340606,0.0257050049272249
"EGAD","representative","string",0.19756422751599,0.0016130831748568,Inf,0.194421700633979,0.200744890937111
"ppr","representative","string",0.314018423751241,0.00194759853543766,Inf,0.310213839158152,0.317848168271933
"raw","representative","string",0.360513699903268,0.00203067785745107,Inf,0.356543304008244,0.364503263397816
"gm","representative","string",0.15654685642651,0.00144477873989477,Inf,0.153735954012893,0.159399472790172
"mc","representative","string",0.273532249246257,0.00185284453825647,Inf,0.26991580885516,0.277178748247508
"z","representative","string",0.341847794303017,0.00200053644045667,Inf,0.33793769091954,0.345779510761298
"knn","representative","string",0.32427667078776,0.00196824171898979,Inf,0.320430984445891,0.328146224774629
"wsld","representative","string",0.320097229124292,0.00195999186126122,Inf,0.316267974866406,0.323950879777831
"COSNet","representative","string",0.175195728591475,0.00152510297435982,Inf,0.17222663642987,0.178204986926894
"bagsvm","representative","string",0.354326379795986,0.0020211572283461,Inf,0.350375049948071,0.358297693156133
"rf","representative","string",0.390788501941459,0.00207063223123378,Inf,0.386737776667391,0.39485433744588
"svm","representative","string",0.33457028444303,0.00198762644124755,Inf,0.330685951377328,0.338477170344226
"pr","classic","omnipath",0.0769456864182367,0.0010825145820941,Inf,0.0748506292245211,0.0790943705560985
"randomraw","classic","omnipath",0.0368944885732318,0.00075158041174344,Inf,0.0354493691727128,0.0383961742178184
"random","classic","omnipath",0.0299871404182125,0.000677570649095999,Inf,0.0286872459506569,0.0313440357766226
"EGAD","classic","omnipath",0.23195680589356,0.00179276129452129,Inf,0.228461649380646,0.235489113116024
"ppr","classic","omnipath",0.359598813757684,0.00206157726757413,Inf,0.355568229209409,0.363649305321813
"raw","classic","omnipath",0.408820875174706,0.00210977280338559,Inf,0.404692337730039,0.412962313539648
"gm","classic","omnipath",0.185449215821919,0.00163524157491703,Inf,0.182265567905398,0.188675642123209
"mc","classic","omnipath",0.315942599783571,0.00199402204772227,Inf,0.312047458969281,0.319863755355361
"z","classic","omnipath",0.389175961037505,0.00209400867728862,Inf,0.385079718813074,0.393287908155355
"knn","classic","omnipath",0.370541760465955,0.00207480773740055,Inf,0.366484472523545,0.374617404817088
"wsld","classic","omnipath",0.366089083981778,0.00206960006910348,Inf,0.362042317456506,0.370154838553024
"COSNet","classic","omnipath",0.206697370278505,0.00171175516688587,Inf,0.203362520949389,0.210072485462406
"bagsvm","classic","omnipath",0.402326084856102,0.00210506550549401,Inf,0.398207236135624,0.406458762023947
"rf","classic","omnipath",0.44035887401454,0.00212562398228621,Inf,0.43619702282513,0.444529125764689
"svm","classic","omnipath",0.381474889249625,0.00208657851257515,Inf,0.37739375666955,0.385572823900337
"pr","block","omnipath",0.0310038838063465,0.000470101935438979,Inf,0.0300956361150877,0.0319386386535709
"randomraw","block","omnipath",0.0144905694624356,0.000306544087040962,Inf,0.0139018660358664,0.015103820915169
"random","block","omnipath",0.0117265892844043,0.000273302956771804,Inf,0.0112028389427534,0.0122745218173033
"EGAD","block","omnipath",0.103878445167606,0.000979613265204267,Inf,0.101974065347536,0.105814198981065
"ppr","block","omnipath",0.177312066825951,0.00136203183675928,Inf,0.174658279053991,0.179997382923406
"raw","block","omnipath",0.20975517179671,0.00150377796945792,Inf,0.206823030754262,0.212717733766306
"gm","block","omnipath",0.080363710035749,0.000834736163565655,Inf,0.078742781099679,0.0820150354733664
"mc","block","omnipath",0.150582318944826,0.00123347475662573,Inf,0.1481806854935,0.153015884636778
"z","block","omnipath",0.196496457121618,0.00144766120190504,Inf,0.193674560622244,0.199349304346681
"knn","block","omnipath",0.184304294788781,0.00139386219666544,Inf,0.181588032601418,0.187051901472079
"wsld","block","omnipath",0.181444470481454,0.00138093080800977,Inf,0.178753591251475,0.184166773162305
"COSNet","block","omnipath",0.0909153898230227,0.000901398377199798,Inf,0.0891640626795749,0.0926976150318208
"bagsvm","block","omnipath",0.205324492921431,0.00148529755044812,Inf,0.202428664699233,0.20825093059346
"rf","block","omnipath",0.231962014935915,0.00159239030360565,Inf,0.228855653079529,0.235097686356468
"svm","block","omnipath",0.191413351666683,0.00142549125641295,Inf,0.188634992326149,0.194222837022102
"pr","representative","omnipath",0.0422516540534943,0.000627165155302279,Inf,0.0410393824260044,0.0434981109384536
"randomraw","representative","omnipath",0.019870391226056,0.000415875524391119,Inf,0.019071460999473,0.0207020834248819
"random","representative","omnipath",0.0160970067366796,0.000371879103254387,Inf,0.015384138136748,0.0168423431249967
"EGAD","representative","omnipath",0.137804256342827,0.00122761819456111,Inf,0.135415769511169,0.14022803883611
"ppr","representative","omnipath",0.229089573919968,0.00161742615712449,Inf,0.225934902237077,0.232275075957891
