cv_scheme = classic:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.09376064 0.0012745892 Inf 0.09129215 0.09628881
 randomraw 0.04538741 0.0009087373 Inf 0.04363924 0.04720216
 random    0.03695103 0.0008231622 Inf 0.03537110 0.03859871
 EGAD      0.27264089 0.0019298244 Inf 0.26887495 0.27643964
 ppr       0.41069916 0.0020837365 Inf 0.40662136 0.41478928
 raw       0.46187118 0.0020853266 Inf 0.45778667 0.46596082
 gm        0.22031602 0.0018050183 Inf 0.21679864 0.22387416
 mc        0.36436896 0.0020575431 Inf 0.36034585 0.36841112
 z         0.44158119 0.0020880447 Inf 0.43749275 0.44567756
 knn       0.42217202 0.0020865404 Inf 0.41808790 0.42626681
 wsld      0.41751044 0.0020855740 Inf 0.41342854 0.42160366
 COSNet    0.24436064 0.0018676185 Inf 0.24071876 0.24803963
 bagsvm    0.45518251 0.0020867033 Inf 0.45109576 0.45927531
 rf        0.49408135 0.0020721489 Inf 0.49002049 0.49814299
 svm       0.43357921 0.0020879144 Inf 0.42949159 0.43767588

cv_scheme = block:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.03819460 0.0005651656 Inf 0.03710219 0.03931786
 randomraw 0.01792220 0.0003743706 Inf 0.01720300 0.01867089
 random    0.01451329 0.0003347371 Inf 0.01387162 0.01518419
 EGAD      0.12577704 0.0011175392 Inf 0.12360298 0.12798375
 ppr       0.21104537 0.0014918603 Inf 0.20813621 0.21398420
 raw       0.24780158 0.0016207726 Inf 0.24463859 0.25099187
 gm        0.09784643 0.0009666252 Inf 0.09596816 0.09975740
 mc        0.18034510 0.0013701048 Inf 0.17767533 0.18304607
 z         0.23284655 0.0015704456 Inf 0.22978271 0.23593872
 knn       0.21901372 0.0015213166 Inf 0.21604660 0.22201005
 wsld      0.21575777 0.0015093840 Inf 0.21281414 0.21873081
 COSNet    0.11041797 0.0010366639 Inf 0.10840246 0.11246622
 bagsvm    0.24281418 0.0016043055 Inf 0.23968364 0.24597237
 rf        0.27264669 0.0016981964 Inf 0.26933102 0.27598776
 svm       0.22708887 0.0015503021 Inf 0.22406470 0.23014176

cv_scheme = representative:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.05191130 0.0007501325 Inf 0.05046059 0.05340137
 randomraw 0.02454432 0.0005066859 Inf 0.02357058 0.02555724
 random    0.01990138 0.0004545984 Inf 0.01902966 0.02081220
 EGAD      0.16553363 0.0013783867 Inf 0.16284968 0.16825292
 ppr       0.26944719 0.0017300185 Inf 0.26606991 0.27285140
 raw       0.31234794 0.0018335330 Inf 0.30876561 0.31595283
 gm        0.13008822 0.0012187025 Inf 0.12771820 0.13249554
 mc        0.23275772 0.0016232560 Inf 0.22959135 0.23595438
 z         0.29502534 0.0017943985 Inf 0.29152061 0.29855444
 knn       0.27884126 0.0017545940 Inf 0.27541536 0.28229317
 wsld      0.27500908 0.0017447008 Inf 0.27160276 0.27844179
 COSNet    0.14613125 0.0012939862 Inf 0.14361328 0.14868570
 bagsvm    0.30659094 0.0018209195 Inf 0.30303364 0.31017142
 rf        0.34073310 0.0018901269 Inf 0.33703831 0.34444735
 svm       0.28830797 0.0017782623 Inf 0.28483521 0.29180579

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
