"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.0701861990767815,0.000975308557629865,Inf,0.0682985299875171,0.0721220019079492
"randomraw","string",0.033525610154617,0.000678533621349914,Inf,0.0322208724884707,0.0348812770314143
"random","string",0.0272311468309261,0.000612006610143228,Inf,0.0260569733315321,0.0284566847383526
"EGAD","string",0.21474804343774,0.00161679137829121,Inf,0.211596178388506,0.217933879731286
"ppr","string",0.337076384390914,0.00187617824532308,Inf,0.333409057863536,0.340763428339411
"raw","string",0.385069282075624,0.00193021084963072,Inf,0.381293152442439,0.388859304507005
"gm","string",0.170922970417198,0.00147242317350543,Inf,0.168056384013191,0.173828236530827
"mc","string",0.294895354801735,0.00180770288479315,Inf,0.291364746638242,0.298450726837648
"z","string",0.365859368680858,0.0019115264984626,Inf,0.362121024648013,0.369613943164068
"knn","string",0.347706078557791,0.00189027699664295,Inf,0.34401047949264,0.351420110257181
"wsld","string",0.343378117083786,0.00188468583291776,Inf,0.339693737146433,0.347081453253128
"COSNet","string",0.190896814804055,0.00154223333304138,Inf,0.18789236347916,0.193937835324446
"bagsvm","string",0.37871010476225,0.00192445300329554,Inf,0.374945646301935,0.382489230424645
"rf","string",0.416064534384497,0.00195232825935916,Inf,0.412243172020755,0.41989601334911
"svm","string",0.358349006495785,0.00190316347823864,Inf,0.354627508018496,0.362087647552145
"pr","omnipath",0.0467130384310317,0.000672076530840511,Inf,0.0454133146753299,0.0480480878104888
"randomraw","omnipath",0.0220228626476967,0.000453512092601234,Inf,0.0211513113034372,0.0229294854870093
"random","omnipath",0.0178481675529103,0.000406856400525422,Inf,0.0170679899391321,0.0186633299488028
"EGAD","omnipath",0.15076684814747,0.00124739670081987,Inf,0.148338264608994,0.153228038693872
"ppr","omnipath",0.248167394266861,0.00158751880093811,Inf,0.245068998573485,0.251291923458244
"raw","omnipath",0.289020426935043,0.00169361327618169,Inf,0.285712352218842,0.292351127015549
"gm","omnipath",0.118036156150163,0.00109861559188506,Inf,0.11589986293514,0.120206472180711
"mc","omnipath",0.213528586488518,0.00148172390179071,Inf,0.210638848838126,0.216447097598806
"z","omnipath",0.272478920021392,0.00165298278194365,Inf,0.269251207168439,0.275730725972978
"knn","omnipath",0.257080632449633,0.0016123316702711,Inf,0.253933242644749,0.260253424566698
"wsld","omnipath",0.253442416932924,0.00160231869660506,Inf,0.250314801096088,0.256595735961872
"COSNet","omnipath",0.132819808015192,0.00116845371309551,Inf,0.130546353609771,0.135126701228253
"bagsvm","omnipath",0.283516118879049,0.00168043666330638,Inf,0.280234115392355,0.286821242916877
"rf","omnipath",0.316260644025185,0.00175390437452519,Inf,0.312833138289743,0.319708230970432
"svm","omnipath",0.26608114767371,0.0016364291025549,Inf,0.262886152308591,0.269300787000658
