"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",3.87568782213937,0.0531786385151635,NA,3.77284862240355,3.98133018257968
"randomraw","classic","string",2.2371937975737,0.0401474182709817,NA,2.15987403565933,2.31728147348851
"random","classic","string",1.77297608456798,0.0356755373573294,NA,1.70441417744239,1.84429596869875
"EGAD","classic","string",13.3430245000868,0.102203888912306,NA,13.1442047121928,13.5448516443728
"ppr","classic","string",19.3055633574924,0.125539140987002,NA,19.0610725076708,19.5531902205485
"raw","classic","string",22.0029679537844,0.135260897828268,NA,21.7394521607539,22.2696779659084
"gm","classic","string",11.4019249711797,0.0938174103476359,NA,11.2195209927497,11.5872944248175
"mc","classic","string",16.884886277578,0.116423152108224,NA,16.6582360366331,17.1146202983185
"z","classic","string",21.150079557154,0.132230849996222,NA,20.8924932750907,21.4108416541779
"knn","classic","string",20.8499783742348,0.131155445008805,NA,20.5944965828064,21.108629504884
"wsld","classic","string",20.6775975834899,0.130535469250455,NA,20.423329046781,20.9350317397024
"COSNet","classic","string",11.8939406518823,0.0959916288375184,NA,11.7072807160192,12.08357667865
"bagsvm","classic","string",21.7351725171211,0.134313589087398,NA,21.4735105038876,22.0000229707894
"rf","classic","string",24.3375798543969,0.143373399223191,NA,24.0581892103797,24.6202150955565
"svm","classic","string",21.4430016853498,0.133275821498486,NA,21.1833704824077,21.7058150240903
"pr","block","string",1.98024933108899,0.0275765961638704,NA,1.92693114193547,2.03504283465968
"randomraw","block","string",1.14307491327211,0.0206924659282357,NA,1.10322946667618,1.18435946176152
"random","block","string",0.90588686876346,0.0183550805421827,NA,0.870616548706733,0.942586056073803
"EGAD","block","string",6.81750351255477,0.0546811792320862,NA,6.71116837019341,6.92552348263573
"ppr","block","string",9.8640114166542,0.0683014256985281,NA,9.73104737633772,9.99879226407619
"raw","block","string",11.242227076071,0.0741056061357017,NA,11.0979169738067,11.3884136931502
"gm","block","string",5.82571541710037,0.0498987836148353,NA,5.72873193628225,5.92434076136336
