"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",3.321452019723,0.0453118229840458,Inf,3.23381926906726,3.41145951625924
"randomraw","classic",1.91726790145889,0.0342906679656007,Inf,1.85122375552282,1.98566823432235
"random","classic",1.5194348118983,0.0304921870633225,Inf,1.46083129797795,1.5803892966998
"EGAD","classic",11.4349291555075,0.0859615512590795,Inf,11.2676827358286,11.604658016834
"ppr","classic",16.5448058121043,0.104803761076361,Inf,16.3406640952437,16.7514978439535
"raw","classic",18.8564728904446,0.112557790513366,Inf,18.6371491534096,19.0783776499972
"gm","classic",9.77141309161231,0.079108712200608,Inf,9.61758653222745,9.92769999905778
"mc","classic",14.4702933267977,0.0974821894690301,Inf,14.2804875740398,14.6626218382214
"z","classic",18.1255502729407,0.110146935709491,Inf,17.9109467982324,18.3427250607055
"knn","classic",17.8683645227278,0.109290013986178,Inf,17.6554388491772,18.0838580929386
"wsld","classic",17.7206347385304,0.108795689316465,Inf,17.5086769268908,17.9351584844265
"COSNet","classic",10.1930689502369,0.0808894686229061,Inf,10.0357550866761,10.3528487619455
"bagsvm","classic",18.6269730610474,0.111804633763399,Inf,18.4091239378539,18.8474001581106
"rf","classic",20.857227793423,0.118986714586975,Inf,20.6253170591348,21.0917461282889
"svm","classic",18.3765835963059,0.110978964814384,Inf,18.160351066975,18.5953907733717
"pr","block",1.697067318665,0.0235011168766506,Inf,1.65162545105461,1.74375944754412
"randomraw","block",0.979611530550622,0.0176748561653676,Inf,0.945574817517679,1.01487342197519
"random","block",0.776342137957348,0.0156888242447528,Inf,0.746193613519651,0.807708755808472
"EGAD","block",5.84257862098507,0.0460684383210608,Inf,5.75298026056559,5.93357240878762
"ppr","block",8.45342611323422,0.057200866967593,Inf,8.34205462599244,8.56628447735784
"raw","block",9.63455250825354,0.0619101525798404,Inf,9.51397175553863,9.75666150997937
"gm","block",4.99261940756064,0.0421290887131371,Inf,4.9107269753287,5.07587749715667
"mc","block",7.3934718161163,0.0528225143827848,Inf,7.29066308171844,7.49773030011169
"z","block",9.26109388856756,0.0604380474515642,Inf,9.14339184604643,9.38031109865964
"knn","block",9.12968704333211,0.0599165121048011,Inf,9.01300488151567,9.24787976983426
"wsld","block",9.05420578174346,0.0596160688008279,Inf,8.93811115107789,9.17180833315891
"COSNet","block",5.20806083894252,0.0431471953458813,Inf,5.12417677540212,5.29331810571623
"bagsvm","block",9.51729154594054,0.0614495006189339,Inf,9.39761159408074,9.63849563941162
"rf","block",10.6568210035806,0.0658702603446275,Inf,10.5284965361863,10.7867095279964
"svm","block",9.38935720426478,0.0609452941082261,Inf,9.27066323081368,9.50957083806627
"pr","representative",1.44397060129241,0.020101702367635,Inf,1.40510462716256,1.48391162984586
"randomraw","representative",0.833514519574215,0.0150856545981649,Inf,0.804465456043488,0.863612538141697
"random","representative",0.660560256759144,0.0133821433394367,Inf,0.634845634663779,0.687316457709907
"EGAD","representative",4.97122988089746,0.0398322679678168,Inf,4.8937698906589,5.04991593002759
"ppr","representative",7.19270158199147,0.0497365785613849,Inf,7.09587728593638,7.2908470599003
"raw","representative",8.19767750254601,0.0539555132181159,Inf,8.09260581463204,8.30411340612226
"gm","representative",4.24803163001843,0.0363531042490223,Inf,4.17737506057572,4.3198832922486
"mc","representative",6.2908264313016,0.0458291153690933,Inf,6.20164124522699,6.38129418066884
"z","representative",7.87991564260399,0.0526349704190001,Inf,7.77742535369103,7.98375654034233
"knn","representative",7.7681065120871,0.0521674996150803,Inf,7.6665300498722,7.87102879537216
"wsld","representative",7.70388235227698,0.0518982904140758,Inf,7.60283215213878,7.80627562335817
"COSNet","representative",4.43134262174768,0.037250917674783,Inf,4.35893033239828,4.5049578529312
"bagsvm","representative",8.09790457050202,0.053542124249806,Inf,7.99364096973316,8.20352811456661
"rf","representative",9.06748722526281,0.0575152779743615,Inf,8.9554571789437,9.1809187333976
"svm","representative",7.98905006234921,0.0530898201359629,Inf,7.88567062597964,8.09378478077036
