cv_scheme = classic:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         3.3214520 0.04531182 Inf  3.2338193  3.4114595
 randomraw  1.9172679 0.03429067 Inf  1.8512238  1.9856682
 random     1.5194348 0.03049219 Inf  1.4608313  1.5803893
 EGAD      11.4349292 0.08596155 Inf 11.2676827 11.6046580
 ppr       16.5448058 0.10480376 Inf 16.3406641 16.7514978
 raw       18.8564729 0.11255779 Inf 18.6371492 19.0783776
 gm         9.7714131 0.07910871 Inf  9.6175865  9.9277000
 mc        14.4702933 0.09748219 Inf 14.2804876 14.6626218
 z         18.1255503 0.11014694 Inf 17.9109468 18.3427251
 knn       17.8683645 0.10929001 Inf 17.6554388 18.0838581
 wsld      17.7206347 0.10879569 Inf 17.5086769 17.9351585
 COSNet    10.1930690 0.08088947 Inf 10.0357551 10.3528488
 bagsvm    18.6269731 0.11180463 Inf 18.4091239 18.8474002
 rf        20.8572278 0.11898671 Inf 20.6253171 21.0917461
 svm       18.3765836 0.11097896 Inf 18.1603511 18.5953908

cv_scheme = block:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         1.6970673 0.02350112 Inf  1.6516255  1.7437594
 randomraw  0.9796115 0.01767486 Inf  0.9455748  1.0148734
 random     0.7763421 0.01568882 Inf  0.7461936  0.8077088
 EGAD       5.8425786 0.04606844 Inf  5.7529803  5.9335724
 ppr        8.4534261 0.05720087 Inf  8.3420546  8.5662845
 raw        9.6345525 0.06191015 Inf  9.5139718  9.7566615
 gm         4.9926194 0.04212909 Inf  4.9107270  5.0758775
 mc         7.3934718 0.05282251 Inf  7.2906631  7.4977303
 z          9.2610939 0.06043805 Inf  9.1433918  9.3803111
 knn        9.1296870 0.05991651 Inf  9.0130049  9.2478798
 wsld       9.0542058 0.05961607 Inf  8.9381112  9.1718083
 COSNet     5.2080608 0.04314720 Inf  5.1241768  5.2933181
 bagsvm     9.5172915 0.06144950 Inf  9.3976116  9.6384956
 rf        10.6568210 0.06587026 Inf 10.5284965 10.7867095
 svm        9.3893572 0.06094529 Inf  9.2706632  9.5095708

cv_scheme = representative:
 method          rate         SE  df  asymp.LCL  asymp.UCL
 pr         1.4439706 0.02010170 Inf  1.4051046  1.4839116
 randomraw  0.8335145 0.01508565 Inf  0.8044655  0.8636125
 random     0.6605603 0.01338214 Inf  0.6348456  0.6873165
 EGAD       4.9712299 0.03983227 Inf  4.8937699  5.0499159
 ppr        7.1927016 0.04973658 Inf  7.0958773  7.2908471
 raw        8.1976775 0.05395551 Inf  8.0926058  8.3041134
 gm         4.2480316 0.03635310 Inf  4.1773751  4.3198833
 mc         6.2908264 0.04582912 Inf  6.2016412  6.3812942
 z          7.8799156 0.05263497 Inf  7.7774254  7.9837565
 knn        7.7681065 0.05216750 Inf  7.6665300  7.8710288
 wsld       7.7038824 0.05189829 Inf  7.6028322  7.8062756
 COSNet     4.4313426 0.03725092 Inf  4.3589303  4.5049579
 bagsvm     8.0979046 0.05354212 Inf  7.9936410  8.2035281
 rf         9.0674872 0.05751528 Inf  8.9554572  9.1809187
 svm        7.9890501 0.05308982 Inf  7.8856706  8.0937848

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
