"method","rate","SE","df","asymp.LCL","asymp.UCL"
"pr",0.436736681544036,0.0118495231927343,NA,0.41411875689191,0.460589929414576
"randomraw",0.128539677427543,0.0064132390224742,NA,0.116564994680585,0.141744515310555
"random",0.161611305862832,0.00719334719339852,NA,0.148110078286241,0.176343260937403
"EGAD",2.30128840950907,0.0275835824732971,NA,2.24785567081088,2.35599127315428
"ppr",3.29836937562384,0.033264836872157,NA,3.23381164211962,3.36421589815365
"raw",4.3531440868177,0.0385071637877257,NA,4.27832192166827,4.42927479220795
"gm",3.65948098745644,0.0351303415723813,NA,3.5912704956628,3.72898702944501
"mc",1.72951242698206,0.0238115655642794,NA,1.68346666806958,1.7768176179665
"z",4.15402611175976,0.0375625175559279,NA,4.08105348171386,4.22830355311473
"knn",3.79279980063315,0.0357989983335705,NA,3.72328007453903,3.86361757366961
"wsld",3.74206447941542,0.0355457336458421,NA,3.67304064535569,3.8123854103843
"COSNet",3.10739505046931,0.0322426090106788,NA,3.04483894831118,3.17123636540344
"bagsvm",4.35008543896733,0.0384927904333415,NA,4.27529141535403,4.42618794554115
"rf",5.08049054563144,0.0418159932316871,NA,4.99919023129962,5.16311302231449
"svm",4.12653651420468,0.0374306361051396,NA,4.05382209914304,4.20055522581126
