cv_scheme = classic:
 method          rate          SE  df  asymp.LCL  asymp.UCL
 pr        0.84696635 0.023036187 Inf 0.80299858  0.8933415
 randomraw 0.24927785 0.012446260 Inf 0.22603923  0.2749056
 random    0.31341388 0.013962821 Inf 0.28720802  0.3420109
 EGAD      4.46290391 0.054161526 Inf 4.35800181  4.5703311
 ppr       6.39654965 0.065646573 Inf 6.26917013  6.5265173
 raw       8.44208126 0.076381913 Inf 8.29369504  8.5931223
 gm        7.09685580 0.069451252 Inf 6.96203099  7.2342916
 mc        3.35405494 0.046615974 Inf 3.26392251  3.4466764
 z         8.05593045 0.074437373 Inf 7.91134903  8.2031541
 knn       7.35540186 0.070819120 Inf 7.21790040  7.4955227
 wsld      7.25701052 0.070300758 Inf 7.12052338  7.3961139
 COSNet    6.02619187 0.063568897 Inf 5.90287828  6.1520815
 bagsvm    8.43614960 0.076352292 Inf 8.28782134  8.5871325
 rf        9.85262908 0.083228584 Inf 9.69084702 10.0171120
 svm       8.00261969 0.074166253 Inf 7.85856877  8.1493111

cv_scheme = block:
 method          rate          SE  df  asymp.LCL  asymp.UCL
 pr        0.31667662 0.008734269 Inf 0.30001224  0.3342666
 randomraw 0.09320378 0.004673116 Inf 0.08448029  0.1028281
 random    0.11718393 0.005248121 Inf 0.10733633  0.1279350
 EGAD      1.66865816 0.021643591 Inf 1.62677217  1.7116226
 ppr       2.39163894 0.026876126 Inf 2.33953857  2.4448996
 raw       3.15645330 0.032006321 Inf 3.09434132  3.2198120
 gm        2.65348002 0.028668226 Inf 2.59788206  2.7102678
 mc        1.25406490 0.018350627 Inf 1.21860920  1.2905522
 z         3.01207338 0.031060282 Inf 2.95180742  3.0735698
 knn       2.75014914 0.029319575 Inf 2.69328005  2.8082190
 wsld      2.71336109 0.029072305 Inf 2.65697455  2.7709443
 COSNet    2.25316396 0.025909761 Inf 2.20294975  2.3045228
 bagsvm    3.15423549 0.031991856 Inf 3.09215172  3.2175658
 rf        3.68385030 0.035394615 Inf 3.61512724  3.7538798
 svm       2.99214075 0.030928961 Inf 2.93213104  3.0533786

cv_scheme = representative:
 method          rate          SE  df  asymp.LCL  asymp.UCL
 pr        0.31058241 0.008569882 Inf 0.29423186  0.3278416
 randomraw 0.09141014 0.004583784 Inf 0.08285347  0.1008505
 random    0.11492881 0.005147967 Inf 0.10526921  0.1254748
 EGAD      1.63654608 0.021268470 Inf 1.59538706  1.6787669
 ppr       2.34561363 0.026427371 Inf 2.29438465  2.3979865
 raw       3.09570972 0.031490481 Inf 3.03460071  3.1580493
 gm        2.60241578 0.028195517 Inf 2.54773619  2.6582689
 mc        1.22993136 0.018025064 Inf 1.19510545  1.2657721
 z         2.95410828 0.030556481 Inf 2.89482168  3.0146091
 knn       2.69722457 0.028838303 Inf 2.64129065  2.7543430
 wsld      2.66114448 0.028594276 Inf 2.60568675  2.7177825
 COSNet    2.20980350 0.025474175 Inf 2.16043486  2.2603003
 bagsvm    3.09353458 0.031476198 Inf 3.03245344  3.1558460
 rf        3.61295735 0.034836739 Inf 3.54531973  3.6818854
 svm       2.93455923 0.030426842 Inf 2.87552559  2.9948048

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
