"label","coef","lower","upper"
"(Intercept)",-1.46198358607695,-1.53871774646408,-1.38524942568982
"methodrandomraw",-1.22309282365825,-1.33423692030618,-1.11194872701033
"methodrandom",-0.99413634842568,-1.0961212667259,-0.892151430125463
"methodEGAD",1.66189396903559,1.60408142759547,1.7197065104757
"methodppr",2.02185304264604,1.9654516353427,2.07825444994939
"methodraw",2.29932318749495,2.24372655702424,2.35491981796566
"methodgm",2.12574615554608,2.06967110326922,2.18182120782294
"methodmc",1.37626435956679,1.31694696979559,1.43558174933799
"methodz",2.25250283625996,2.19678483488822,2.3082208376317
"methodknn",2.16152930493543,2.10555943555724,2.21749917431362
"methodwsld",2.14806228386848,2.09205324645985,2.20407132127711
"methodCOSNet",1.96220959574812,1.9056058843935,2.01881330710275
"methodbagsvm",2.29862031094384,2.24302189820839,2.35421872367929
"methodrf",2.45383264592327,2.39860010414646,2.50906518770009
"methodsvm",2.24586326361636,2.19012760799052,2.3015989192422
"cv_schemeblock",-0.98377984822024,-0.997071081130306,-0.970488615310175
"cv_schemerepresentative",-1.00321168270433,-1.0165974907346,-0.989825874674064
"networkomnipath",-0.356607848355096,-0.367286388910993,-0.345929307799199
"diseaseAlzheimers disease",1.43860968656402,1.3770104937503,1.50020887937774
"diseasearthritis",1.27885046707719,1.21623651718096,1.34146441697342
"diseaseasthma",0.791805238970137,0.725050550760275,0.858559927179999
"diseasebipolar disorder",1.86409791031538,1.80458067935639,1.92361514127437
"diseasecardiac arrhythmia",2.26400637554371,2.20582066528047,2.32219208580696
"diseaseCOPD",1.51862448778113,1.45748115351984,1.57976782204242
"diseasecoronary heart disease",1.59565839413986,1.53492365602168,1.65639313225803
"diseasedrug dependence",1.62004657862219,1.559435313023,1.68065784422138
"diseasehypertension",1.73941272030991,1.67936740954389,1.79945803107594
"diseasemultiple sclerosis",2.22507803124761,2.16678369331008,2.28337236918515
"diseaseobesity",1.81856937829894,1.75886637499938,1.8782723815985
"diseaseParkinson's disease",2.20486183585484,2.14650947817637,2.26321419353332
"diseasepsoriasis",1.07593090397799,1.01180164799205,1.14006015996393
"diseaserheumatoid arthritis",0.539092061910505,0.469409594452454,0.608774529368555
"diseaseschizophrenia",1.75172292897642,1.69173251655368,1.81171334139915
"diseasestroke",2.19023452244043,2.13183948426198,2.24862956061887
"diseaselupus",1.52613109128227,1.46502885663907,1.58723332592548
"diseasetype I diabetes",1.50630478179441,1.44509341265059,1.56751615093824
"diseasetype II diabetes",1.59037354465934,1.52961168497603,1.65113540434265
"diseaseulcerative colitis",0.43087847730215,0.359744299161883,0.502012655442418
"diseaseunipolar depression",1.46196088763805,1.40049816440274,1.52342361087336
