"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.019142701010373,0.000393102409803062,Inf,0.018387246720495,0.0199285635878361
"randomraw",0.0140593463456971,0.000338005719328905,Inf,0.0134120240147198,0.0147374445591295
"random",0.0097251306913158,0.000280697974031288,Inf,0.00919010310057454,0.0102909828936715
"EGAD",0.0596034793224533,0.000741791597022901,Inf,0.0581660947609722,0.0610740807932577
"ppr",0.106615312526687,0.000974908843417301,Inf,0.104719550697975,0.108541232976212
"raw",0.147447271710666,0.00114283962178473,Inf,0.145221389149422,0.149701296404354
"gm",0.077583843924209,0.000857460955125155,Inf,0.0759198345164191,0.0792811959754775
"mc",0.0725386787978371,0.000792795247529579,Inf,0.0710000872729544,0.0741079523003443
"z",0.137366944904565,0.00111478002569431,Inf,0.135196589689334,0.139566518652053
"knn",0.119158600713651,0.00101586644313659,Inf,0.117181879106641,0.121164090810598
"wsld",0.115904545239999,0.00100262937872152,Inf,0.113953856205952,0.117884183937256
"COSNet",0.0709804738133466,0.000830435878926702,Inf,0.0693699851198217,0.0726254336995831
"bagsvm",0.145879744414687,0.00113612789312031,Inf,0.143667037037688,0.148120636377189
"rf",0.177809343092918,0.00123921801085305,Inf,0.175393507493452,0.180251180282249
"svm",0.134608253751778,0.00108990378323286,Inf,0.132486358918079,0.136758775329157
