"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.0270147244779717,0.000907356308924458,Inf,0.0252921212902532,0.0288511784705984
"randomraw","classic","string",0.022397401732761,0.000826801026990149,Inf,0.0208329158424201,0.0240764866700452
"random","classic","string",0.0144558616528295,0.000665017823836253,Inf,0.013208719922837,0.015818868439427
"EGAD","classic","string",0.165435228048753,0.00215191992772373,Inf,0.161260534030597,0.169696130226941
"ppr","classic","string",0.256627846164158,0.00255560936230403,Inf,0.25165103179449,0.261668669935921
"raw","classic","string",0.348377325133783,0.00279394143864926,Inf,0.342921519660768,0.353873184298747
"gm","classic","string",0.227602677467276,0.0024475255777495,Inf,0.222841301888472,0.232435360587556
"mc","classic","string",0.159055762851118,0.00211585582153466,Inf,0.154952464778845,0.163246729511893
"z","classic","string",0.342139267033104,0.00278230237686938,Inf,0.336707096350611,0.347613147306175
"knn","classic","string",0.258495812359232,0.00256198484292904,Inf,0.253506267409904,0.263548891066458
"wsld","classic","string",0.251873219023877,0.00253907266783016,Inf,0.246929412117598,0.256882242965117
"COSNet","classic","string",0.222877354128643,0.00242826201713022,Inf,0.218154310374342,0.227672875567436
"bagsvm","classic","string",0.343780504227899,0.00278542590026294,Inf,0.338341995250655,0.349260287349084
"rf","classic","string",0.396139210144405,0.00286259227881902,Inf,0.390542522382547,0.40176323012502
"svm","classic","string",0.313488622518719,0.00272059556353995,Inf,0.308181151206271,0.318845372026688
"pr","block","string",0.0276560202773968,0.000917964160130099,Inf,0.0259125907689942,0.0295131957781143
"randomraw","block","string",0.0192157389631855,0.000766200320992871,Inf,0.0177701586250213,0.0207764280365189
"random","block","string",0.0144043860342435,0.000663837454010558,Inf,0.0131595584860608,0.0157650867971905
"EGAD","block","string",0.0502860005208962,0.00123241806582968,Inf,0.0479247182870319,0.0527571778416161
"ppr","block","string",0.0898894537609554,0.00163102342502636,Inf,0.0867435214032357,0.0931378440611754
"raw","block","string",0.117178968198927,0.00184586173563277,Inf,0.113609300755727,0.120845505190238
"gm","block","string",0.0656491812920712,0.00140311953943818,Inf,0.0629520910867837,0.068453382990928
"mc","block","string",0.0689687978676331,0.00143695405574875,Inf,0.06620511094603,0.0718389774624594
"z","block","string",0.102948303280085,0.00173843845988084,Inf,0.0995905955668551,0.106405838420344
"knn","block","string",0.117291781626093,0.0018466772740102,Inf,0.113720504328441,0.120959904658365
"wsld","block","string",0.115888417324242,0.0018364937058345,Inf,0.112337241383788,0.119536734831458
"COSNet","block","string",0.0502980487015122,0.00123256247286699,Inf,0.0479364825121071,0.052769507847666
"bagsvm","block","string",0.117218884948807,0.00184615035900658,Inf,0.11364864777079,0.120885983249655
"rf","block","string",0.142982957872336,0.002019441147315,Inf,0.139070384855588,0.146986813073946
"svm","block","string",0.110524182864063,0.00179677765804137,Inf,0.107051386617873,0.114095243360751
"pr","representative","string",0.0201029470768192,0.00078358415301996,Inf,0.0186232616928029,0.0216975994920309
"randomraw","representative","string",0.0138836442446601,0.000651774106607197,Inf,0.0126624664896554,0.015220777737051
"random","representative","string",0.00953771320627132,0.00054050775438752,Inf,0.00853456315653033,0.0106575057753965
"EGAD","representative","string",0.050215283059215,0.00123157008101039,Inf,0.0478556682606194,0.0526848054457479
"ppr","representative","string",0.097992420599615,0.00169874922295959,Inf,0.0947129812666493,0.101372695365927
"raw","representative","string",0.137097260953988,0.0019820083657471,Inf,0.133258683728224,0.141028418864301
"gm","representative","string",0.0589445406615417,0.00133169932858432,Inf,0.0563879867348351,0.0616094373044171
"mc","representative","string",0.0692671113890865,0.0014399484898922,Inf,0.0664975298909963,0.0721431296558431
"z","representative","string",0.128503393831988,0.00192513559973312,Inf,0.124777189028777,0.132324050220299
"knn","representative","string",0.104326272736326,0.0017492542567365,Inf,0.100947232010965,0.107804858548626
"wsld","representative","string",0.100136408404109,0.00171607373923895,Inf,0.0968228073567991,0.103550410242922
