network = string:
 cv_scheme      method           prob           SE df   asymp.LCL   asymp.UCL
 classic        pr        0.027014724 0.0009073563 NA 0.025292121 0.028851178
 block          pr        0.027656020 0.0009179642 NA 0.025912591 0.029513196
 representative pr        0.020102947 0.0007835842 NA 0.018623262 0.021697599
 classic        randomraw 0.022397402 0.0008268010 NA 0.020832916 0.024076487
 block          randomraw 0.019215739 0.0007662003 NA 0.017770159 0.020776428
 representative randomraw 0.013883644 0.0006517741 NA 0.012662466 0.015220778
 classic        random    0.014455862 0.0006650178 NA 0.013208720 0.015818868
 block          random    0.014404386 0.0006638375 NA 0.013159558 0.015765087
 representative random    0.009537713 0.0005405078 NA 0.008534563 0.010657506
 classic        EGAD      0.165435228 0.0021519199 NA 0.161260534 0.169696130
 block          EGAD      0.050286001 0.0012324181 NA 0.047924718 0.052757178
 representative EGAD      0.050215283 0.0012315701 NA 0.047855668 0.052684805
 classic        ppr       0.256627846 0.0025556094 NA 0.251651032 0.261668670
 block          ppr       0.089889454 0.0016310234 NA 0.086743521 0.093137844
 representative ppr       0.097992421 0.0016987492 NA 0.094712981 0.101372695
 classic        raw       0.348377325 0.0027939414 NA 0.342921520 0.353873184
 block          raw       0.117178968 0.0018458617 NA 0.113609301 0.120845505
 representative raw       0.137097261 0.0019820084 NA 0.133258684 0.141028419
 classic        gm        0.227602677 0.0024475256 NA 0.222841302 0.232435361
 block          gm        0.065649181 0.0014031195 NA 0.062952091 0.068453383
 representative gm        0.058944541 0.0013316993 NA 0.056387987 0.061609437
 classic        mc        0.159055763 0.0021158558 NA 0.154952465 0.163246730
 block          mc        0.068968798 0.0014369541 NA 0.066205111 0.071838977
 representative mc        0.069267111 0.0014399485 NA 0.066497530 0.072143130
 classic        z         0.342139267 0.0027823024 NA 0.336707096 0.347613147
 block          z         0.102948303 0.0017384385 NA 0.099590596 0.106405838
 representative z         0.128503394 0.0019251356 NA 0.124777189 0.132324050
 classic        knn       0.258495812 0.0025619848 NA 0.253506267 0.263548891
 block          knn       0.117291782 0.0018466773 NA 0.113720504 0.120959905
 representative knn       0.104326273 0.0017492543 NA 0.100947232 0.107804859
 classic        wsld      0.251873219 0.0025390727 NA 0.246929412 0.256882243
 block          wsld      0.115888417 0.0018364937 NA 0.112337241 0.119536735
 representative wsld      0.100136408 0.0017160737 NA 0.096822807 0.103550410
 classic        COSNet    0.222877354 0.0024282620 NA 0.218154310 0.227672876
 block          COSNet    0.050298049 0.0012325625 NA 0.047936483 0.052769508
 representative COSNet    0.060146880 0.0013448305 NA 0.057564491 0.062837392
 classic        bagsvm    0.343780504 0.0027854259 NA 0.338341995 0.349260287
 block          bagsvm    0.117218885 0.0018461504 NA 0.113648648 0.120885983
 representative bagsvm    0.135022785 0.0019685260 NA 0.131210852 0.138927752
 classic        rf        0.396139210 0.0028625923 NA 0.390542522 0.401763230
