"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.0209656574697035,0.000707514255066308,Inf,0.0196229201521311,0.0223981751339135
"randomraw","classic",0.0173637828119161,0.000643498589986116,Inf,0.0161465299126495,0.0186710603547204
"random","classic",0.0111866107804429,0.000515924278584632,Inf,0.0102193151656959,0.0122443318261624
"EGAD","classic",0.13261592411508,0.00177575843178927,Inf,0.129174023988901,0.136135198152846
"ppr","classic",0.210275772582879,0.00219177748751027,Inf,0.206012160670513,0.214603774013036
"raw","classic",0.291962101886281,0.00249444281553706,Inf,0.287097246534801,0.296875063629257
"gm","classic",0.185187120058517,0.00207319727692666,Inf,0.181158127691955,0.189285004614796
"mc","classic",0.127308970802863,0.00174137212120717,Inf,0.123934840068647,0.130761251250617
"z","classic",0.286290397433477,0.00247714796110211,Inf,0.281460032678127,0.29117006777438
"knn","classic",0.211902522525714,0.00219901093702459,Inf,0.207624585507429,0.216244548049718
"wsld","classic",0.206141780242104,0.00217315316387154,Inf,0.20191504443335,0.210433665702385
"COSNet","classic",0.181135887111756,0.00205275524567142,Inf,0.177147303262666,0.185194064520963
"bagsvm","classic",0.28778092387375,0.00248174350962889,Inf,0.282941396542476,0.292669442512875
"rf","classic",0.335977442048138,0.00261147320396211,Inf,0.330878460191244,0.341114942993836
"svm","classic",0.260464862177244,0.00239168024570695,Inf,0.25580465054794,0.265179720712084
"pr","block",0.0214665240983547,0.000715971410067258,Inf,0.0201072064088972,0.0229155874013569
"randomraw","block",0.0148862824313584,0.000595566694564731,Inf,0.0137629625424583,0.0160997899223165
"random","block",0.0111466449125889,0.000514997829377054,Inf,0.0101811638276699,0.012202553976701
"EGAD","block",0.0392362201928847,0.000970078034846847,Inf,0.0373784694450539,0.0411823530735743
"ppr","block",0.0707858867845872,0.00130467598200208,Inf,0.0682710491331209,0.0733860648122201
"raw","block",0.092867549711123,0.00149311515450535,Inf,0.0899821955798709,0.0958356815383466
"gm","block",0.051406245982749,0.0011113498739982,Inf,0.0492711779012528,0.0536286141777733
"mc","block",0.0540473145627095,0.00113968517026234,Inf,0.0518566049455077,0.0563250740075477
"z","block",0.0813174022784326,0.00139804019785318,Inf,0.0786190349259952,0.0840999297724652
"knn","block",0.0929594220254238,0.00149384405380929,Inf,0.0900726339552265,0.09592897643739
"wsld","block",0.0918169052383413,0.00148475034161996,Inf,0.0889480064822606,0.0947687111403288
"COSNet","block",0.0392457303245554,0.000970196440677052,Inf,0.0373877472100647,0.0411920947729011
"bagsvm","block",0.0929000563147867,0.0014933731030436,Inf,0.0900141947308026,0.0958686915779916
"rf","block",0.114009297287422,0.00165098586222315,Inf,0.110813217734009,0.117285399396335
"svm","block",0.0874566720181114,0.00144944752758377,Inf,0.0846572126959761,0.090339567870755
"pr","representative",0.0155767703284472,0.000609297576723924,Inf,0.0144265440001864,0.0168171392094764
"randomraw","representative",0.0107423920697395,0.000505532831869743,Inf,0.0097954483415346,0.011779789540858
"random","representative",0.00737240096015578,0.000418496263849999,Inf,0.00659585380479922,0.00823961473944261
"EGAD","representative",0.039180401018621,0.000969382769391409,Inf,0.0373240146990327,0.0411251741592895
"ppr","representative",0.0773130756114255,0.00136335571858434,Inf,0.0746828991560447,0.0800278701825351
"raw","representative",0.109164343594715,0.00161644696450505,Inf,0.106036271667495,0.112373094141888
"gm","representative",0.0460844676369452,0.00105191334243102,Inf,0.0440660928441225,0.0481906302482373
"mc","representative",0.0542848506990378,0.00114219863591511,Inf,0.0520892051103467,0.0565675233393675
"z","representative",0.102114231016755,0.00156450956476935,Inf,0.0990883951835993,0.10522167426269
"knn","representative",0.0824324465399324,0.00140753192150788,Inf,0.0797154159441867,0.0852335077685323
"wsld","representative",0.0790442660741729,0.00137846778886369,Inf,0.0763843802866879,0.0817885733538325
"COSNet","representative",0.0470376010887582,0.00106280425932702,Inf,0.044997845987688,0.0491650583078134
"bagsvm","representative",0.107459896511963,0.00160407726592311,Inf,0.104356176852435,0.110644522175015
"rf","representative",0.134460473388408,0.00178749895014171,Inf,0.130995430479141,0.138002616863389
"svm","representative",0.100309107415237,0.00155087452872535,Inf,0.0973101057975267,0.103389949228405
