cv_scheme = classic:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.020965657 0.0007075143 Inf 0.019622920 0.022398175
 randomraw 0.017363783 0.0006434986 Inf 0.016146530 0.018671060
 random    0.011186611 0.0005159243 Inf 0.010219315 0.012244332
 EGAD      0.132615924 0.0017757584 Inf 0.129174024 0.136135198
 ppr       0.210275773 0.0021917775 Inf 0.206012161 0.214603774
 raw       0.291962102 0.0024944428 Inf 0.287097247 0.296875064
 gm        0.185187120 0.0020731973 Inf 0.181158128 0.189285005
 mc        0.127308971 0.0017413721 Inf 0.123934840 0.130761251
 z         0.286290397 0.0024771480 Inf 0.281460033 0.291170068
 knn       0.211902523 0.0021990109 Inf 0.207624586 0.216244548
 wsld      0.206141780 0.0021731532 Inf 0.201915044 0.210433666
 COSNet    0.181135887 0.0020527552 Inf 0.177147303 0.185194065
 bagsvm    0.287780924 0.0024817435 Inf 0.282941397 0.292669443
 rf        0.335977442 0.0026114732 Inf 0.330878460 0.341114943
 svm       0.260464862 0.0023916802 Inf 0.255804651 0.265179721

cv_scheme = block:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.021466524 0.0007159714 Inf 0.020107206 0.022915587
 randomraw 0.014886282 0.0005955667 Inf 0.013762963 0.016099790
 random    0.011146645 0.0005149978 Inf 0.010181164 0.012202554
 EGAD      0.039236220 0.0009700780 Inf 0.037378469 0.041182353
 ppr       0.070785887 0.0013046760 Inf 0.068271049 0.073386065
 raw       0.092867550 0.0014931152 Inf 0.089982196 0.095835682
 gm        0.051406246 0.0011113499 Inf 0.049271178 0.053628614
 mc        0.054047315 0.0011396852 Inf 0.051856605 0.056325074
 z         0.081317402 0.0013980402 Inf 0.078619035 0.084099930
 knn       0.092959422 0.0014938441 Inf 0.090072634 0.095928976
 wsld      0.091816905 0.0014847503 Inf 0.088948006 0.094768711
 COSNet    0.039245730 0.0009701964 Inf 0.037387747 0.041192095
 bagsvm    0.092900056 0.0014933731 Inf 0.090014195 0.095868692
 rf        0.114009297 0.0016509859 Inf 0.110813218 0.117285399
 svm       0.087456672 0.0014494475 Inf 0.084657213 0.090339568

cv_scheme = representative:
 method           prob           SE  df   asymp.LCL   asymp.UCL
 pr        0.015576770 0.0006092976 Inf 0.014426544 0.016817139
 randomraw 0.010742392 0.0005055328 Inf 0.009795448 0.011779790
 random    0.007372401 0.0004184963 Inf 0.006595854 0.008239615
 EGAD      0.039180401 0.0009693828 Inf 0.037324015 0.041125174
 ppr       0.077313076 0.0013633557 Inf 0.074682899 0.080027870
 raw       0.109164344 0.0016164470 Inf 0.106036272 0.112373094
 gm        0.046084468 0.0010519133 Inf 0.044066093 0.048190630
 mc        0.054284851 0.0011421986 Inf 0.052089205 0.056567523
 z         0.102114231 0.0015645096 Inf 0.099088395 0.105221674
 knn       0.082432447 0.0014075319 Inf 0.079715416 0.085233508
 wsld      0.079044266 0.0013784678 Inf 0.076384380 0.081788573
 COSNet    0.047037601 0.0010628043 Inf 0.044997846 0.049165058
 bagsvm    0.107459897 0.0016040773 Inf 0.104356177 0.110644522
 rf        0.134460473 0.0017874990 Inf 0.130995430 0.138002617
 svm       0.100309107 0.0015508745 Inf 0.097310106 0.103389949

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
