"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.0246790620661133,0.000505941735871012,Inf,0.0237066145891492,0.0256903497574703
"randomraw","string",0.0181527324110603,0.000435861739143997,Inf,0.0173178994871418,0.0190270303695166
"random","string",0.0125726994402234,0.000362566717188947,Inf,0.0118815537517199,0.0133035075422678
"EGAD","string",0.0759357815277196,0.000939223317460028,Inf,0.0741152949714604,0.0777972272260918
"ppr","string",0.133994091799462,0.0012127586004408,Inf,0.131634898656917,0.136388925995724
"raw","string",0.183161918459109,0.00139944580632162,Inf,0.180434971163464,0.185920729358136
"gm","string",0.0983278947852575,0.00107781688980167,Inf,0.09623553662075,0.100460688292719
"mc","string",0.092068416315036,0.000999496601899261,Inf,0.0901280772055195,0.0940462106395273
"z","string",0.171130042160464,0.00136989726387637,Inf,0.168461782761486,0.173831729114708
"knn","string",0.149220475742706,0.0012582647224538,Inf,0.146771089604299,0.151703470592048
"wsld","string",0.145280874715367,0.00124338223432724,Inf,0.142860815338983,0.147734863899464
"COSNet","string",0.0901314617800335,0.00104627208513489,Inf,0.0881017148500936,0.0922032431565422
"bagsvm","string",0.181295445338389,0.0013921194292828,Inf,0.178582909622002,0.184039951139275
"rf","string",0.218989238279505,0.0015001951137018,Inf,0.216063118104998,0.221943767298872
"svm","string",0.167825213835067,0.00134145508731398,Inf,0.165212426258616,0.170470883900505
"pr","omnipath",0.0148294516865607,0.000309684990990984,Inf,0.0142345571224938,0.0154488186146569
"randomraw","omnipath",0.010878779146799,0.000264814608676261,Inf,0.0103718110639936,0.0114102418215375
"random","omnipath",0.00751759268106795,0.000218883246029802,Inf,0.00710051476749525,0.00795897300025959
"EGAD","omnipath",0.0466067640328396,0.000605423349469766,Inf,0.0454344201179133,0.0478078429064614
"ppr","omnipath",0.0842863155298925,0.00082700423434152,Inf,0.0826795041519245,0.0859214291191479
"raw","omnipath",0.117693207896427,0.000997761335626319,Inf,0.115751667546271,0.119662907254554
"gm","omnipath",0.0609204444649064,0.000709583361217959,Inf,0.0595444419195619,0.0623261375091832
"mc","omnipath",0.0568920428870069,0.000655547350667665,Inf,0.0556207439573223,0.0581906088766006
"z","omnipath",0.109386046064143,0.000965629554245415,Inf,0.107507759336062,0.111293056553006
"knn","omnipath",0.0944804184477283,0.000870930479924428,Inf,0.0927871822686906,0.0962012772518521
"wsld","omnipath",0.0918300311308613,0.000857499985558628,Inf,0.0901631298397777,0.0935245816868227
"COSNet","omnipath",0.0556497765348532,0.000683037557840728,Inf,0.0543261022360642,0.0570037585288979
"bagsvm","omnipath",0.116398812257411,0.000990940532302533,Inf,0.114470629313219,0.118355133215755
"rf","omnipath",0.142955733851305,0.00110457049983151,Inf,0.140804443860926,0.14513434033671
"svm","omnipath",0.107119506243838,0.000943606266128013,Inf,0.105284072773926,0.108983039588242
