"cv_scheme","method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"classic","pr","string",0.723748900916062,0.00197022471315572,NA,0.719870692380287,0.727593735488
"block","pr","string",0.7239495276193,0.00196968206571142,NA,0.720072369260677,0.727793285481337
"representative","pr","string",0.722173278696862,0.00197446963265621,NA,0.718286855565123,0.726026536482178
"classic","randomraw","string",0.653147896545593,0.00213271295307502,NA,0.64895612995317,0.657316040685327
"block","randomraw","string",0.637486960620843,0.00216145848241077,NA,0.633239994914839,0.641712573027836
"representative","randomraw","string",0.670025086091588,0.00209885384015247,NA,0.665898472559272,0.674125673417202
"classic","random","string",0.549743173244418,0.00227676418745301,NA,0.545276913205354,0.554201430290408
"block","random","string",0.548162863412547,0.00227814463593875,NA,0.543694022884177,0.55262395064545
"representative","random","string",0.546523808686401,0.00227955063127404,NA,0.542052342406025,0.550987780976414
"classic","EGAD","string",0.800369072655578,0.00172495278894674,NA,0.796966730037502,0.803728441565464
"block","EGAD","string",0.713321524521608,0.00199776937536353,NA,0.70939003009763,0.717221033540725
"representative","EGAD","string",0.725825478555021,0.00196458465883833,NA,0.721958185869377,0.729659122989004
"classic","ppr","string",0.89586408818305,0.00127825389548476,NA,0.893331990364144,0.898342918692474
"block","ppr","string",0.823897593183644,0.00163223818568167,NA,0.820675585087104,0.8270739083088
"representative","ppr","string",0.860253460399433,0.00146873966284107,NA,0.8573498745741,0.863107381582859
"classic","raw","string",0.915257914689233,0.00115740262342594,NA,0.912961723003292,0.91749900372022
"block","raw","string",0.830120796758003,0.00160610428094502,NA,0.826949653484519,0.833245547021763
"representative","raw","string",0.878305287387875,0.00137656892492392,NA,0.875581395257568,0.88097765181467
"classic","gm","string",0.632056027011098,0.00217083545208592,NA,0.627791082587245,0.636300413511094
"block","gm","string",0.567676921513764,0.00225938779424118,NA,0.563243308984965,0.572099719310785
"representative","gm","string",0.532390161537018,0.00229058627148532,NA,0.527898192875245,0.536876885801957
"classic","mc","string",0.912292488980452,0.00117684759619608,NA,0.909958329998882,0.914571819967551
"block","mc","string",0.847642371534105,0.00152853636384625,NA,0.844622275051594,0.850614148468645
"representative","mc","string",0.881619758082768,0.0013587132607224,NA,0.878930690200449,0.884256964333957
"classic","z","string",0.913442807845928,0.00116934977129794,NA,0.911123288316494,0.915707392578225
"block","z","string",0.836013103460829,0.00158069344282354,NA,0.832891430333538,0.839087728331014
"representative","z","string",0.879562175935147,0.00136983408218814,NA,0.876851418417618,0.882221278818571
"classic","knn","string",0.912615537337831,0.00117474764683107,NA,0.910285478437985,0.914890738216107
"block","knn","string",0.833176230138543,0.00159301012714118,NA,0.830030577214802,0.83627514935213
"representative","knn","string",0.875261337294203,0.00139269992107219,NA,0.872505988135899,0.877965467669398
"classic","wsld","string",0.912008405010947,0.00117869062208756,NA,0.909670647617287,0.914291360836221
"block","wsld","string",0.832789292583123,0.00159467812327512,NA,0.82964039239545,0.835891502096772
